"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"169","036120","SCI평가정보",4370,-5,-0.11,141,30.99,610,7.16,69,1.58
"170","099220","SDN",2880,20,0.7,93,30.97,1642,1.75,0,0
"171","036540","SFA반도체",7920,-100,-1.25,146,54.25,2066,3.83,0,0
"172","255220","SG",1925,5,0.26,287,6.71,1924,1,0,0
"173","040610","SG&G",2515,100,4.14,49,51.33,7017,0.36,0,0
"174","049470","SGA",966,9,0.94,NA,NA,577,1.67,0,0
"175","184230","SGA솔루션즈",1390,-35,-2.46,NA,NA,496,2.8,0,0
"176","005090","SGC에너지",38700,50,0.13,NA,NA,56341,0.69,1000,2.58
"177","016250","SGC이테크건설",51000,-300,-0.58,6410,7.96,91954,0.55,1500,2.94
"178","004060","SG세계물산",708,4,0.57,48,14.75,1012,0.7,0,0
"179","001380","SG충방",2660,30,1.14,17,156.47,2893,0.92,0,0
"180","002360","SH에너지화학",920,8,0.88,NA,NA,876,1.05,0,0
"181","009160","SIMPAC",3110,10,0.32,157,19.81,6743,0.46,60,1.93
"182","123700","SJM",3970,15,0.38,438,9.06,10621,0.37,125,3.15
"183","025530","SJM홀딩스",3440,-45,-1.29,363,9.48,10066,0.34,175,5.09
"184","034730","SK",244000,1500,0.62,12917,18.89,235255,1.04,5000,2.05
"185","307070","SK4호스팩",2045,0,0,NA,NA,NA,NA,0,0
"186","337450","SK5호스팩",2090,-15,-0.71,NA,NA,NA,NA,0,0
"187","340350","SK6호스팩",2050,-5,-0.24,NA,NA,NA,NA,0,0
"188","011790","SKC",112500,5500,5.14,1686,66.73,41542,2.71,1000,0.89
"189","018670","SK가스",105500,500,0.48,17794,5.93,180030,0.59,3000,2.84
"190","001740","SK네트웍스",5590,-70,-1.24,NA,NA,8713,0.64,120,2.15
"191","001745","SK네트웍스우",111000,1500,1.37,NA,NA,NA,NA,145,0.13
"192","006120","SK디스커버리",59800,1300,2.22,8846,6.76,82498,0.72,700,1.17
"193","006125","SK디스커버리우",44850,250,0.56,NA,NA,NA,NA,750,1.67
"194","210980","SK디앤디",36450,-50,-0.14,2365,15.41,19032,1.92,600,1.65
"195","068400","SK렌터카",10400,-150,-1.42,740,14.05,9639,1.08,0,0
"196","036490","SK머티리얼즈",309000,5000,1.64,13507,22.88,44730,6.91,3850,1.25
"197","302440","SK바이오사이언스",136500,-4000,-2.85,240,568.75,3803,35.89,0,0
"198","326030","SK바이오팜",106500,1500,1.43,NA,NA,NA,NA,0,0
"199","03473K","SK우",231000,-4000,-1.7,NA,NA,NA,NA,5050,2.19
"200","096770","SK이노베이션",204500,2500,1.24,NA,NA,186398,1.1,3000,1.47
"201","096775","SK이노베이션우",149500,0,0,NA,NA,NA,NA,3050,2.04
"202","001510","SK증권",842,-4,-0.47,67,12.57,1197,0.7,10,1.19
"203","001515","SK증권우",4400,-50,-1.12,NA,NA,NA,NA,15,0.34
"204","285130","SK케미칼",267000,-6500,-2.38,802,332.92,54214,4.92,450,0.17
"205","28513K","SK케미칼우",124000,-4500,-3.5,NA,NA,NA,NA,500,0.4
"206","017670","SK텔레콤",249000,-1500,-0.6,12144,20.5,284310,0.88,10000,4.02
"207","000660","SK하이닉스",133500,-1500,-1.11,2943,45.36,65836,2.03,1000,0.75
"208","048550","SM C&C",1790,85,4.99,40,44.75,1237,1.45,0,0
"209","063440","SM Life Design",3305,40,1.23,NA,NA,1084,3.05,0,0
"210","064960","SNT모티브",60400,-2700,-4.28,181,333.7,50329,1.2,1400,2.32
"211","100840","SNT에너지",17600,0,0,2148,8.19,32631,0.54,800,4.55
"212","003570","SNT중공업",7450,-340,-4.36,622,11.98,18558,0.4,300,4.03
"213","036530","SNT홀딩스",19800,-200,-1,4072,4.86,46992,0.42,500,2.53
"214","005610","SPC삼립",72400,-500,-0.69,2492,29.05,37411,1.94,1104,1.52
"215","011810","STX",5730,0,0,NA,NA,2864,2,0,0
"216","077970","STX엔진",7060,10,0.14,737,9.58,8586,0.82,0,0
"217","071970","STX중공업",3970,60,1.53,NA,NA,4813,0.82,0,0
"218","289080","SV인베스트먼트",4710,40,0.86,NA,NA,1006,4.68,30,0.64
"219","084870","TBH글로벌",1740,-5,-0.29,NA,NA,5163,0.34,0,0
"220","002710","TCC스틸",4585,-40,-0.86,225,20.38,4962,0.92,30,0.65
"221","089230","THE E&M",1120,-5,-0.44,NA,NA,574,1.95,0,0
"222","161570","THE MIDONG",1780,-30,-1.66,NA,NA,2085,0.85,0,0
"223","032540","TJ미디어",3815,-75,-1.93,64,59.61,5642,0.68,50,1.31
"224","048770","TPC",4210,10,0.24,NA,NA,2030,2.07,15,0.36
"225","246690","TS인베스트먼트",4550,20,0.44,201,22.64,1434,3.17,25,0.55
"226","317240","TS트릴리온",1430,-25,-1.72,NA,NA,NA,NA,0,0
"227","038340","UCI",579,-118,-16.93,NA,NA,1110,0.52,0,0
"228","073570","WI",1580,10,0.64,20,79,536,2.95,0,0
"229","024070","WISCOM",3585,-45,-1.24,70,51.21,7697,0.47,50,1.39
"230","052300","W홀딩컴퍼니",306,-3,-0.97,NA,NA,429,0.71,0,0
"231","057030","YBM넷",7150,240,3.47,110,65,2583,2.77,0,0
"232","037270","YG PLUS",5990,-50,-0.83,NA,NA,1562,3.83,0,0
"233","040300","YTN",4090,-25,-0.61,NA,NA,4410,0.93,10,0.24
"234","051390","YW",4930,80,1.65,218,22.61,6272,0.79,50,1.01
"235","052220","iMBC",5530,410,8.01,93,59.46,2270,2.44,0,0
"236","079940","가비아",15300,450,3.03,826,18.52,5410,2.83,40,0.26
"237","078890","가온미디어",12100,-300,-2.42,1204,10.05,10280,1.18,100,0.83
"238","000500","가온전선",28500,1950,7.34,1391,20.49,61708,0.46,600,2.11
"239","192410","감마누",4065,275,7.26,711,5.72,17361,0.23,0,0
"240","000860","강남제비스코",24750,100,0.41,2250,11,81019,0.31,500,2.02
"241","217730","강스템바이오텍",7140,90,1.28,NA,NA,2936,2.43,0,0
"242","114190","강원",2500,0,0,NA,NA,1211,2.06,0,0
"243","035250","강원랜드",26300,-550,-2.05,1651,15.93,17377,1.51,900,3.42
"244","094480","갤럭시아머니트리",5860,-150,-2.5,233,25.15,2344,2.5,55,0.94
"245","011420","갤럭시아에스엠",1580,-65,-3.95,NA,NA,791,2,0,0
"246","063080","게임빌",45750,-1250,-2.66,2110,21.68,38098,1.2,0,0
"247","044480","경남바이오파마",2915,-85,-2.83,NA,NA,3458,0.84,0,0
"248","039240","경남스틸",2570,80,3.21,186,13.82,3487,0.74,90,3.5
"249","053950","경남제약",7090,90,1.29,NA,NA,3588,1.98,0,0
"250","223310","경남제약헬스케어",3320,0,0,NA,NA,4820,0.69,0,0
"251","002100","경농",13600,-50,-0.37,254,53.54,8484,1.6,220,1.62
"252","009450","경동나비엔",51000,300,0.59,2207,23.11,23612,2.16,300,0.59
"253","267290","경동도시가스",19250,0,0,4167,4.62,57537,0.33,875,4.55
"254","012320","경동인베스트",36000,500,1.41,4007,8.98,171962,0.21,500,1.39
"255","011040","경동제약",9730,-20,-0.21,850,11.45,8539,1.14,400,4.11
"256","000050","경방",13100,100,0.77,1630,8.04,27050,0.48,125,0.95
"257","214390","경보제약",11800,-50,-0.42,221,53.39,6239,1.89,100,0.85
"258","012610","경인양행",6630,-80,-1.19,344,19.27,5357,1.24,50,0.75
"259","009140","경인전자",27300,-400,-1.44,182,150,34673,0.79,250,0.92
"260","024910","경창산업",2890,40,1.4,NA,NA,2134,1.35,0,0
"261","013580","계룡건설",30900,-50,-0.16,8363,3.69,50766,0.61,600,1.94
"262","012200","계양전기",4330,-35,-0.8,4,1082.5,5425,0.8,35,0.81
"263","012205","계양전기우",6830,-10,-0.15,NA,NA,NA,NA,40,0.59
"264","002140","고려산업",4115,45,1.11,182,22.61,3842,1.07,30,0.73
"265","198440","고려시멘트",3550,30,0.85,106,33.49,2766,1.28,15,0.42
"266","049720","고려신용정보",6640,50,0.76,476,13.95,1577,4.21,250,3.77
"267","010130","고려아연",402500,-3500,-0.86,35811,11.24,355878,1.13,14000,3.48
"268","002240","고려제강",17550,0,0,434,40.44,59916,0.29,350,1.99
"269","014570","고려제약",11100,-200,-1.77,357,31.09,5914,1.88,100,0.9
"270","348150","고바이오랩",33950,-600,-1.74,NA,NA,NA,NA,0,0
"271","098460","고영",116900,4500,4,2192,53.33,17763,6.58,550,0.47
"272","038530","골드퍼시픽",1280,65,5.35,NA,NA,629,2.03,0,0
"273","215000","골프존",92000,9700,11.79,2585,35.59,31877,2.89,2050,2.23
"274","121440","골프존뉴딘홀딩스",7030,220,3.23,NA,NA,10475,0.67,117,1.66
"275","009290","광동제약",8490,-60,-0.7,582,14.59,8069,1.05,80,0.94
"276","014200","광림",1630,10,0.62,NA,NA,1480,1.1,0,0
"277","017040","광명전기",2540,-50,-1.93,185,13.73,2255,1.13,15,0.59
"278","017900","광전자",2295,30,1.32,66,34.77,3805,0.6,50,2.18
"279","037710","광주신세계",163500,0,0,29953,5.46,413244,0.4,3500,2.14
"280","026910","광진실업",4720,125,2.72,NA,NA,4384,1.08,0,0
"281","090150","광진윈텍",4250,-120,-2.75,223,19.06,4315,0.98,100,2.35
"282","355150","교보10호스팩",2075,0,0,NA,NA,NA,NA,0,0
"283","331520","교보9호스팩",2090,-10,-0.48,NA,NA,NA,NA,0,0
"284","030610","교보증권",7520,-30,-0.4,2391,3.15,26692,0.28,400,5.32
"285","339770","교촌에프앤비",17750,150,0.85,1411,12.58,3835,4.63,96,0.54
"286","053270","구영테크",4760,35,0.74,136,35,2717,1.75,30,0.63
"287","007690","국도화학",63500,600,0.95,6219,10.21,88911,0.71,1500,2.36
"288","005320","국동",4470,-70,-1.54,NA,NA,2337,1.91,0,0
"289","001140","국보",2340,55,2.41,NA,NA,1333,1.76,0,0
"290","066620","국보디자인",21800,900,4.31,2293,9.51,16449,1.33,300,1.38
"291","043650","국순당",7750,250,3.33,NA,NA,11214,0.69,100,1.29
"292","006050","국영지앤엠",2755,25,0.92,32,86.09,1514,1.82,15,0.54
"293","060480","국일신동",4225,15,0.36,NA,NA,4269,0.99,50,1.18
"294","078130","국일제지",6100,-40,-0.65,NA,NA,357,17.09,0,0
"295","307750","국전약품",6470,-60,-0.92,NA,NA,NA,NA,0,0
"296","002720","국제약품",7840,-20,-0.25,NA,NA,3163,2.48,0,0
"297","204020","그리티",3015,15,0.5,89,33.88,3678,0.82,30,1
"298","083420","그린케미칼",13400,300,2.29,236,56.78,4521,2.96,170,1.27
"299","186230","그린플러스",12400,100,0.81,337,36.8,3824,3.24,0,0
"300","014530","극동유화",5300,270,5.37,422,12.56,4825,1.1,160,3.02
"301","204620","글로벌텍스프리",3170,-50,-1.55,163,19.45,1953,1.62,0,0
"302","019660","글로본",4520,40,0.89,NA,NA,714,6.33,0,0
"303","014280","금강공업",5520,270,5.14,NA,NA,10865,0.51,80,1.45
"304","014285","금강공업우",11650,550,4.95,NA,NA,NA,NA,90,0.77
"305","053260","금강철강",7420,120,1.64,265,28,5902,1.26,100,1.35
"306","008870","금비",66600,600,0.91,8088,8.23,103528,0.64,1700,2.55
"307","001570","금양",4620,-125,-2.63,NA,NA,1535,3.01,0,0
"308","002990","금호산업",9370,70,0.75,332,28.22,10364,0.9,500,5.34
"309","002995","금호산업우",30850,0,0,NA,NA,NA,NA,550,1.78
"310","011780","금호석유",230500,-2500,-1.07,10549,21.85,78488,2.94,1500,0.65
"311","011785","금호석유우",92200,200,0.22,NA,NA,NA,NA,1550,1.68
"312","214330","금호에이치티",2310,30,1.32,NA,NA,2439,0.95,0,0
"313","001210","금호전기",2610,-35,-1.32,NA,NA,3098,0.84,0,0
"314","073240","금호타이어",3800,-35,-0.91,NA,NA,4383,0.87,0,0
"315","036190","금화피에스시",29100,-400,-1.36,4614,6.31,39902,0.73,1300,4.47
"316","049080","기가레인",1955,-20,-1.01,NA,NA,526,3.72,0,0
"317","035460","기산텔레콤",2890,20,0.7,231,12.51,2198,1.31,0,0
"318","092440","기신정기",5510,150,2.8,298,18.49,8125,0.68,150,2.72
"319","000270","기아차",81800,-1700,-2.04,4556,17.95,71487,1.14,1150,1.41
"320","024110","기업은행",8900,-110,-1.22,2242,3.97,33567,0.27,670,7.53
"321","013700","까뮤이앤씨",2225,-150,-6.32,305,7.3,1571,1.42,30,1.35
"322","308100","까스텔바작",12700,600,4.96,1083,11.73,11624,1.09,0,0
"323","004540","깨끗한나라",4255,245,6.11,NA,NA,4260,1,0,0
"324","004545","깨끗한나라우",17800,50,0.28,NA,NA,NA,NA,0,0
"325","187790","나노",1485,-20,-1.33,18,82.5,1954,0.76,0,0
"326","286750","나노브릭",17600,50,0.28,NA,NA,3103,5.67,0,0
"327","151910","나노스",8200,190,2.37,NA,NA,336,24.4,0,0
"328","121600","나노신소재",29150,-150,-0.51,541,53.88,8591,3.39,120,0.41
"329","247660","나노씨엠에스",18350,-450,-2.39,NA,NA,750,24.47,0,0
"330","039860","나노엔텍",7090,-60,-0.84,219,32.37,1546,4.59,0,0
"331","091970","나노캠텍",2070,20,0.98,NA,NA,2292,0.9,0,0
"332","051490","나라엠앤디",9680,-10,-0.1,78,124.1,5596,1.73,60,0.62
"333","190510","나무가",20300,0,0,NA,NA,6446,3.15,0,0
"334","242040","나무기술",2800,-50,-1.75,131,21.37,592,4.73,0,0
"335","089600","나스미디어",39400,250,0.64,2156,18.27,14753,2.67,660,1.68
"336","293580","나우IB",9960,-90,-0.9,312,31.92,7428,1.34,150,1.51
"337","138610","나이벡",33650,-250,-0.74,NA,NA,2767,12.16,0,0
"338","130580","나이스디앤비",10100,50,0.5,686,14.72,3540,2.85,175,1.73
"339","036800","나이스정보통신",30250,350,1.17,3212,9.42,23005,1.31,460,1.52
"340","267320","나인테크",4435,10,0.23,NA,NA,NA,NA,0,0
"341","001260","남광토건",13800,200,1.47,394,35.03,5379,2.57,0,0
"342","008350","남선알미늄",3975,-30,-0.75,131,30.34,1621,2.45,0,0
"343","008355","남선알미우",37150,900,2.48,NA,NA,NA,NA,0,0
"344","004270","남성",4090,130,3.28,NA,NA,2379,1.72,25,0.61
"345","003920","남양유업",301500,1500,0.5,34527,8.73,1028846,0.29,1000,0.33
"346","003925","남양유업우",175500,-2500,-1.4,NA,NA,NA,NA,1050,0.6
"347","025860","남해화학",8810,50,0.57,335,26.3,8735,1.01,60,0.68
"348","111710","남화산업",9540,-270,-2.75,150,63.6,6556,1.46,50,0.52
"349","091590","남화토건",10500,-550,-4.98,424,24.76,11305,0.93,70,0.67
"350","168330","내츄럴엔도텍",2525,0,0,NA,NA,1010,2.5,0,0
"351","253590","네오셈",3675,45,1.24,NA,NA,999,3.68,10,0.27
"352","212560","네오오토",7880,290,3.82,317,24.86,10077,0.78,50,0.63
"353","095660","네오위즈",23600,550,2.39,1133,20.83,14741,1.6,0,0
"354","042420","네오위즈홀딩스",36100,600,1.69,2529,14.27,36556,0.99,123,0.34
"355","311390","네오크레마",7840,20,0.26,164,47.8,5197,1.51,0,0
"356","085910","네오티스",4020,-40,-0.99,135,29.78,3880,1.04,250,6.22
"357","092730","네오팜",32400,-450,-1.37,2570,12.61,12878,2.52,750,2.31
"358","290660","네오펙트",3010,30,1.01,NA,NA,907,3.32,0,0
"359","306620","네온테크",4030,10,0.25,4,1007.5,1822,2.21,0,0
"360","153460","네이블",6140,0,0,NA,NA,3674,1.67,0,0
"361","007390","네이처셀",10000,50,0.5,16,625,1338,7.47,0,0
"362","033640","네패스",39350,400,1.03,1349,29.17,9053,4.35,270,0.69
"363","330860","네패스아크",47500,2400,5.32,763,62.25,3876,12.25,0,0
"364","005720","넥센",4505,15,0.33,1055,4.27,18028,0.25,80,1.78
"365","005725","넥센우",2940,15,0.51,NA,NA,NA,NA,85,2.89
"366","002350","넥센타이어",7500,0,0,1153,6.5,14921,0.5,105,1.4
"367","002355","넥센타이어1우B",2940,-10,-0.34,NA,NA,NA,NA,110,3.74
"368","089140","넥스턴",16000,-1850,-10.36,539,29.68,8455,1.89,100,0.63
"369","065170","넥스트BT",1405,-5,-0.35,NA,NA,734,1.91,0,0
"370","003580","넥스트사이언스",5750,-820,-12.48,NA,NA,2692,2.14,0,0
"371","137940","넥스트아이",1365,5,0.37,NA,NA,1028,1.33,0,0
"372","348210","넥스틴",81500,1700,2.13,NA,NA,180,452.78,0,0
"373","041140","넥슨지티",13300,0,0,85,156.47,3040,4.38,0,0
"374","217270","넵튠",25500,150,0.59,NA,NA,2945,8.66,0,0
"375","225570","넷게임즈",14750,1650,12.6,NA,NA,1323,11.15,0,0
"376","251270","넷마블",124000,-1500,-1.2,1883,65.85,51919,2.39,0,0
"377","104620","노랑풍선",24950,-400,-1.58,NA,NA,11795,2.12,200,0.8
"378","090350","노루페인트",9600,240,2.56,923,10.4,15754,0.61,275,2.86
"379","090355","노루페인트우",11950,0,0,NA,NA,NA,NA,280,2.34
"380","000320","노루홀딩스",12000,0,0,439,27.33,27108,0.44,400,3.33
"381","000325","노루홀딩스우",16250,400,2.52,NA,NA,NA,NA,405,2.49
"382","194700","노바렉스",42000,150,0.36,1850,22.7,10195,4.12,200,0.48
"383","285490","노바텍",39650,200,0.51,548,72.35,2838,13.97,242,0.61
"384","278650","노터스",27000,50,0.19,650,41.54,5581,4.84,0,0
"385","006280","녹십자",365000,-4500,-1.22,NA,NA,89738,4.07,1000,0.27
"386","144510","녹십자랩셀",110300,-3100,-2.73,NA,NA,4174,26.43,25,0.02
"387","031390","녹십자셀",43300,-350,-0.8,923,46.91,6986,6.2,100,0.23
"388","142280","녹십자엠에스",10150,100,1,NA,NA,2348,4.32,0,0
"389","234690","녹십자웰빙",12500,200,1.63,400,31.25,4685,2.67,80,0.64
"390","005250","녹십자홀딩스",36650,950,2.66,59,621.19,16407,2.23,325,0.89
"391","005257","녹십자홀딩스2우",91000,6000,7.06,NA,NA,NA,NA,325,0.36
"392","065560","녹원씨엔아이",5770,0,0,NA,NA,4418,1.31,0,0
"393","004370","농심",283000,-1500,-0.53,12277,23.05,316955,0.89,4000,1.41
"394","072710","농심홀딩스",74500,-200,-0.27,7887,9.45,198514,0.38,2000,2.68
"395","054050","농우바이오",12350,200,1.65,436,28.33,14399,0.86,200,1.62
"396","040160","누리텔레콤",7180,30,0.42,761,9.43,5666,1.27,50,0.7
"397","069140","누리플랜",7500,120,1.63,NA,NA,4313,1.74,0,0
"398","126870","뉴로스",2230,0,0,NA,NA,2748,0.81,0,0
"399","060260","뉴보텍",1395,-15,-1.06,66,21.14,826,1.69,0,0
"400","012340","뉴인텍",3965,-45,-1.12,NA,NA,899,4.41,0,0
"401","214870","뉴지랩",10700,-300,-2.73,NA,NA,2710,3.95,0,0
"402","270870","뉴트리",29650,100,0.34,1056,28.08,6336,4.68,150,0.51
"403","144960","뉴파워프라즈마",6300,0,0,135,46.67,3269,1.93,0,0
"404","085670","뉴프렉스",1875,-10,-0.53,NA,NA,2301,0.81,0,0
"405","119860","다나와",33500,-300,-0.89,1822,18.39,8387,3.99,400,1.19
"406","064260","다날",7880,-70,-0.88,434,18.16,3168,2.49,0,0
"407","093640","다믈멀티미디어",2790,-35,-1.24,53,52.64,1961,1.42,0,0
"408","039560","다산네트웍스",10400,100,0.97,51,203.92,5002,2.08,0,0
"409","058730","다스코",4995,20,0.4,125,39.96,8008,0.62,0,0
"410","023590","다우기술",25950,450,1.76,4283,6.06,29783,0.87,400,1.54
"411","032190","다우데이타",12550,-150,-1.18,1782,7.04,15886,0.79,180,1.43
"412","068240","다원시스",18900,100,0.53,155,121.94,7550,2.5,100,0.53
"413","019680","대교",4000,-35,-0.87,190,21.05,5848,0.68,170,4.25
"414","019685","대교우B",2650,-15,-0.56,NA,NA,NA,NA,180,6.79
"415","006370","대구백화점",10000,-100,-0.99,NA,NA,25376,0.39,100,1
"416","008060","대덕",6810,-20,-0.29,976,6.98,12786,0.53,300,4.41
"417","00806K","대덕1우",7870,-40,-0.51,NA,NA,NA,NA,305,3.88
"418","353200","대덕전자",14100,50,0.36,NA,NA,NA,NA,0,0
"419","35320K","대덕전자1우",8980,-60,-0.66,NA,NA,NA,NA,0,0
"420","000490","대동공업",8800,30,0.34,150,58.67,9019,0.98,60,0.68
"421","020400","대동금속",9700,300,3.19,NA,NA,13552,0.72,60,0.62
"422","008830","대동기어",3920,100,2.62,NA,NA,6383,0.61,25,0.64
"423","048470","대동스틸",5600,110,2,32,175,6111,0.92,30,0.54
"424","008110","대동전자",5660,60,1.07,512,11.05,13257,0.43,500,8.83
"425","004780","대륙제관",5780,-210,-3.51,337,17.15,6719,0.86,100,1.73
"426","005750","대림B&Co",5860,20,0.34,132,44.39,9607,0.61,130,2.22
"427","001880","대림건설",33450,300,0.9,6265,5.34,30161,1.11,400,1.2
"428","017650","대림제지",13000,650,5.26,280,46.43,17050,0.76,0,0
"429","006570","대림통상",3905,10,0.26,NA,NA,6005,0.65,140,3.59
"430","007720","대명소노시즌",1460,10,0.69,633,2.31,1643,0.89,0,0
"431","317850","대모",4960,110,2.27,235,21.11,5213,0.95,70,1.41
"432","290670","대보마그네틱",33000,-1000,-2.94,593,55.65,5448,6.06,0,0
"433","078140","대봉엘에스",10200,50,0.49,517,19.73,7289,1.4,50,0.49
"434","001680","대상",25000,0,0,2976,8.4,27896,0.9,600,2.4
"435","001685","대상우",17150,150,0.88,NA,NA,NA,NA,610,3.56
"436","084690","대상홀딩스",9750,-100,-1.02,1946,5.01,15703,0.62,200,2.05
"437","084695","대상홀딩스우",8160,-10,-0.12,NA,NA,NA,NA,210,2.57
"438","036480","대성미생물",18200,0,0,750,24.27,9235,1.97,85,0.47
"439","128820","대성산업",4030,20,0.5,NA,NA,9118,0.44,0,0
"440","117580","대성에너지",5410,60,1.12,474,11.41,11145,0.49,250,4.62
"441","025440","대성엘텍",1350,100,8,NA,NA,387,3.49,0,0
"442","027830","대성창투",3235,85,2.7,NA,NA,1250,2.59,0,0
"443","104040","대성파인텍",2770,45,1.65,39,71.03,1693,1.64,0,0
"444","016710","대성홀딩스",28600,50,0.18,837,34.17,26020,1.1,250,0.87
"445","332290","대신밸런스제7호스팩",2110,5,0.24,NA,NA,NA,NA,0,0
"446","336570","대신밸런스제8호스팩",2080,-15,-0.72,NA,NA,NA,NA,0,0
"447","369370","대신밸런스제9호스팩",2120,25,1.19,NA,NA,NA,NA,0,0
"448","020180","대신정보통신",1915,95,5.22,39,49.1,678,2.82,10,0.52
"449","003540","대신증권",15400,-50,-0.32,1310,11.76,22870,0.67,1000,6.49
"450","003547","대신증권2우B",12050,100,0.84,NA,NA,NA,NA,1050,8.71
"451","003545","대신증권우",12550,100,0.8,NA,NA,NA,NA,1050,8.37
"452","045390","대아티아이",5180,20,0.39,30,172.67,1327,3.9,20,0.39
"453","009190","대양금속",3850,0,0,230,16.74,1907,2.02,0,0
"454","108380","대양전기공업",15750,200,1.29,1334,11.81,21740,0.72,200,1.27
"455","006580","대양제지",3260,0,0,1070,3.05,5010,0.65,40,1.23
"456","014160","대영포장",2895,-120,-3.98,100,28.95,1389,2.08,0,0
"457","047040","대우건설",6270,-240,-3.69,508,12.34,5916,1.06,0,0
"458","009320","대우부품",2635,5,0.19,NA,NA,775,3.4,0,0
"459","042660","대우조선해양",26550,350,1.34,NA,NA,35025,0.76,0,0
"460","003090","대웅",32850,-50,-0.15,1446,22.72,10795,3.04,100,0.3
"461","069620","대웅제약",129500,2500,1.97,2132,60.74,44820,2.89,600,0.46
"462","007680","대원",9440,10,0.11,845,11.17,25261,0.37,250,2.65
"463","000430","대원강업",4320,-160,-3.57,258,16.74,7743,0.56,115,2.66
"464","048910","대원미디어",13650,250,1.87,90,151.67,6244,2.19,0,0
"465","005710","대원산업",6790,-30,-0.44,1950,3.48,15540,0.44,125,1.84
"466","006340","대원전선",1550,20,1.31,NA,NA,1136,1.36,0,0
"467","006345","대원전선우",2515,10,0.4,NA,NA,NA,NA,0,0
"468","003220","대원제약",16500,250,1.54,1306,12.63,9660,1.71,260,1.58
"469","024890","대원화성",2855,185,6.93,104,27.45,1925,1.48,10,0.35
"470","290380","대유",15050,-100,-0.66,543,27.72,6992,2.15,250,1.66
"471","002880","대유에이텍",1105,-15,-1.34,94,11.76,1013,1.09,0,0
"472","290120","대유에이피",7070,30,0.43,733,9.65,4288,1.65,200,2.83
"473","000300","대유플러스",777,-30,-3.72,152,5.11,953,0.82,0,0
"474","120240","대정화금",25900,50,0.19,855,30.29,17078,1.52,300,1.16
"475","003310","대주산업",2135,-20,-0.93,51,41.86,1472,1.45,30,1.41
"476","078600","대주전자재료",41950,350,0.84,NA,NA,5269,7.96,0,0
"477","012800","대창",1845,5,0.27,66,27.95,2023,0.91,10,0.54
"478","015230","대창단조",7090,10,0.14,1039,6.82,12724,0.56,220,3.1
"479","096350","대창솔루션",436,23,5.57,NA,NA,412,1.06,0,0
"480","140520","대창스틸",2780,5,0.18,NA,NA,4685,0.59,100,3.6
"481","131220","대한과학",13000,0,0,165,78.79,3788,3.43,60,0.46
"482","010170","대한광통신",3325,-30,-0.89,NA,NA,2433,1.37,0,0
"483","060900","대한그린파워",2220,-5,-0.22,NA,NA,188,11.81,0,0
"484","054670","대한뉴팜",11200,300,2.75,1085,10.32,4254,2.63,0,0
"485","001070","대한방직",41350,100,0.24,NA,NA,23893,1.73,0,0
"486","023910","대한약품",36350,400,1.11,4694,7.74,27796,1.31,400,1.1
"487","006650","대한유화",322500,-500,-0.15,17218,18.73,273632,1.18,2500,0.78
"488","001440","대한전선",1010,0,0,NA,NA,345,2.93,0,0
"489","084010","대한제강",14200,-300,-2.07,1340,10.6,18665,0.76,200,1.41
"490","001790","대한제당",25000,-850,-3.29,1717,14.56,48261,0.52,675,2.7
"491","001795","대한제당우",20350,250,1.24,NA,NA,NA,NA,700,3.44
"492","001130","대한제분",144000,2000,1.41,10196,14.12,449614,0.32,2000,1.39
"493","003490","대한항공",26750,-550,-2.01,NA,NA,17950,1.49,0,0
"494","003495","대한항공우",39100,200,0.51,NA,NA,NA,NA,0,0
"495","005880","대한해운",3585,5,0.14,374,9.59,3394,1.06,0,0
"496","003830","대한화섬",135500,-1000,-0.73,20048,6.76,401661,0.34,410,0.3
"497","016090","대현",2125,-5,-0.23,376,5.65,4498,0.47,100,4.71
"498","069460","대호에이엘",2470,-110,-4.26,NA,NA,972,2.54,0,0
"499","021040","대호피앤씨",814,-2,-0.25,10,81.4,933,0.87,0,0
"500","021045","대호피앤씨우",1225,5,0.41,NA,NA,NA,NA,0,0
"501","067080","대화제약",12250,50,0.41,600,20.42,4354,2.81,150,1.22
"502","298540","더네이쳐홀딩스",57100,1300,2.33,3167,18.03,12200,4.68,0,0
"503","192080","더블유게임즈",63700,-100,-0.16,6541,9.74,35440,1.8,350,0.55
"504","299170","더블유에스아이",2755,85,3.18,NA,NA,NA,NA,0,0
"505","035290","더블유에프엠",1305,0,0,NA,NA,50,26.1,0,0
"506","012510","더존비즈온",100500,0,0,1684,59.68,11427,8.79,470,0.47
"507","213420","덕산네오룩스",48450,2350,5.1,798,60.71,6662,7.27,0,0
"508","317330","덕산테코피아",19800,1450,7.9,696,28.45,7900,2.51,0,0
"509","077360","덕산하이메탈",12650,250,2.02,563,22.47,8904,1.42,0,0
"510","004830","덕성",13350,1750,15.09,10,1335,3690,3.62,20,0.15
"511","004835","덕성우",18500,1400,8.19,NA,NA,NA,NA,25,0.14
"512","090410","덕신하우징",1370,20,1.48,39,35.13,1814,0.76,0,0
"513","024900","덕양산업",2775,-55,-1.94,NA,NA,1439,1.93,0,0
"514","263600","덕우전자",8260,-310,-3.62,556,14.86,5581,1.48,140,1.69
"515","194480","데브시스터즈",103800,3900,3.9,NA,NA,9195,11.29,0,0
