"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",1430,1307,1328,1255
"매출원가",1255,1145,1176,1115
"매출총이익",175,162,152,140
"판매비와관리비",165,160,155,133
"인건비",66,78,76,67
"유무형자산상각비",12,13,14,12
"연구개발비",19,18,14,12
"광고선전비",0,0,NA,0
"판매비",31,26,27,21
"관리비",38,25,24,21
"기타원가성비용",NA,NA,NA,NA
"기타",0,0,0,0
"영업이익",10,2,-4,8
"영업이익(발표기준)",10,2,-4,8
"금융수익",1,1,1,3
"이자수익",1,1,1,3
"배당금수익",0,0,0,0
"외환이익",NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA
"금융원가",9,8,9,8
"이자비용",9,8,9,8
"외환손실",NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA
"기타수익",16,24,24,36
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",0,2,1,1
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",0,1,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",1,1,0,0
"대손충당금환입",NA,NA,NA,0
"충당부채환입액",NA,NA,NA,NA
"기타비용",33,45,12,42
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",0,0,0,2
"자산평가손실",NA,NA,NA,NA
"자산손상차손",NA,29,NA,6
"기타대손상각비",NA,NA,NA,3
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-1,-3,-2,-1
"지분법손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",-15,-29,-2,-6
"법인세비용",-2,2,0,-3
"계속영업이익",-13,-31,-1,-2
"중단영업이익",NA,NA,NA,NA
"당기순이익",-13,-31,-1,-2
"지배주주순이익",-18,-23,-2,8
"비지배주주순이익",5,-8,1,-10
"자산",1060,1093,1109,1220
"유동자산",593,646,623,685
"재고자산",113,143,154,158
"유동생물자산",NA,NA,NA,NA
"유동금융자산",6,23,33,36
"매출채권및기타유동채권",362,390,358,399
"당기법인세자산",4,4,4,0
"계약자산",NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",18,17,34,18
"현금및현금성자산",90,70,41,74
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA
"비유동자산",467,447,485,536
"유형자산",394,364,369,392
"무형자산",10,12,10,7
"비유동생물자산",NA,NA,NA,NA
"투자부동산",5,14,14,14
"장기금융자산",20,19,18,23
"관계기업등지분관련투자자산",9,6,4,3
"장기매출채권및기타비유동채권",18,17,43,66
"이연법인세자산",7,11,10,12
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",4,4,17,18
"기타금융업자산",NA,NA,NA,NA
"부채",597,667,683,804
"유동부채",495,556,560,647
"단기사채",NA,NA,NA,NA
"단기차입금",149,182,154,114
"유동성장기부채",8,9,14,15
"유동금융부채",0,0,0,0
"매입채무및기타유동채무",326,349,391,508
"유동종업원급여충당부채",NA,NA,NA,NA
"기타단기충당부채",NA,NA,NA,NA
"당기법인세부채",NA,2,NA,NA
"계약부채",NA,NA,NA,NA
"반품(환불)부채",NA,4,0,9
"배출부채",NA,NA,NA,NA
"기타유동부채",11,9,NA,0
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA
"비유동부채",102,111,123,157
"사채",NA,NA,NA,NA
"장기차입금",44,37,56,86
"비유동금융부채",NA,NA,5,8
"장기매입채무및기타비유동채무",1,3,1,1
"비유동종업원급여충당부채",46,57,51,56
"기타장기충당부채",NA,NA,NA,NA
"이연법인세부채",11,14,11,7
"장기당기법인세부채",NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA
"기타금융업부채",NA,NA,NA,NA
"자본",463,426,426,416
"지배기업주주지분",413,382,379,382
"자본금",37,37,37,37
"신종자본증권",NA,NA,NA,NA
"자본잉여금",76,76,76,76
"기타자본",NA,NA,NA,NA
"기타포괄손익누계액",-11,-8,-7,-6
"이익잉여금(결손금)",311,277,273,275
"비지배주주지분",50,45,47,34
"영업활동으로인한현금흐름",77,27,61,149
"당기순손익",-13,-31,-1,-2
"법인세비용차감전계속사업이익",NA,NA,NA,NA
"현금유출이없는비용등가산",107,128,99,128
"퇴직급여",14,13,12,10
"종업원급여",NA,NA,NA,NA
"주식보상비",NA,NA,NA,NA
"감가상각비",53,54,63,66
"무형자산상각비",3,3,2,2
"계약부채전입액",NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA
"기타의대손상각비",NA,NA,NA,3
"배당금지급",NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA
"사채상환손실",NA,NA,NA,NA
"투자자산평가손실",NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA
"지분법관련손실",NA,NA,NA,NA
"종속기업관련손실",NA,NA,NA,NA
"관계기업관련손익",1,3,2,1
"(현금유입이없는수익등차감)",16,17,15,20
"금융부채관련이익",NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA
"지분법관련이익",NA,NA,NA,NA
"종속회사관련이익",NA,NA,NA,NA
"법인세수익",2,NA,0,3
"영업활동으로인한자산부채변동(운전자본변동)",9,-55,-16,41
"자산의감소(증가)",24,-50,-27,-71
"부채의증가(감소)",-15,-5,11,112
"정부보조금등의변동",NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA
"*영업에서창출된현금흐름",86,26,65,147
"기타영업활동으로인한현금흐름",-10,1,-4,2
"이자수입",NA,NA,NA,NA
"이자지급(-)",NA,NA,NA,NA
"배당금수입",NA,NA,NA,NA
"배당금지급(-)",NA,NA,NA,NA
"법인세환입",NA,1,NA,2
"법인세납부(-)",-10,NA,-4,NA
"중단영업관련현금흐름",NA,NA,NA,NA
"투자활동으로인한현금흐름",-81,-61,-56,-94
"투자활동으로인한현금유입액",15,22,13,21
"유동금융자산의감소",9,8,2,5
"장기금융상품의감소",4,0,1,NA
"매도가능금융자산의감소",NA,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA
"장기대여금의감소",NA,NA,NA,NA
"파생상품의변동",NA,NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA,NA
"유형자산의감소",2,10,9,12
"무형자산의감소",NA,NA,NA,2
"생물자산의감소",NA,NA,NA,NA
"투자부동산의감소",NA,NA,NA,NA
"기타투자활동으로인한현금유입액",0,3,0,1
"(투자활동으로인한현금유출액)",97,84,70,118
"유동금융자산의증가",5,22,10,8
"장기금융상품의증가",2,2,2,2
"매도가능금융자산의증가",NA,NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA,NA
"장기대여금의증가",NA,NA,NA,NA
"기타비유동금융자산의증가",NA,NA,NA,NA
"관계기업등지분관련투자자산의증가",NA,NA,NA,NA
"유형자산의증가",73,55,55,107
"무형자산의증가",0,5,1,0
"생물자산의증가",NA,NA,NA,NA
"투자부동산의증가",NA,NA,NA,NA
"기타투자활동으로인한현금유출액",17,0,1,1
"기타투자활동으로인한현금흐름",1,1,1,2
"재무활동으로인한현금흐름",-28,11,-34,-17
"재무활동으로인한현금유입액",33,42,460,169
"사채의증가",NA,NA,NA,NA
"차입금의증가",30,40,459,169
"미지급금의증가",NA,NA,NA,NA
"유동성장기부채의증가",NA,NA,NA,NA
"기타금융부채의증가",NA,NA,NA,NA
"기타부채의증가",NA,NA,NA,NA
"유상증자",NA,NA,NA,NA
"자기주식의처분",NA,NA,NA,NA
"주식매입선택권의행사",NA,NA,NA,NA
"자본구성항목의증가",NA,NA,NA,NA
"기타재무활동으로인한현금유입액",3,2,1,0
"(재무활동으로인한현금유출액)",52,19,481,177
"사채의감소",NA,NA,NA,NA
"차입금의감소",39,11,465,159
"미지급금의감소",NA,NA,NA,NA
"유동성장기부채의감소",13,9,9,8
"기타금융부채의감소",NA,NA,6,9
"기타부채의감소",NA,NA,NA,NA
"유상감자",NA,NA,NA,NA
"자기주식의취득",NA,NA,NA,NA
"자본구성항목의감소",NA,NA,NA,NA
"기타재무활동으로인한현금유출액",NA,NA,1,1
"기타재무활동으로인한현금흐름",-9,-12,-13,-10
"영업투자재무활동기타현금흐름",NA,NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA,NA
"환율변동효과",-5,2,1,-4
"현금및현금성자산의증가",-38,-20,-28,32
"기초현금및현금성자산",128,90,70,41
"기말현금및현금성자산",90,70,41,74
