"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",735,366,118,280
"매출원가",652,375,99,275
"매출총이익",83,-9,19,5
"판매비와관리비",117,98,69,92
"인건비",49,34,37,34
"유무형자산상각비",6,1,7,5
"연구개발비",1,2,2,1
"광고선전비",NA,NA,0,5
"판매비",11,36,-6,0
"관리비",37,24,29,46
"기타원가성비용",NA,NA,NA,NA
"기타",13,1,0,0
"영업이익",-34,-107,-50,-86
"영업이익(발표기준)",-34,-107,-50,-86
"금융수익",17,64,117,301
"이자수익",3,3,1,2
"배당금수익",0,NA,NA,NA
"외환이익",NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",7,57,61,36
"금융자산평가이익",NA,4,36,258
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",7,NA,NA,NA
"기타금융수익",NA,0,19,6
"금융원가",29,23,109,334
"이자비용",21,7,13,37
"외환손실",NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",2,12,6,0
"금융자산평가손실",NA,4,91,293
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",5,NA,NA,NA
"기타금융원가",NA,NA,NA,4
"기타수익",46,44,207,12
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",4,0,8,1
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",NA,NA,NA,0
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,3,4,4
"충당부채환입액",NA,NA,NA,NA
"기타비용",9,25,112,29
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",0,NA,0,0
"자산평가손실",NA,NA,NA,NA
"자산손상차손",NA,NA,106,11
"기타대손상각비",NA,22,NA,11
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-32,-58,-21,-29
"지분법손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",-40,-104,32,-165
"법인세비용",1,17,0,0
"계속영업이익",-40,-121,32,-165
"중단영업이익",NA,NA,NA,NA
"당기순이익",-40,-121,32,-165
"지배주주순이익",-33,-121,38,-129
"비지배주주순이익",-7,0,-6,-36
"자산",610,939,1246,1250
"유동자산",280,414,523,641
"재고자산",45,21,276,466
"유동생물자산",NA,NA,NA,NA
"유동금융자산",1,6,36,3
"매출채권및기타유동채권",91,66,62,43
"당기법인세자산",0,1,1,2
"계약자산",NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",4,15,58,47
"현금및현금성자산",137,189,74,72
