"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",12078,10888,9389,404
"매출원가",10514,9478,8024,365
"매출총이익",1564,1410,1364,39
"판매비와관리비",1287,1321,1247,30
"인건비",430,425,374,13
"유무형자산상각비",26,20,39,3
"연구개발비",20,21,22,NA
"광고선전비",20,14,19,NA
"판매비",61,108,118,0
"관리비",679,682,639,12
"기타원가성비용",NA,NA,NA,NA
"기타",52,51,37,2
"영업이익",277,89,117,9
"영업이익(발표기준)",277,89,117,9
"금융수익",175,149,145,3
"이자수익",79,78,57,1
"배당금수익",1,2,6,NA
"외환이익",92,55,75,2
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,9,0,NA
"금융자산평가이익",1,5,5,NA
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",1,1,1,0
"기타금융수익",NA,NA,NA,NA
"금융원가",237,191,236,14
"이자비용",117,130,130,12
"외환손실",106,54,86,3
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",0,NA,NA,NA
"금융자산평가손실",NA,6,1,NA
"금융자산손상차손",11,NA,NA,NA
"파생상품손실",1,1,7,NA
"기타금융원가",1,1,12,NA
"기타수익",164,213,571,293
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",8,23,455,NA
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",11,12,5,5
"로열티수익",NA,NA,NA,NA
"수수료수익",37,15,32,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",35,26,41,NA
"기타비용",335,210,436,22
"재고자산감모손실",NA,NA,NA,NA
