"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",894,852,848,745
"매출원가",586,568,581,535
"매출총이익",309,284,267,209
"판매비와관리비",167,158,172,168
"인건비",73,76,80,89
"유무형자산상각비",4,3,6,7
"연구개발비",NA,NA,NA,NA
"광고선전비",23,14,9,9
"판매비",23,18,24,27
"관리비",44,47,53,35
"기타원가성비용",NA,NA,NA,NA
"기타",0,NA,NA,NA
"영업이익",141,126,95,41
"영업이익(발표기준)",141,126,95,41
"금융수익",122,106,75,55
"이자수익",5,15,16,12
"배당금수익",8,6,3,6
"외환이익",NA,10,13,11
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",95,25,7,0
"금융자산평가이익",9,50,36,25
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",5,NA,NA,NA
"기타금융수익",NA,NA,NA,NA
"금융원가",35,63,43,53
"이자비용",0,0,1,1
"외환손실",NA,6,11,24
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",2,3,5,3
"금융자산평가손실",3,49,26,12
"금융자산손상차손",17,NA,NA,14
"파생상품손실",1,NA,NA,NA
"기타금융원가",13,5,NA,NA
"기타수익",8,8,2,10
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",NA,0,0,1
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",15,3,4,15
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",2,2,3,2
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",0,0,1,NA
"자산평가손실",NA,NA,NA,NA
"자산손상차손",0,NA,NA,NA
"기타대손상각비",NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,-3,2,0
"지분법손익",NA,-3,2,0
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",220,172,127,37
"법인세비용",41,27,32,-18
"계속영업이익",179,145,97,69
"중단영업이익",27,NA,-1,-14
"당기순이익",206,145,96,56
"지배주주순이익",209,146,96,56
"비지배주주순이익",-3,-1,0,0
"자산",1616,1629,1641,1648
"유동자산",1202,1272,1201,1315
"재고자산",258,261,276,269
"유동생물자산",NA,NA,NA,NA
"유동금융자산",151,480,549,411
"매출채권및기타유동채권",177,201,145,109
"당기법인세자산",NA,NA,NA,NA
"계약자산",NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",13,12,18,20
