"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",2871,2403,2845,2579
"매출원가",2548,2146,2442,2190
"매출총이익",323,258,403,389
"판매비와관리비",219,200,272,292
"인건비",82,84,105,118
"유무형자산상각비",8,7,13,21
"연구개발비",54,44,64,64
"광고선전비",0,0,7,NA
"판매비",28,20,29,26
"관리비",42,30,38,32
"기타원가성비용",NA,NA,NA,NA
"기타",5,14,16,31
"영업이익",104,58,131,98
"영업이익(발표기준)",104,58,131,98
"금융수익",49,163,83,100
"이자수익",14,19,17,8
"배당금수익",NA,NA,NA,NA
"외환이익",23,49,52,54
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,54,NA,10
"금융자산평가이익",NA,4,11,2
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",12,37,1,25
"기타금융수익",NA,NA,2,NA
"금융원가",111,60,272,394
"이자비용",24,30,56,46
"외환손실",86,18,29,64
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,0,NA,9
"금융자산평가손실",NA,2,10,0
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",1,4,177,275
"기타금융원가",NA,6,NA,NA
"기타수익",17,9,18,74
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",9,3,1,31
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",31,92,8,25
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",12,8,2,5
"자산평가손실",NA,NA,NA,NA
"자산손상차손",9,31,NA,NA
"기타대손상각비",NA,10,NA,18
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-1,-5,-4,-25
"지분법손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",27,73,-52,-174
"법인세비용",-11,7,-26,135
"계속영업이익",37,66,-26,-309
"중단영업이익",NA,NA,NA,NA
"당기순이익",37,66,-26,-309
"지배주주순이익",37,66,-26,-309
"비지배주주순이익",NA,NA,NA,0
"자산",1860,1770,2502,2470
"유동자산",1261,1213,1449,1551
"재고자산",273,303,386,325
"유동생물자산",NA,NA,NA,NA
"유동금융자산",58,87,42,170
"매출채권및기타유동채권",224,156,273,280
"당기법인세자산",1,2,1,8
"계약자산",NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",48,57,19,8
"현금및현금성자산",656,607,727,635
"매각예정비유동자산및처분자산집단",NA,NA,NA,126
"비유동자산",599,558,1052,919
"유형자산",353,371,537,555
"무형자산",72,50,218,216
"비유동생물자산",NA,NA,NA,NA
"투자부동산",NA,NA,79,40
"장기금융자산",127,87,47,23
"관계기업등지분관련투자자산",5,NA,5,10
"장기매출채권및기타비유동채권",NA,NA,NA,NA
"이연법인세자산",42,50,102,NA
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",NA,NA,65,76
"기타금융업자산",NA,NA,NA,NA
"부채",676,556,1215,822
"유동부채",664,545,1194,782
"단기사채",147,72,425,142
"단기차입금",186,179,140,144
"유동성장기부채",NA,NA,NA,77
"유동금융부채",44,7,311,198
"매입채무및기타유동채무",282,277,294,198
"유동종업원급여충당부채",NA,NA,NA,NA
"기타단기충당부채",NA,NA,NA,NA
"당기법인세부채",2,7,16,2
"계약부채",NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA
"배출부채",NA,NA,NA,NA
"기타유동부채",2,4,8,22
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA
"비유동부채",12,10,21,39
"사채",NA,NA,NA,NA
"장기차입금",NA,NA,NA,NA
"비유동금융부채",NA,NA,7,16
"장기매입채무및기타비유동채무",2,2,3,9
"비유동종업원급여충당부채",10,8,11,14
"기타장기충당부채",NA,NA,NA,NA
"이연법인세부채",NA,NA,NA,1
"장기당기법인세부채",NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA
"기타금융업부채",NA,NA,NA,NA
"자본",1184,1215,1286,1649
"지배기업주주지분",1184,1215,1286,1629
"자본금",95,95,108,144
"신종자본증권",NA,NA,NA,NA
"자본잉여금",285,280,407,1061
"기타자본",0,-29,-29,-29
"기타포괄손익누계액",-19,-10,-50,-91
"이익잉여금(결손금)",823,879,851,543
"비지배주주지분",NA,NA,NA,20
"영업활동으로인한현금흐름",-8,120,122,144
"당기순손익",37,66,-26,-309
"법인세비용차감전계속사업이익",NA,NA,NA,NA
"현금유출이없는비용등가산",171,178,396,668
"퇴직급여",13,11,10,15
"종업원급여",0,0,0,0
"주식보상비",NA,NA,NA,6
"감가상각비",58,50,61,77
"무형자산상각비",5,3,4,4
"계약부채전입액",NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA
"기타의대손상각비",NA,10,NA,18
"배당금지급",NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA
"사채상환손실",NA,6,NA,NA
"투자자산평가손실",NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA
"지분법관련손실",1,5,11,1
"종속기업관련손실",NA,NA,6,NA
"관계기업관련손익",NA,NA,NA,24
"(현금유입이없는수익등차감)",59,132,52,88
"금융부채관련이익",NA,NA,NA,NA
"사채상환이익",NA,NA,2,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA
"지분법관련이익",NA,NA,NA,NA
"종속회사관련이익",NA,NA,12,NA
"법인세수익",NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-137,10,-191,-78
"자산의감소(증가)",14,25,-197,8
"부채의증가(감소)",-152,-15,5,-87
"정부보조금등의변동",NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA
"*영업에서창출된현금흐름",12,122,127,193
"기타영업활동으로인한현금흐름",-20,-1,-4,-49
"이자수입",12,19,30,14
"이자지급(-)",-17,-10,-20,-23
"배당금수입",0,0,NA,NA
"배당금지급(-)",NA,NA,NA,NA
"법인세환입",NA,NA,NA,NA
"법인세납부(-)",-15,-10,-15,-41
"중단영업관련현금흐름",NA,NA,NA,NA
"투자활동으로인한현금흐름",-108,-18,-536,-229
"투자활동으로인한현금유입액",31,120,164,268
"유동금융자산의감소",0,107,80,110
"장기금융상품의감소",NA,NA,51,8
"매도가능금융자산의감소",NA,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA
"장기대여금의감소",0,NA,NA,2
"파생상품의변동",NA,NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA,NA
