"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",714,953,1158,1248
"매출원가",280,365,423,450
"매출총이익",433,589,735,798
"판매비와관리비",345,515,609,692
"인건비",30,40,41,46
"유무형자산상각비",3,3,3,5
"연구개발비",19,20,18,31
"광고선전비",2,9,1,1
"판매비",277,427,526,579
"관리비",14,13,16,28
"기타원가성비용",NA,NA,NA,NA
"기타",0,2,3,1
"영업이익",89,74,125,106
"영업이익(발표기준)",89,74,125,106
"금융수익",1,9,7,6
"이자수익",0,6,4,4
"배당금수익",NA,NA,0,NA
"외환이익",0,1,1,1
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",0,NA,0,1
"금융자산평가이익",NA,NA,2,0
"금융자산손상차손환입",NA,1,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",1,NA,NA,NA
"금융원가",44,62,10,9
"이자비용",6,8,10,6
"외환손실",1,1,0,2
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,NA,0,1
"금융자산손상차손",3,1,NA,NA
"파생상품손실",33,53,NA,NA
"기타금융원가",NA,NA,NA,NA
"기타수익",2,3,3,4
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",0,1,1,3
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",1,1,1,0
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",2,3,3,9
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",2,0,0,5
"자산평가손실",NA,NA,NA,NA
"자산손상차손",NA,NA,NA,NA
"기타대손상각비",NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",46,21,122,97
"법인세비용",12,9,21,14
"계속영업이익",33,12,100,84
"중단영업이익",NA,NA,NA,NA
"당기순이익",33,12,100,84
"자산",577,1106,1188,1103
"유동자산",298,634,701,645
"재고자산",82,120,126,189
"유동생물자산",NA,NA,NA,NA
"유동금융자산",26,321,251,140
"매출채권및기타유동채권",134,167,203,194
"당기법인세자산",NA,NA,NA,NA
"계약자산",NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",1,1,0,1
"현금및현금성자산",55,23,120,55
"매각예정비유동자산및처분자산집단",NA,NA,NA,65
"비유동자산",279,472,487,458
"유형자산",176,273,192,266
"무형자산",24,39,38,44
"비유동생물자산",NA,NA,NA,NA
"투자부동산",27,92,180,20
"장기금융자산",31,42,44,94
"관계기업등지분관련투자자산",NA,NA,NA,NA
"장기매출채권및기타비유동채권",0,0,6,5
"이연법인세자산",22,26,24,28
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",NA,NA,2,1
"기타금융업자산",NA,NA,NA,NA
"부채",378,490,475,327
"유동부채",274,359,369,270
"단기사채",NA,NA,NA,NA
"단기차입금",102,167,134,42
"유동성장기부채",1,35,35,32
"유동금융부채",NA,NA,NA,0
"매입채무및기타유동채무",150,148,180,160
"유동종업원급여충당부채",NA,NA,NA,3
"기타단기충당부채",3,4,7,14
"당기법인세부채",17,3,12,10
"계약부채",NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA
"배출부채",NA,NA,NA,NA
"기타유동부채",1,1,1,8
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA
"비유동부채",104,131,106,57
"사채",NA,NA,NA,NA
"장기차입금",25,113,77,22
"비유동금융부채",59,NA,1,0
"장기매입채무및기타비유동채무",2,1,0,1
"비유동종업원급여충당부채",8,-3,-2,2
"기타장기충당부채",11,20,29,32
"이연법인세부채",NA,NA,NA,NA
"장기당기법인세부채",NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA
"기타금융업부채",NA,NA,NA,NA
"자본",199,615,713,776
"자본금",32,48,49,49
"신종자본증권",NA,NA,NA,NA
"자본잉여금",9,413,424,429
"기타자본",1,-5,-17,-22
"기타포괄손익누계액",0,0,0,NA
"이익잉여금(결손금)",157,159,257,320
"영업활동으로인한현금흐름",88,-23,131,45
"당기순손익",33,12,NA,NA
"법인세비용차감전계속사업이익",NA,NA,122,97
"현금유출이없는비용등가산",75,95,40,46
"퇴직급여",4,5,7,7
"종업원급여",NA,NA,NA,5
"주식보상비",2,3,4,1
"감가상각비",11,12,17,20
"무형자산상각비",0,0,0,1
"계약부채전입액",NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA
"기타의대손상각비",NA,NA,NA,NA
"배당금지급",NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA
"사채상환손실",NA,NA,NA,NA
"투자자산평가손실",NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA
"지분법관련손실",NA,NA,NA,NA
"종속기업관련손실",NA,NA,NA,NA
"관계기업관련손익",NA,NA,NA,NA
"(현금유입이없는수익등차감)",2,13,7,7
"금융부채관련이익",NA,NA,NA,NA
"사채상환이익",1,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA
"지분법관련이익",NA,NA,NA,NA
"종속회사관련이익",NA,NA,NA,NA
"법인세수익",NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-1,-78,-9,-69
"자산의감소(증가)",-36,-66,-41,-58
"부채의증가(감소)",35,-11,32,-11
"정부보조금등의변동",NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA
"*영업에서창출된현금흐름",105,16,145,67
"기타영업활동으로인한현금흐름",-17,-40,-13,-22
"이자수입",1,1,7,5
"이자지급(-)",-5,-7,-10,-7
"배당금수입",NA,NA,NA,NA
"배당금지급(-)",-2,-7,NA,NA
"법인세환입",NA,NA,NA,NA
"법인세납부(-)",-11,-26,-10,-20
"중단영업관련현금흐름",NA,NA,NA,NA
"투자활동으로인한현금흐름",-60,-494,41,67
"투자활동으로인한현금유입액",37,35,354,340
"유동금융자산의감소",NA,26,324,233
"장기금융상품의감소",17,5,22,0
"매도가능금융자산의감소",0,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA
"장기대여금의감소",NA,NA,NA,NA
"파생상품의변동",NA,NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA,NA
"유형자산의감소",0,0,4,12
"무형자산의감소",3,1,3,2
"생물자산의감소",NA,NA,NA,NA
"투자부동산의감소",11,NA,NA,92
"기타투자활동으로인한현금유입액",5,2,1,1
"(투자활동으로인한현금유출액)",97,529,313,274
"유동금융자산의증가",NA,326,261,165
"장기금융상품의증가",38,13,14,7
"매도가능금융자산의증가",0,NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA,NA
"장기대여금의증가",NA,NA,NA,NA
"기타비유동금융자산의증가",NA,NA,NA,NA
"관계기업등지분관련투자자산의증가",NA,NA,NA,NA
"유형자산의증가",39,116,26,94
"무형자산의증가",14,15,3,8
"생물자산의증가",NA,NA,NA,NA
"투자부동산의증가",NA,59,NA,NA
"기타투자활동으로인한현금유출액",5,0,8,0
"기타투자활동으로인한현금흐름",NA,NA,NA,NA
"재무활동으로인한현금흐름",-3,486,-75,-177
"재무활동으로인한현금유입액",76,777,397,351
"사채의증가",NA,NA,NA,NA
"차입금의증가",36,459,390,349
"미지급금의증가",NA,NA,NA,NA
"유동성장기부채의증가",NA,NA,NA,NA
"기타금융부채의증가",25,NA,NA,NA
"기타부채의증가",NA,NA,NA,NA
"유상증자",15,319,NA,NA
"자기주식의처분",NA,NA,NA,NA
"주식매입선택권의행사",NA,NA,7,3
"자본구성항목의증가",NA,NA,NA,NA
"기타재무활동으로인한현금유입액",NA,NA,NA,NA
"(재무활동으로인한현금유출액)",80,291,472,509
"사채의감소",10,NA,NA,NA
"차입금의감소",59,262,423,463
"미지급금의감소",NA,NA,NA,NA
"유동성장기부채의감소",8,9,35,35
"기타금융부채의감소",NA,NA,2,3
"기타부채의감소",2,NA,NA,NA
"유상감자",NA,NA,NA,NA
"자기주식의취득",NA,10,11,8
"자본구성항목의감소",NA,NA,NA,NA
"기타재무활동으로인한현금유출액",0,10,0,NA
"기타재무활동으로인한현금흐름",NA,NA,NA,-19
"영업투자재무활동기타현금흐름",NA,NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA,NA
"환율변동효과",-1,-1,0,0
"현금및현금성자산의증가",23,-32,97,-65
"기초현금및현금성자산",32,55,23,120
"기말현금및현금성자산",55,23,120,55
