"","."
"1",6359
"2",4022
"3",2337
"4",2024
"5",264
"6",296
"7",5
"8",117
"9",115
"10",1227
"11",NA
"12",0
"13",314
"14",314
"15",21
"16",21
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",0
"27",142
"28",106
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",29
"37",6
"38",164
"39",NA
"40",NA
"41",NA
"42",0
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",102
"51",NA
"52",NA
"53",NA
"54",1
"55",NA
"56",14
"57",-15
"58",NA
"59",3
"60",3
"61",NA
"62",NA
"63",259
"64",86
"65",173
"66",NA
"67",173
"68",173
"69",NA
"70",8554
"71",4634
"72",2668
"73",NA
"74",193
"75",1017
"76",1
"77",5
"78",NA
"79",NA
"80",100
"81",649
"82",NA
"83",3920
"84",2039
"85",11
"86",NA
"87",146
"88",73
"89",179
"90",425
"91",NA
"92",NA
"93",1047
"94",NA
"95",6030
"96",4161
"97",NA
"98",1366
"99",1145
"100",243
"101",1266
"102",NA
"103",NA
"104",105
"105",37
"106",NA
"107",NA
"108",NA
"109",NA
"110",1869
"111",260
"112",511
"113",852
"114",73
"115",103
"116",17
"117",53
"118",NA
"119",NA
"120",NA
"121",2524
"122",2524
"123",719
"124",NA
"125",713
"126",NA
"127",-27
"128",1120
"129",NA
"130",1092
"131",173
"132",NA
"133",656
"134",25
"135",NA
"136",NA
"137",322
"138",1
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",0
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",92
"152",0
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",NA
"159",NA
"160",NA
"161",3
"162",NA
"163",NA
"164",482
"165",591
"166",-109
"167",NA
"168",NA
"169",1219
"170",-127
"171",6
"172",-73
"173",NA
"174",NA
"175",NA
"176",-59
"177",NA
"178",-338
"179",24
"180",22
"181",NA
"182",NA
"183",NA
"184",NA
"185",NA
"186",2
"187",NA
"188",0
"189",NA
"190",NA
"191",NA
"192",NA
"193",362
"194",19
"195",6
"196",NA
"197",NA
"198",NA
"199",74
"200",NA
"201",263
"202",0
"203",NA
"204",NA
"205",NA
"206",NA
"207",-476
"208",1862
"209",692
"210",1170
"211",NA
"212",NA
"213",NA
"214",NA
"215",NA
"216",NA
"217",NA
"218",NA
"219",NA
"220",2337
"221",850
"222",1175
"223",NA
"224",NA
"225",312
"226",NA
"227",NA
"228",NA
"229",NA
"230",NA
"231",NA
"232",NA
"233",NA
"234",-12
"235",266
"236",383
"237",649
