"","."
"1",42
"2",21
"3",21
"4",22
"5",15
"6",2
"7",NA
"8",1
"9",-2
"10",7
"11",NA
"12",NA
"13",-1
"14",-1
"15",0
"16",0
"17",NA
"18",NA
"19",0
"20",NA
"21",NA
"22",NA
"23",0
"24",NA
"25",NA
"26",0
"27",13
"28",2
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",11
"38",1
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",1
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",-14
"64",4
"65",-18
"66",NA
"67",-18
"68",-18
"69",0
"70",422
"71",226
"72",135
"73",NA
"74",1
"75",38
"76",0
"77",NA
"78",NA
"79",NA
"80",4
"81",49
"82",NA
"83",195
"84",167
"85",13
"86",NA
"87",NA
"88",7
"89",NA
"90",NA
"91",4
"92",NA
"93",5
"94",NA
"95",241
"96",149
"97",10
"98",56
"99",34
"100",8
"101",30
"102",NA
"103",NA
"104",0
"105",NA
"106",8
"107",NA
"108",3
"109",NA
"110",92
"111",50
"112",38
"113",4
"114",NA
"115",NA
"116",NA
"117",NA
"118",NA
"119",NA
"120",NA
"121",181
"122",181
"123",51
"124",NA
"125",187
"126",NA
"127",-1
"128",-56
"129",0
"130",1
"131",-18
"132",NA
"133",24
"134",NA
"135",NA
"136",NA
"137",3
"138",0
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",11
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",3
"152",NA
"153",0
"154",NA
"155",NA
"156",NA
"157",NA
"158",NA
"159",NA
"160",NA
"161",NA
"162",NA
"163",NA
"164",0
"165",13
"166",-13
"167",NA
"168",NA
"169",2
"170",-1
"171",0
"172",-1
"173",NA
"174",NA
"175",NA
"176",NA
"177",NA
"178",-2
"179",0
"180",0
"181",0
"182",NA
"183",NA
"184",NA
"185",NA
"186",NA
"187",NA
"188",NA
"189",NA
"190",NA
"191",NA
"192",NA
"193",2
"194",0
"195",0
"196",NA
"197",NA
"198",NA
"199",0
"200",NA
"201",2
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",43
"208",50
"209",50
"210",0
"211",NA
"212",NA
"213",NA
"214",NA
"215",NA
"216",NA
"217",NA
"218",NA
"219",NA
"220",7
"221",0
"222",6
"223",NA
"224",0
"225",1
"226",NA
"227",NA
"228",NA
"229",NA
"230",NA
"231",NA
"232",NA
"233",NA
"234",0
"235",42
"236",7
"237",49
