"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",285,129,113,185
"매출원가",107,63,38,69
"매출총이익",178,66,75,117
"판매비와관리비",446,446,520,508
"인건비",54,46,57,50
"유무형자산상각비",7,7,9,10
"연구개발비",349,327,404,392
"광고선전비",NA,NA,NA,NA
"판매비",3,21,7,18
"관리비",21,32,32,28
"기타원가성비용",NA,NA,NA,NA
"기타",11,12,11,10
"영업이익",-269,-381,-445,-392
"영업이익(발표기준)",-269,-381,-445,-392
"금융수익",2,13,29,188
"이자수익",2,13,12,3
"배당금수익",NA,NA,NA,NA
"외환이익",NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,18,185
"기타금융수익",NA,NA,NA,NA
"금융원가",11,27,60,95
"이자비용",11,27,46,29
"외환손실",NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,14,9
"기타금융원가",NA,NA,NA,57
"기타수익",149,65,518,764
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,34,24,63
"자산처분(폐기)이익",118,24,8,99
"자산평가이익",4,NA,NA,NA
"자산손상차손환입",NA,NA,NA,0
"임대료수익",4,4,5,7
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,0,0
"충당부채환입액",NA,NA,NA,NA
"기타비용",35,40,45,42
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,35,1
"자산처분(폐기)손실",0,1,NA,11
"자산평가손실",NA,NA,NA,NA
"자산손상차손",0,1,0,17
"기타대손상각비",NA,NA,0,NA
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-31,29,-161,-148
"지분법손익",-31,29,-161,-148
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",-193,-341,-165,275
"법인세비용",NA,NA,NA,NA
"계속영업이익",-193,-341,-165,275
"중단영업이익",NA,NA,NA,NA
"당기순이익",-193,-341,-165,275
"지배주주순이익",-193,NA,10,276
"비지배주주순이익",NA,NA,NA,0
"자산",1407,3748,3582,5969
"유동자산",289,1775,958,206
"재고자산",NA,NA,NA,NA
"유동생물자산",NA,NA,NA,NA
"유동금융자산",15,1155,636,23
