"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",490,524,353,272
"매출원가",455,536,344,246
"매출총이익",35,-13,9,26
"판매비와관리비",53,92,55,55
"인건비",21,28,24,16
"유무형자산상각비",4,5,4,2
"연구개발비",7,5,0,2
"광고선전비",0,0,0,NA
"판매비",6,7,4,2
"관리비",16,49,23,33
"기타원가성비용",NA,NA,NA,NA
"기타",0,0,0,0
"영업이익",-18,-105,-46,-29
"영업이익(발표기준)",-18,-105,-46,-29
"금융수익",25,19,11,5
"이자수익",1,1,2,0
"배당금수익",NA,NA,NA,NA
"외환이익",24,10,9,4
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA
"금융자산평가이익",NA,7,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA
"금융원가",24,32,25,10
"이자비용",5,8,19,4
"외환손실",18,20,5,6
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,5,NA,NA
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA
"기타금융원가",NA,NA,1,0
"기타수익",3,27,8,3
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",0,0,5,1
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",2,1,2,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,0,0
"충당부채환입액",NA,NA,NA,NA
"기타비용",1,234,19,4
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,5,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",0,5,1,0
"자산평가손실",NA,NA,NA,NA
"자산손상차손",NA,72,6,3
"기타대손상각비",NA,124,3,0
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,-12,2
"지분법손익",NA,NA,-12,2
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",-16,-326,-83,-33
"법인세비용",1,7,2,1
"계속영업이익",-17,-333,-85,-34
"중단영업이익",8,NA,-3,0
"당기순이익",-9,-333,-89,-34
"지배주주순이익",-9,-333,-89,-34
"비지배주주순이익",NA,NA,NA,NA
