"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",6025,4738,6157,6412
"매출원가",5595,4324,6141,6237
"매출총이익",430,415,16,175
"판매비와관리비",140,135,106,105
"인건비",85,94,66,74
"유무형자산상각비",3,4,5,5
"연구개발비",NA,NA,NA,NA
"광고선전비",0,0,0,0
"판매비",0,0,0,1
"관리비",41,29,27,19
"기타원가성비용",NA,NA,NA,NA
"기타",11,9,8,7
"영업이익",291,280,-89,71
"영업이익(발표기준)",291,280,-89,71
"금융수익",6,9,10,6
"이자수익",2,2,3,2
"배당금수익",2,3,2,2
"외환이익",1,4,5,2
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA
"금융자산평가이익",NA,NA,0,0
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA
"금융원가",16,6,9,23
"이자비용",3,4,8,14
"외환손실",13,2,1,6
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,3
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,NA,0,0
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA
"기타수익",9,13,33,54
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",0,0,23,13
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA
"로열티수익",NA,NA,NA,0
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",5,1,4,5
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,1,1
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",0,0,1,NA
"자산평가손실",NA,NA,NA,NA
"자산손상차손",0,0,0,NA
"기타대손상각비",NA,NA,0,1
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",285,294,-60,103
"법인세비용",69,82,16,35
"계속영업이익",216,212,-76,67
"중단영업이익",NA,NA,NA,NA
"당기순이익",216,212,-76,67
"지배주주순이익",236,217,-81,69
"비지배주주순이익",-20,-6,5,-2
"자산",2577,2464,2891,3120
"유동자산",2068,1908,2343,2553
"재고자산",84,133,63,62
"유동생물자산",NA,NA,NA,NA
"유동금융자산",19,NA,21,17
"매출채권및기타유동채권",1586,1530,2155,2422
"당기법인세자산",24,25,34,NA
"계약자산",NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",127,28,11,9
"현금및현금성자산",228,192,59,43
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA
"비유동자산",509,556,547,567
"유형자산",303,314,282,294
"무형자산",38,38,37,40
"비유동생물자산",NA,NA,NA,NA
"투자부동산",16,15,23,22
"장기금융자산",63,100,103,112
"관계기업등지분관련투자자산",NA,NA,NA,NA
"장기매출채권및기타비유동채권",NA,NA,NA,NA
"이연법인세자산",12,11,10,16
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",78,78,93,83
"기타금융업자산",NA,NA,NA,NA
"부채",1208,875,1407,1591
"유동부채",1179,857,1361,1525
"단기사채",NA,NA,NA,NA
"단기차입금",40,116,509,613
"유동성장기부채",NA,NA,NA,NA
"유동금융부채",NA,NA,9,6
"매입채무및기타유동채무",1061,679,839,893
"유동종업원급여충당부채",NA,NA,NA,NA
"기타단기충당부채",NA,NA,NA,NA
"당기법인세부채",65,62,4,12
"계약부채",NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA
"배출부채",NA,NA,NA,NA
"기타유동부채",12,NA,0,1
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA
"비유동부채",29,18,46,66
"사채",NA,NA,NA,NA
"장기차입금",NA,NA,NA,NA
"비유동금융부채",NA,NA,5,5
"장기매입채무및기타비유동채무",NA,0,NA,NA
"비유동종업원급여충당부채",23,11,24,36
"기타장기충당부채",6,7,9,11
"이연법인세부채",NA,NA,7,13
"장기당기법인세부채",NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA
"기타금융업부채",NA,NA,NA,NA
"자본",1369,1589,1484,1529
"지배기업주주지분",1384,1610,1501,1548
"자본금",53,53,53,53
"신종자본증권",NA,NA,NA,NA
"자본잉여금",5,5,5,5
"기타자본",-19,-19,-19,-19
"기타포괄손익누계액",3,36,37,30
"이익잉여금(결손금)",1342,1535,1425,1479
"비지배주주지분",-15,-21,-17,-19
"영업활동으로인한현금흐름",-14,-77,-498,-71
"당기순손익",216,212,-76,67
"법인세비용차감전계속사업이익",NA,NA,NA,NA
"현금유출이없는비용등가산",133,129,88,143
"퇴직급여",27,19,30,48
"종업원급여",NA,NA,NA,NA
"주식보상비",NA,NA,NA,NA
"감가상각비",20,21,29,29
"무형자산상각비",1,1,1,1
"계약부채전입액",NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA
"기타의대손상각비",NA,NA,NA,NA
"배당금지급",NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA
"사채상환손실",NA,NA,NA,NA
"투자자산평가손실",NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA
"지분법관련손실",NA,NA,NA,NA
"종속기업관련손실",NA,NA,NA,NA
"관계기업관련손익",NA,NA,NA,NA
"(현금유입이없는수익등차감)",5,8,31,24
"금융부채관련이익",NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA
"지분법관련이익",NA,NA,NA,NA
"종속회사관련이익",NA,NA,NA,NA
"법인세수익",NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-294,-313,-401,-256
"자산의감소(증가)",-551,58,-586,-266
"부채의증가(감소)",257,-371,185,11
"정부보조금등의변동",NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA
"*영업에서창출된현금흐름",50,19,-419,-69
"기타영업활동으로인한현금흐름",-64,-95,-78,-2
"이자수입",2,2,3,1
"이자지급(-)",-3,-4,-8,-14
"배당금수입",2,3,2,2
"배당금지급(-)",NA,NA,NA,NA
"법인세환입",NA,NA,NA,9
"법인세납부(-)",-66,-97,-76,NA
"중단영업관련현금흐름",NA,NA,NA,NA
"투자활동으로인한현금흐름",-72,-12,10,-21
"투자활동으로인한현금유입액",49,128,3215,3402
"유동금융자산의감소",NA,19,3115,3286
"장기금융상품의감소",NA,NA,0,NA
"매도가능금융자산의감소",NA,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA
"장기대여금의감소",NA,NA,NA,NA
"파생상품의변동",NA,NA,NA,NA
"기타비유동금융자산의감소",NA,2,2,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA,NA
"유형자산의감소",0,0,46,30
"무형자산의감소",NA,NA,NA,NA
