"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",1432,1464,1559,1282
"매출원가",549,846,774,645
"매출총이익",882,618,785,636
"판매비와관리비",783,871,861,709
"인건비",147,180,198,164
"유무형자산상각비",37,37,55,55
"연구개발비",11,26,26,11
"광고선전비",29,28,28,30
"판매비",446,449,433,349
"관리비",110,144,107,93
"기타원가성비용",NA,NA,NA,NA
"기타",3,7,15,7
"영업이익",100,-253,-76,-73
"영업이익(발표기준)",100,-253,-76,-73
"금융수익",3,8,2,2
"이자수익",3,8,2,2
"배당금수익",NA,NA,NA,NA
"외환이익",NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA
"금융원가",13,42,72,33
"이자비용",13,42,52,33
"외환손실",NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA
"기타금융원가",NA,NA,20,NA
"기타수익",10,10,84,10
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",0,0,1,1
"자산평가이익",NA,0,18,1
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",1,1,1,1
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",52,107,25,13
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",1,4,8,4
"자산평가손실",NA,NA,NA,NA
"자산손상차손",NA,83,1,1
"기타대손상각비",19,NA,3,1
"충당부채전입액",16,14,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-165,-81,-113,-66
"지분법손익",-165,-81,-151,-87
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,39,21
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",-117,-465,-199,-172
