"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",636,769,744,896
"매출원가",448,541,547,662
"매출총이익",189,228,197,234
"판매비와관리비",129,146,133,167
"인건비",47,46,44,50
"유무형자산상각비",5,5,4,5
"연구개발비",32,40,36,44
"광고선전비",3,5,6,3
"판매비",18,16,15,27
"관리비",24,30,24,31
"기타원가성비용",NA,NA,NA,NA
"기타",0,4,4,7
"영업이익",60,82,64,67
"영업이익(발표기준)",60,82,64,67
"금융수익",3,11,16,16
"이자수익",1,1,3,4
"배당금수익",NA,NA,NA,NA
"외환이익",2,10,13,12
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA
"금융자산평가이익",NA,NA,0,NA
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,1
"기타금융수익",NA,NA,NA,NA
"금융원가",28,12,16,34
"이자비용",8,8,9,10
"외환손실",18,3,6,23
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",2,0,NA,0
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,NA,0
"기타금융원가",NA,NA,NA,NA
"기타수익",1,3,4,1
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",1,1,0,0
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",1,1,3,1
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",NA,0,1,0
"자산평가손실",NA,NA,NA,NA
"자산손상차손",NA,NA,NA,NA
"기타대손상각비",NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",36,84,65,50
"법인세비용",5,15,11,10
"계속영업이익",31,69,54,40
"중단영업이익",NA,NA,NA,NA
"당기순이익",31,69,54,40
"지배주주순이익",31,70,54,40
"비지배주주순이익",-1,0,0,0
"자산",973,1100,1175,1479
"유동자산",540,636,702,809
"재고자산",241,313,343,383
"유동생물자산",NA,NA,NA,NA
"유동금융자산",102,39,146,146
"매출채권및기타유동채권",136,230,178,191
"당기법인세자산",NA,NA,NA,0
"계약자산",NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",14,10,16,21
"현금및현금성자산",47,45,20,67
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA
"비유동자산",433,464,473,671
"유형자산",398,410,410,602
"무형자산",12,14,12,11
"비유동생물자산",NA,NA,NA,NA
"투자부동산",NA,NA,NA,NA
"장기금융자산",17,23,30,34
"관계기업등지분관련투자자산",NA,8,6,5
"장기매출채권및기타비유동채권",NA,NA,NA,NA
"이연법인세자산",3,6,12,16
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",2,2,2,2
"기타금융업자산",NA,NA,NA,NA
"부채",397,438,471,748
"유동부채",396,415,405,531
"단기사채",NA,NA,NA,NA
"단기차입금",289,309,299,384
"유동성장기부채",27,10,NA,20
"유동금융부채",NA,NA,1,0
"매입채무및기타유동채무",65,72,85,102
"유동종업원급여충당부채",3,4,4,5
"기타단기충당부채",NA,NA,NA,NA
"당기법인세부채",9,18,9,3
"계약부채",NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA
"배출부채",NA,NA,NA,NA
"기타유동부채",2,2,7,17
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA
"비유동부채",1,23,66,217
"사채",NA,NA,NA,NA
"장기차입금",NA,20,63,213
"비유동금융부채",NA,NA,NA,0
"장기매입채무및기타비유동채무",1,3,3,4
