"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",2850,2733,3563,3436
"매출원가",2229,2101,2426,2833
"매출총이익",621,632,1137,602
"판매비와관리비",428,412,521,638
"인건비",178,168,203,210
"유무형자산상각비",11,17,30,22
"연구개발비",130,126,139,284
"광고선전비",NA,NA,NA,NA
"판매비",27,23,24,30
"관리비",38,37,51,45
"기타원가성비용",NA,NA,NA,NA
"기타",44,41,73,48
"영업이익",193,220,616,-36
"영업이익(발표기준)",193,220,616,-36
"금융수익",10,13,91,56
"이자수익",10,13,20,18
"배당금수익",NA,NA,NA,NA
"외환이익",NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,67,38
"기타금융수익",NA,NA,4,NA
"금융원가",58,46,139,608
"이자비용",58,46,53,94
"외환손실",NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,NA,19,NA
"금융자산손상차손",NA,NA,NA,2
"파생상품손실",NA,NA,6,468
"기타금융원가",NA,NA,61,44
"기타수익",72,122,78,95
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",7,72,7,11
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",0,0,1,0
"임대료수익",14,13,10,4
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",1,1,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",57,55,110,88
