"","X2017.12","X2018.12","X2019.12","X2020.12"
"순이자손익",301,414,518,754
"순수수료손익",11,70,263,299
"금융상품관련손익",-43,234,119,91
"위험회피회계파생상품관련손익",NA,NA,NA,NA
"외환거래(환율변동)손익",86,-64,11,21
"금융자산관련손익",62,-32,-10,-43
"기타영업손익",-29,-32,-50,-44
"순영업수익",390,590,851,1078
"판매비와관리비",184,261,312,390
"영업이익",206,329,539,687
"영업외수익",1,3,5,6
"이자수익",NA,NA,NA,NA
"배당금수익",NA,NA,NA,NA
"외환거래이익",NA,NA,NA,NA
"상각채권추심이익",NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"유가증권처분이익",NA,NA,NA,NA
"유가증권손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련이익",NA,NA,NA,2
"자산처분이익",NA,2,2,1
"자산재평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"수입수수료",NA,NA,NA,NA
"임대료",0,1,3,3
"자산수증이익",NA,NA,NA,NA
"보험차익",NA,NA,NA,NA
"법인세환급액",NA,NA,NA,NA
"전기오류수정이익",NA,NA,NA,NA
"퇴직연금운용이익",NA,NA,NA,NA
"보험수리적이익",NA,NA,NA,NA
"기타영업외수익",0,0,0,1
"영업외비용",4,6,20,5
"이자비용",NA,NA,NA,NA
"외환거래손실",NA,NA,NA,NA
"기타대손상각비",NA,NA,NA,NA
"유가증권처분손실",NA,NA,NA,NA
"유가증권손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손실",1,2,1,NA
"자산처분손실",NA,NA,6,NA
"자산손상차손",NA,NA,8,0
"자산재평가손실",NA,NA,NA,NA
"사채상환손실",NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA
"지급수수료",NA,NA,NA,NA
"기부금",NA,NA,NA,NA
"법인세추납액",NA,NA,NA,NA
"전기오류수정손실",NA,NA,NA,NA
"퇴직연금운용손실",NA,NA,NA,NA
"보험수리적손실",NA,NA,NA,NA
"기타영업외비용",4,4,4,5
"세전계속사업이익",203,326,524,688
"법인세비용",12,-7,-10,59
"계속영업이익",191,334,534,629
"중단영업이익",NA,NA,NA,NA
"당기순이익",191,334,534,629
"지배주주순이익",191,334,534,629
"비지배주주순이익",NA,NA,NA,NA
"자산",18751,26827,33990,43325
"현금및예치금",1544,2255,1705,920
"당기손익인식(지정)금융자산",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산",NA,5786,11312,14294
"단기매매금융자산",2979,NA,NA,NA
"파생결합증권",NA,NA,NA,NA
"매매목적파생상품자산",97,15,10,3
"위험회피파생상품자산",NA,NA,NA,NA
"매도가능금융자산",1185,NA,NA,NA
"기타포괄손익-공정가치측정<U+00A0>금융자산",NA,555,100,NA
"만기보유금융자산",NA,NA,NA,NA
"상각후원가측정<U+00A0>유가증권",NA,NA,NA,NA
"관계기업등지분관련투자자산",9,8,8,25
"기타유가증권",NA,NA,NA,NA
"상각후원가측정<U+00A0>금융자산",NA,NA,NA,NA
"대출채권",10649,14768,16881,25049
"*대출채권명목금액",10722,14907,17080,25297
"*대손충당금",62,109,147,172
"*현재가치할인차금",NA,NA,NA,NA
"*이연대출부대(수익)비용",-11,-30,-53,-76
"어음관리계좌자산",1700,1851,1983,2089
"*어음관리계좌자산명목금액",1700,1860,1990,2100
"리스자산",NA,NA,NA,NA
"기타금융업자산",NA,NA,NA,NA
"유형자산",37,38,60,54
"무형자산",31,38,33,45
"투자부동산",159,59,58,57
"비업무용자산",NA,NA,NA,NA
"이연법인세자산",235,274,347,366
"당기법인세자산",30,40,11,0
"기타자산",97,1140,1481,424
"부채",15903,23674,30316,38036
"당기손익인식(지정)금융부채",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융부채",NA,NA,NA,2850
"단기매매금융부채",NA,NA,NA,NA
"매도파생결합증권",NA,NA,NA,NA
"매매목적파생상품부채",116,13,20,2
"위험회피파생상품부채",NA,NA,NA,NA
"예수부채",15381,22089,24253,29009
"차입부채",226,379,4474,5665
"기타금융업부채",NA,NA,NA,NA
"비유동종업원급여충당부채",3,7,15,16
"기타충당부채",6,12,17,17
"이연법인세부채",NA,NA,NA,NA
"당기법인세부채",NA,NA,NA,NA
"기타부채",172,1175,1538,477
"자본",2848,3152,3673,5289
"지배주주지분",2848,3152,3673,5289
"자본금",3371,3371,3371,4371
"신종자본증권",NA,NA,NA,NA
"자본잉여금",264,264,264,256
"기타자본",-67,-67,-67,-67
"기타포괄손익누계액",17,-2,-15,-22
"이익잉여금(결손금)",-736,-413,121,750
"비지배주주지분",NA,NA,NA,NA
"영업활동으로인한현금흐름",-1315,946,-5172,-2503
"당기순손익",191,334,534,629
"법인세비용차감전순손익",NA,NA,NA,NA
"현금유출이없는비용등가산",400,469,677,785
"당기손익인식(지정)금융자산평가손실",1,NA,NA,NA
"당기손익인식(지정)금융자산매매손실",NA,NA,NA,NA
"당기손익인식(지정)금융자산관련손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,35,71,124
"당기손익-공정가치측정<U+00A0>금융자산처분손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"단기매매금융자산평가손실",0,NA,NA,NA
"당기손익인식(지정)금융부채평가손실",NA,NA,NA,NA
"당기손익인식(지정)금융부채매매손실",NA,NA,NA,NA
"당기손익인식(지정)금융부채관련손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융부채평가손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융부채처분손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융부채관련손실",NA,NA,NA,NA
"단기매매금융부채평가손실",NA,NA,NA,NA
"매매목적파생상품손실",138,9,21,2
"위험회피파생상품손실",NA,NA,NA,NA
"기타포괄손익-공정가치측정<U+00A0>금융자산처분손실",NA,NA,5,NA
"기타포괄손익-공정가치측정<U+00A0>금융자산손상차손",NA,NA,NA,NA
"기타포괄손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"상각후원가측정<U+00A0>금융자산처분손실",NA,NA,NA,NA
"상각후원가측정<U+00A0>금융자산손상차손",NA,NA,NA,NA
"상각후원가측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"대손상각비",NA,34,7,37
"유형자산등감가상각비",6,7,18,20
"리스(사용권)자산감가상각비",NA,NA,NA,NA
"렌탈자산감가상각비",NA,NA,NA,NA
"무형자산상각비",4,4,6,8
"퇴직급여",4,5,6,8
"종업원관련비용",NA,NA,NA,NA
"주식보상비",NA,NA,NA,NA
"리스(사용권)자산손상차손",NA,NA,NA,NA
"지급보증충당부채전입액",NA,NA,NA,NA
"미사용약정충당부채전입액",2,6,0,NA
"복구충당부채전입액",0,0,0,0
"기타충당부채전입액",NA,NA,NA,NA
"부채상환손실",NA,NA,NA,NA
"외화환산차상각",NA,NA,NA,NA
"전기오류수정손익",NA,NA,NA,NA
"비지배주주지분순손익",NA,NA,NA,NA
"기타현금의유출이없는비용등가산",NA,NA,21,3
"(현금유입이없는수익등차감)",688,955,1184,1489
"당기손익인식(지정)금융자산평가이익",4,NA,NA,NA
"당기손익인식(지정)금융자산매매이익",NA,NA,NA,NA
"당기손익인식(지정)금융자산관련이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,90,91,136
"당기손익-공정가치측정<U+00A0>금융자산처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"단기매매금융자산평가이익",2,NA,NA,NA
"당기손익인식(지정)금융부채평가이익",NA,NA,NA,NA
"당기손익인식(지정)금융부채매매이익",NA,NA,NA,NA
"당기손익인식(지정)금융부채관련이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융부채평가이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융부채처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융부채관련이익",NA,NA,NA,NA
"단기매매금융부채평가이익",NA,NA,NA,NA
"매매목적파생상품이익",91,24,19,3
"위험회피파생상품이익",NA,NA,NA,NA
"기타포괄손익-공정가치측정<U+00A0>금융자산처분이익",NA,NA,5,NA
"기타포괄손익-공정가치측정<U+00A0>금융자산손상차손환입",NA,NA,NA,NA
"기타포괄손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"상각후원가측정<U+00A0>금융자산처분이익",NA,NA,NA,NA
"상각후원가측정<U+00A0>금융자산손상차손환입",NA,NA,NA,NA
"상각후원가측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"자산재평가손실환입",NA,NA,NA,NA
"주식보상비용환입",NA,NA,NA,NA
"법인세수익",NA,7,10,NA
"주식배당액",NA,NA,NA,NA
"리스(사용권)자산손상차손환입액",NA,NA,NA,NA
"지급보증충당부채환입액",NA,NA,NA,NA
"미사용약정충당부채환입액",NA,NA,NA,1
"복구충당부채환입액",NA,NA,0,NA
"기타충당부채환입액",NA,NA,NA,NA
"부채상환이익",NA,NA,NA,NA
"외화환산대환입",NA,NA,NA,NA
"기타현금의유입이없는수익등차감",27,49,32,82
"영업활동으로인한자산부채변동(운전자본변동)",-1532,508,-5803,-3185
"자산의감소(증가)",-3110,-6995,-8239,-9741
"부채의증가(감소)",1578,7504,2437,6556
"정부보조금등의변동",NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA
"*영업에서창출된현금흐름",-1629,356,-5777,-3260
"기타영업활동으로인한현금흐름",315,590,605,757
"이자수입",518,842,1053,1278
"이자지급(-)",-214,-270,-449,-533
"배당금수입",22,49,30,77
"배당금지급(-)",NA,NA,NA,NA
"법인세환입",NA,NA,NA,NA
"법인세납부(-)",-12,-31,-30,-65
"중단영업관련현금흐름",NA,NA,NA,NA
"투자활동으로인한현금흐름",-112,-45,323,42
"투자활동으로인한현금유입액",1148,224,997,102
"예치금의감소",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산의<U+00A0>감소",NA,NA,NA,NA
"기타포괄손익-공정가치측정<U+00A0>금융자산의<U+00A0>감소",NA,200,967,100
"상각후원가측정<U+00A0>금융자산의<U+00A0>감소",NA,NA,NA,NA
"당기손익인식(지정)금융자산의감소",NA,NA,NA,NA
"단기매매금융자산의감소",NA,NA,NA,NA
"매도가능금융자산의감소",1143,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA
"기타유가증권의감소",NA,NA,NA,NA
"관계기업투자등(지분법적용투자주식)의감소",NA,NA,NA,NA
"대출채권의감소",NA,NA,NA,NA
"유형자산의감소",NA,NA,0,NA
"리스(사용권)자산의<U+00A0>감소",NA,NA,NA,NA
"무형자산의감소",NA,2,3,1
"투자부동산의감소",NA,22,NA,NA
"비업무용자산의감소",NA,NA,NA,NA
"미수금의감소",NA,NA,NA,NA
"대여금의감소",NA,NA,NA,NA
"보증금등의감소",6,NA,26,2
"파생상품의변동",NA,NA,NA,NA
"퇴직급여자산의감소",NA,NA,NA,NA
"매각및처분예정자산집단의감소",NA,NA,NA,NA
"기타자산의감소",NA,NA,NA,NA
"기타금융업자산의감소",NA,NA,NA,NA
"종속기업및기타사업의지배력관련한현금흐름",NA,NA,NA,NA
"합병분할(영업양수도)에따른현금유입",NA,NA,NA,NA
"기타투자활동으로인한현금유입액",NA,NA,NA,NA
"(투자활동으로인한현금유출액)",1261,269,674,60
"예치금의증가",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산의<U+00A0>증가",NA,NA,NA,NA
"기타포괄손익-공정가치측정<U+00A0>금융자산의<U+00A0>증가",NA,250,517,NA
"상각후원가측정<U+00A0>금융자산의<U+00A0>증가",NA,NA,NA,NA
"당기손익인식(지정)금융자산의증가",NA,NA,NA,NA
"단기매매금융자산의증가",NA,NA,NA,NA
"매도가능금융자산의증가",1224,NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA,NA
"기타유가증권의증가",NA,NA,NA,NA
"관계기업투자등(지분법적용투자주식)의증가",10,NA,8,16
"대출채권의증가",NA,NA,NA,NA
"유형자산의증가",4,5,14,6
"리스(사용권)자산의<U+00A0>증가",NA,NA,NA,NA
"무형자산의증가",5,13,10,20
"투자부동산의증가",2,1,NA,NA
"비업무용자산의증가",NA,NA,NA,NA
"미수금의증가",NA,NA,NA,NA
"대여금의증가",NA,NA,NA,NA
"보증금등의증가",7,NA,125,18
"퇴직급여자산의증가",NA,NA,NA,NA
"매각및처분예정자산집단의증가",8,NA,NA,NA
"기타자산의증가",NA,NA,NA,NA
"기타금융업자산의증가",NA,NA,NA,NA
"합병분할(영업양수도)에따른현금유출",NA,NA,NA,NA
"기타투자활동으로인한현금유출액",NA,NA,NA,NA
"기타투자활동으로인한현금흐름",NA,NA,NA,NA
"재무활동으로인한현금흐름",1146,153,4086,2176
"재무활동으로인한현금유입액",1311,460,4499,2928
"당기손익인식(지정)금융부채의증가",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융부채의<U+00A0>증가",NA,NA,NA,NA
"단기매매금융부채의증가",NA,NA,NA,NA
"예수부채의증가",NA,NA,NA,NA
"차입부채의증가",311,460,4497,1928
"미지급금의증가",NA,NA,NA,NA
"선수금의증가",NA,NA,NA,NA
"수입보증금의증가",NA,NA,2,0
"리스보증금의증가",NA,NA,NA,NA
"임대보증금의증가",NA,NA,NA,NA
"리스부채의<U+00A0>증가",NA,NA,NA,NA
"기타부채의증가",NA,NA,NA,NA
"기타금융업부채의증가",NA,NA,NA,NA
"유상증자",NA,NA,NA,NA
"자본금의증가",NA,NA,NA,1000
"자본잉여금의증가",NA,NA,NA,NA
"종속회사의증자등",NA,NA,NA,NA
"이익잉여금의증가",NA,NA,NA,NA
"자기주식의처분",NA,NA,NA,NA
"주식매입선택권의행사",NA,NA,NA,NA
"연결자본거래로인한현금유입액",NA,NA,NA,NA
"종속기업소유지분변동에따른현금흐름",NA,NA,NA,NA
"비지배주주지분의증가",NA,NA,NA,NA
"환율변동으로인한차이조정",NA,NA,NA,NA
"기타재무활동으로인한현금유입액",1000,NA,NA,NA
"(재무활동으로인한현금유출액)",165,307,413,753
"당기손익인식(지정)금융부채의감소",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융부채의<U+00A0>감소",NA,NA,NA,NA
"단기매매금융부채의감소",NA,NA,NA,NA
"예수부채의감소",NA,NA,NA,NA
"차입부채의감소",158,307,402,738
"미지급금의감소",NA,NA,NA,NA
"선수금의감소",NA,NA,NA,NA
"수입보증금의감소",NA,NA,3,0
"리스보증금의감소",NA,NA,NA,NA
"임대보증금의감소",NA,NA,NA,NA
"리스부채의<U+00A0>감소",NA,NA,9,7
"기타부채의감소",NA,NA,NA,NA
"기타금융업부채의감소",NA,NA,NA,NA
"유상감자",NA,NA,NA,7
"자본금의감소",NA,NA,NA,NA
"자본잉여금의감소",NA,NA,NA,NA
"종속회사의감자등",NA,NA,NA,NA
"이익잉여금의감소",NA,NA,NA,NA
"자기주식의취득",NA,NA,NA,NA
