"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",12745,12084,12044,12145
"매출원가",11458,10703,10736,10656
"매출총이익",1287,1381,1308,1489
"판매비와관리비",1122,1054,1013,1026
"인건비",363,358,360,156
"유무형자산상각비",28,26,29,34
"연구개발비",NA,NA,NA,NA
"광고선전비",9,8,6,4
"판매비",382,341,318,325
"관리비",232,222,212,225
"기타원가성비용",NA,NA,NA,NA
"기타",109,98,88,283
"영업이익",165,327,295,463
"영업이익(발표기준)",165,327,295,463
"금융수익",68,138,114,68
"이자수익",36,36,27,22
"배당금수익",13,7,7,8
"외환이익",NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",15,59,NA,NA
"금융자산평가이익",2,33,75,35
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",2,4,4,4
"금융원가",285,209,163,239
"이자비용",131,139,137,116
"외환손실",NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,7,NA,NA
"금융자산평가손실",NA,8,27,109
"금융자산손상차손",NA,49,-5,NA
"파생상품손실",152,NA,NA,NA
"기타금융원가",2,4,4,13
"기타수익",290,87,137,210
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",2,16,46,3
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",81,150,159,142
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",2,8,6,15
"자산평가손실",NA,NA,NA,NA
"자산손상차손",12,10,11,3
"기타대손상각비",NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-16,-24,-46,-7
"지분법손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",140,169,177,353
"법인세비용",32,56,62,126
"계속영업이익",108,113,115,227
"중단영업이익",NA,-16,29,NA
"당기순이익",108,98,144,227
"지배주주순이익",106,97,147,226
"비지배주주순이익",2,0,-3,1
"자산",11529,11354,11431,11462
"유동자산",5166,5065,5224,5330
"재고자산",2002,1973,2122,1889
"유동생물자산",57,58,37,40
"유동금융자산",701,782,680,1065
"매출채권및기타유동채권",1236,1432,1350,1338
"당기법인세자산",1,1,1,0
"계약자산",NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",39,9,16,10
