"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",94183,100927,101518,104443
"매출원가",81633,88324,89061,91529
"매출총이익",12550,12603,12456,12914
"판매비와관리비",8526,9000,9758,9548
"인건비",3278,3411,3743,3763
"유무형자산상각비",502,463,677,631
"연구개발비",473,534,603,761
"광고선전비",NA,NA,NA,NA
"판매비",1192,1336,1451,1196
"관리비",1534,1634,1655,1429
"기타원가성비용",NA,NA,NA,NA
"기타",1546,1621,1628,1770
"영업이익",4025,3603,2698,3366
"영업이익(발표기준)",5274,5151,3494,4192
"금융수익",174,323,549,339
"이자수익",145,211,235,216
"배당금수익",3,2,1,1
"외환이익",NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",22,44,9,3
"금융자산평가이익",NA,61,294,116
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",4,6,10,3
"금융원가",2065,1322,1485,1300
"이자비용",1238,1292,1453,1228
"외환손실",239,NA,NA,NA
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",25,23,31,18
"금융자산처분손실",0,0,1,0
"금융자산평가손실",NA,8,0,45
"금융자산손상차손",3,NA,NA,NA
"파생상품손실",176,NA,NA,NA
"기타금융원가",383,NA,NA,9
"기타수익",7592,7367,6371,9665
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",165,76,224,8
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",1,3,82,22
"임대료수익",8,12,12,8
"로열티수익",NA,NA,NA,NA
"수수료수익",25,38,2,3
"대손충당금환입",0,0,1,0
"충당부채환입액",NA,NA,NA,NA
"기타비용",5984,7161,6537,9039
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",0,0,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",58,130,51,71
"자산평가손실",NA,NA,NA,NA
"자산손상차손",285,431,841,75
"기타대손상각비",17,77,141,27
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",3742,2809,1597,3031
"법인세비용",448,474,639,1077
"계속영업이익",3293,2335,958,1953
"중단영업이익",355,2542,-30,-6
"당기순이익",3648,4877,928,1947
"지배주주순이익",2969,4041,253,1269
"비지배주주순이익",680,835,675,679
"자산",99789,104903,107635,116605
"유동자산",61049,59775,60164,66922
"재고자산",14185,15399,15122,16554
"유동생물자산",NA,NA,NA,NA
"유동금융자산",3642,3987,2702,3977
"매출채권및기타유동채권",25642,25650,25329,24653
"당기법인세자산",7,7,28,20
"계약자산",NA,3546,4170,3383
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",1678,1804,2025,1838
"현금및현금성자산",6287,8265,10174,15643
"매각예정비유동자산및처분자산집단",9609,1116,614,854
"비유동자산",38740,45128,47471,49683
"유형자산",19577,22471,22834,23869
"무형자산",6371,6543,5933,6244
"비유동생물자산",NA,NA,NA,NA
"투자부동산",NA,230,289,268
"장기금융자산",808,2890,3390,3730
"관계기업등지분관련투자자산",9591,10696,11727,12086
"장기매출채권및기타비유동채권",771,847,1064,1323
"이연법인세자산",985,949,1042,776
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",637,502,1192,1387
"기타금융업자산",NA,NA,NA,NA
"부채",63468,61307,64922,72120
"유동부채",41200,39566,39734,43405
"단기사채",NA,NA,NA,NA
"단기차입금",12329,11893,10864,12450
"유동성장기부채",5717,7751,8766,6664
"유동금융부채",1537,985,771,2067
"매입채무및기타유동채무",11482,14192,15518,17602
"유동종업원급여충당부채",NA,NA,NA,NA
"기타단기충당부채",344,782,684,577
"당기법인세부채",475,1264,166,500
"계약부채",NA,2272,2826,3276
"반품(환불)부채",NA,NA,NA,NA
"배출부채",NA,NA,NA,NA
"기타유동부채",4344,241,126,124
"매각예정으로분류된처분자산집단에포함된부채",4972,187,12,145
"비유동부채",22268,21741,25188,28715
"사채",13096,13084,13710,15746
"장기차입금",6766,5713,8107,8085
"비유동금융부채",139,231,725,2296
"장기매입채무및기타비유동채무",NA,27,62,7
"비유동종업원급여충당부채",832,846,889,716
"기타장기충당부채",301,172,104,137
"이연법인세부채",1026,1620,1558,1701
"장기당기법인세부채",NA,NA,NA,NA
"기타비유동부채",108,49,34,6
"기타금융업부채",NA,NA,NA,NA
"자본",36321,43596,42713,44485
"지배기업주주지분",27217,31636,31662,32673
"자본금",1610,1610,1610,1610
"신종자본증권",NA,NA,NA,NA
"자본잉여금",2854,2962,3058,3028
"기타자본",-692,-701,-709,-704
"기타포괄손익누계액",-473,-553,-383,-264
"이익잉여금(결손금)",23918,28318,28086,29003
"비지배주주지분",9104,11960,11051,11812
