"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",1570,1730,1898,2037
"매출원가",878,953,1031,1079
"매출총이익",692,777,868,958
"판매비와관리비",464,503,566,653
"인건비",157,165,206,225
"유무형자산상각비",21,14,38,33
"연구개발비",136,134,159,189
"광고선전비",18,18,16,20
"판매비",11,12,8,17
"관리비",83,110,98,117
"기타원가성비용",NA,NA,NA,NA
"기타",38,52,41,52
"영업이익",228,274,302,305
"영업이익(발표기준)",228,274,302,305
"금융수익",16,23,11,19
"이자수익",2,5,7,12
"배당금수익",NA,NA,NA,NA
"외환이익",14,18,5,7
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA
"금융원가",24,28,22,49
"이자비용",12,13,15,10
"외환손실",11,15,7,39
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA
"기타수익",32,44,92,130
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,6,NA,NA
"자산처분(폐기)이익",6,12,NA,1
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",36,25,76,33
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
