"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",3545,955,993,681
"매출원가",3722,914,913,679
"매출총이익",-177,41,80,2
"판매비와관리비",270,148,147,142
"인건비",98,58,64,63
"유무형자산상각비",9,8,19,22
"연구개발비",1,1,1,1
"광고선전비",3,0,0,0
"판매비",75,33,19,16
"관리비",84,47,44,40
"기타원가성비용",NA,NA,NA,NA
"기타",0,0,0,0
"영업이익",-448,-107,-67,-140
"영업이익(발표기준)",-448,-107,-67,-140
"금융수익",0,0,4,3
"이자수익",0,0,3,3
"배당금수익",0,0,NA,NA
"외환이익",NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,0,NA
"금융자산평가이익",NA,NA,2,NA
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA
"금융원가",18,22,17,14
"이자비용",18,11,17,14
"외환손실",NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,1,NA,NA
"금융자산평가손실",NA,10,NA,NA
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA
"기타수익",33,25,19,17
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",2,0,0,NA
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",142,207,15,39
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",24,2,0,2
"자산평가손실",NA,NA,NA,NA
"자산손상차손",78,193,NA,28
"기타대손상각비",NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-2,NA,NA,NA
