"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",471,512,604,467
"매출원가",241,271,274,266
"매출총이익",230,241,330,202
"판매비와관리비",205,227,252,321
"인건비",84,100,107,115
"유무형자산상각비",3,3,8,10
"연구개발비",26,30,28,30
"광고선전비",21,25,28,31
"판매비",29,28,36,91
"관리비",42,39,43,43
"기타원가성비용",NA,NA,NA,NA
"기타",0,1,1,1
"영업이익",25,14,78,-120
"영업이익(발표기준)",25,14,78,-120
"금융수익",0,1,9,1
"이자수익",0,0,0,0
"배당금수익",NA,NA,NA,NA
"외환이익",NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,0,NA
"금융자산평가이익",0,0,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,1,9,1
"기타금융수익",NA,NA,NA,NA
"금융원가",22,18,74,12
"이자비용",14,15,15,11
"외환손실",NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,0,NA,0
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",6,3,51,1
"기타금융원가",3,NA,8,NA
"기타수익",9,21,15,15
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",0,0,NA,0
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",43,13,6,49
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",0,1,0,0
"자산평가손실",NA,NA,NA,NA
"자산손상차손",8,2,NA,19
"기타대손상각비",0,NA,2,NA
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",0,0,-1,-1
"지분법손익",0,0,-1,-1
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",-31,5,22,-165
"법인세비용",-4,-2,18,-29
"계속영업이익",-27,6,4,-136
"중단영업이익",NA,NA,NA,NA
"당기순이익",-27,6,4,-136
"지배주주순이익",-27,6,3,-133
"비지배주주순이익",NA,NA,0,-4
"자산",786,801,930,905
"유동자산",443,454,578,501
"재고자산",127,139,129,148
"유동생물자산",NA,NA,NA,NA
"유동금융자산",1,2,30,20
"매출채권및기타유동채권",223,240,313,233
"당기법인세자산",4,0,0,0
"계약자산",NA,NA,NA,NA
"반품(환불)자산",40,39,40,39
"배출권",NA,NA,NA,NA
"기타유동자산",8,17,9,18
"현금및현금성자산",40,18,56,42
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA
"비유동자산",343,347,353,404
"유형자산",296,294,291,322
"무형자산",14,16,15,11
"비유동생물자산",NA,NA,NA,NA
"투자부동산",NA,NA,NA,NA
"장기금융자산",4,5,4,4
"관계기업등지분관련투자자산",1,4,4,NA
"장기매출채권및기타비유동채권",10,6,8,8
"이연법인세자산",19,22,19,50
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",NA,NA,12,9
"기타금융업자산",NA,NA,NA,NA
"부채",653,630,582,629
"유동부채",465,503,468,518
"단기사채",NA,42,NA,NA
"단기차입금",219,220,231,262
"유동성장기부채",35,34,43,52
"유동금융부채",28,34,6,5
"매입채무및기타유동채무",78,67,53,67
"유동종업원급여충당부채",NA,NA,NA,NA
"기타단기충당부채",NA,NA,NA,NA
"당기법인세부채",-1,2,15,0
"계약부채",NA,NA,NA,NA
"반품(환불)부채",84,84,95,99
"배출부채",NA,NA,NA,NA
"기타유동부채",22,20,26,32
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA
"비유동부채",187,127,114,112
"사채",49,7,7,NA
"장기차입금",135,120,97,106
"비유동금융부채",3,NA,8,5
"장기매입채무및기타비유동채무",0,0,2,1
"비유동종업원급여충당부채",NA,NA,NA,NA
"기타장기충당부채",NA,NA,NA,NA
"이연법인세부채",NA,NA,NA,NA
"장기당기법인세부채",NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA
"기타금융업부채",NA,NA,NA,NA
"자본",133,171,348,276
"지배기업주주지분",153,171,373,268
"자본금",36,38,69,74
"신종자본증권",NA,NA,NA,NA
"자본잉여금",76,109,252,350
"기타자본",NA,NA,NA,-54
"기타포괄손익누계액",10,6,6,9
"이익잉여금(결손금)",11,18,22,-110
"비지배주주지분",NA,NA,0,9
"영업활동으로인한현금흐름",-31,-6,46,-40
"당기순손익",NA,NA,NA,NA
"법인세비용차감전계속사업이익",-31,5,22,-165
"현금유출이없는비용등가산",90,60,112,167
"퇴직급여",NA,NA,NA,NA
"종업원급여",NA,NA,NA,NA
"주식보상비",1,7,NA,2
"감가상각비",14,16,22,24
"무형자산상각비",5,4,4,4
"계약부채전입액",NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA
"기타의대손상각비",0,NA,2,NA
"배당금지급",NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA
"사채상환손실",3,NA,8,NA
"투자자산평가손실",NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA
"지분법관련손실",0,0,1,1
"종속기업관련손실",NA,NA,NA,NA
"관계기업관련손익",NA,NA,NA,NA
"(현금유입이없는수익등차감)",1,14,16,2
"금융부채관련이익",NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA
"지분법관련이익",0,1,NA,NA
"종속회사관련이익",NA,NA,NA,NA
"법인세수익",NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-65,-50,-58,-14
"자산의감소(증가)",-79,-27,-60,-37
"부채의증가(감소)",14,-23,3,23
"정부보조금등의변동",NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA
"*영업에서창출된현금흐름",-7,1,61,-14
"기타영업활동으로인한현금흐름",-24,-7,-15,-26
"이자수입",0,0,0,2
"이자지급(-)",-9,-11,-13,-11
"배당금수입",NA,NA,NA,NA
"배당금지급(-)",NA,NA,NA,NA
"법인세환입",NA,4,NA,NA
"법인세납부(-)",-15,NA,-2,-17
