"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",1590,1470,1359,1414
"매출원가",1484,1430,1296,1303
"매출총이익",107,40,63,111
"판매비와관리비",32,52,31,43
"인건비",18,23,19,19
"유무형자산상각비",2,6,1,1
"연구개발비",NA,1,0,NA
"광고선전비",NA,NA,NA,NA
"판매비",-5,2,2,14
"관리비",16,20,9,9
"기타원가성비용",NA,NA,NA,NA
"기타",NA,NA,NA,NA
"영업이익",75,-12,31,68
"영업이익(발표기준)",75,-12,31,68
"금융수익",100,2,2,9
"이자수익",0,0,1,0
"배당금수익",NA,NA,NA,NA
"외환이익",100,1,2,8
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",NA,NA,0,NA
"금융원가",99,40,16,10
"이자비용",23,26,11,8
"외환손실",77,14,4,2
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",NA,1,NA,NA
"기타금융원가",NA,NA,NA,0
"기타수익",19,31,12,13
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",2,0,1,0
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",37,21,8,14
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",7,8,0,NA
"자산평가손실",NA,NA,NA,NA
"자산손상차손",NA,NA,NA,NA
"기타대손상각비",NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",58,-40,23,66
"법인세비용",3,-12,31,9
"계속영업이익",55,-29,-8,57
"중단영업이익",-13,-76,-24,-24
"당기순이익",43,-105,-32,33
"지배주주순이익",46,-102,-30,36
"비지배주주순이익",-3,-3,-2,-3
"자산",2063,1648,1563,1372
"유동자산",1084,798,747,860
"재고자산",97,46,54,25
"유동생물자산",NA,NA,NA,NA
"유동금융자산",NA,NA,NA,NA
"매출채권및기타유동채권",559,395,347,251
"당기법인세자산",NA,NA,NA,NA
"계약자산",295,196,298,322
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",48,22,27,9
"현금및현금성자산",85,38,20,127
"매각예정비유동자산및처분자산집단",NA,101,NA,127
"비유동자산",979,850,816,512
"유형자산",931,790,743,467
"무형자산",23,19,18,12
"비유동생물자산",NA,NA,NA,NA
"투자부동산",NA,NA,NA,NA
"장기금융자산",4,18,6,5
"관계기업등지분관련투자자산",NA,NA,NA,NA
"장기매출채권및기타비유동채권",7,NA,12,17
"이연법인세자산",13,22,4,11
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",NA,NA,33,NA
"기타금융업자산",NA,NA,NA,NA
"부채",1268,945,893,672
"유동부채",1056,840,808,626
"단기사채",NA,NA,NA,NA
"단기차입금",449,372,405,264
"유동성장기부채",244,156,106,13
"유동금융부채",NA,NA,0,0
"매입채무및기타유동채무",345,226,245,203
"유동종업원급여충당부채",NA,NA,NA,NA
"기타단기충당부채",NA,4,5,6
"당기법인세부채",1,1,4,15
"계약부채",13,23,43,29
"반품(환불)부채",NA,NA,NA,NA
"배출부채",NA,NA,NA,NA
"기타유동부채",3,2,NA,0
"매각예정으로분류된처분자산집단에포함된부채",NA,57,NA,95
"비유동부채",212,105,85,46
"사채",NA,NA,NA,NA
"장기차입금",202,103,81,40
"비유동금융부채",NA,NA,0,0
"장기매입채무및기타비유동채무",1,1,1,3
"비유동종업원급여충당부채",10,2,3,3
"기타장기충당부채",NA,NA,NA,NA
"이연법인세부채",NA,NA,NA,NA
"장기당기법인세부채",NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA
"기타금융업부채",NA,NA,NA,NA
"자본",795,702,670,700
"지배기업주주지분",774,685,654,687
"자본금",58,58,58,58
"신종자본증권",NA,NA,NA,NA
"자본잉여금",98,98,98,98
"기타자본",NA,NA,NA,NA
"기타포괄손익누계액",-45,-36,-32,-28
"이익잉여금(결손금)",663,565,530,559
"비지배주주지분",20,17,16,13
"영업활동으로인한현금흐름",21,197,-18,188
"당기순손익",43,-105,-32,33
"법인세비용차감전계속사업이익",NA,NA,NA,NA
"현금유출이없는비용등가산",191,123,93,83
"퇴직급여",13,0,NA,NA
"종업원급여",NA,NA,NA,NA
"주식보상비",NA,NA,NA,NA
"감가상각비",49,61,42,38
"무형자산상각비",0,1,0,0
"계약부채전입액",NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA
"기타의대손상각비",NA,NA,NA,NA
"배당금지급",NA,NA,NA,NA
"금융부채관련손실",NA,4,1,2
"사채상환손실",NA,NA,NA,NA
"투자자산평가손실",NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA
"지분법관련손실",NA,NA,NA,NA
"종속기업관련손실",NA,NA,NA,NA
"관계기업관련손익",NA,NA,NA,NA
"(현금유입이없는수익등차감)",113,32,9,14
"금융부채관련이익",NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,3,NA
"계약부채환입액",NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA
"지분법관련이익",NA,NA,NA,NA
"종속회사관련이익",NA,NA,NA,NA
"법인세수익",NA,12,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-82,174,42,42
"자산의감소(증가)",24,406,84,51
"부채의증가(감소)",-106,-233,-43,-9
"정부보조금등의변동",NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA
"*영업에서창출된현금흐름",39,160,93,143
"기타영업활동으로인한현금흐름",-17,37,-111,45
"이자수입",2,0,1,0
"이자지급(-)",-24,-27,-22,-14
"배당금수입",NA,NA,NA,NA
"배당금지급(-)",NA,NA,NA,NA
"법인세환입",NA,NA,NA,NA
"법인세납부(-)",-19,-4,-9,-6
"중단영업관련현금흐름",24,69,-80,64
"투자활동으로인한현금흐름",-109,33,-8,123
"투자활동으로인한현금유입액",20,56,6,147
"유동금융자산의감소",8,NA,0,2
"장기금융상품의감소",NA,NA,NA,NA
"매도가능금융자산의감소",NA,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA
"장기대여금의감소",NA,NA,NA,NA
"파생상품의변동",NA,NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA,NA
"유형자산의감소",12,56,5,143
"무형자산의감소",NA,NA,NA,NA
"생물자산의감소",NA,NA,NA,NA
"투자부동산의감소",NA,NA,NA,NA
"기타투자활동으로인한현금유입액",0,0,NA,2
"(투자활동으로인한현금유출액)",129,23,13,23
