"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",403,314,497,801
"매출원가",308,289,483,570
"매출총이익",96,25,14,232
"판매비와관리비",29,28,92,70
"인건비",24,17,27,31
"유무형자산상각비",0,0,0,0
"연구개발비",NA,NA,NA,NA
"광고선전비",NA,0,38,3
"판매비",2,0,2,12
"관리비",3,10,25,23
"기타원가성비용",NA,NA,NA,NA
"기타",0,0,0,0
"영업이익",67,-3,-79,162
"영업이익(발표기준)",67,-3,-79,162
"금융수익",2,1,2,2
"이자수익",0,1,2,2
"배당금수익",NA,NA,NA,NA
"외환이익",1,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA
"금융원가",4,1,23,9
"이자비용",3,1,23,9
"외환손실",1,NA,NA,NA
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA
"기타수익",1,4,6,9
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",NA,0,NA,0
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",0,0,4,26
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",NA,NA,NA,17
"자산평가손실",NA,NA,NA,NA
"자산손상차손",NA,NA,NA,NA
"기타대손상각비",NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,0,-1,NA
"지분법손익",NA,0,-1,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",65,0,-99,138
"법인세비용",-22,24,-6,13
"계속영업이익",87,-24,-93,125
"중단영업이익",NA,NA,NA,NA
"당기순이익",87,-24,-93,125
"자산",162,362,984,987
"유동자산",73,114,268,245
"재고자산",38,32,44,77
"유동생물자산",NA,NA,NA,NA
"유동금융자산",NA,NA,30,42
"매출채권및기타유동채권",20,6,54,23
"당기법인세자산",NA,1,0,1
"계약자산",NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",3,9,38,4
"현금및현금성자산",13,66,101,98
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA
"비유동자산",89,248,716,742
"유형자산",61,241,712,737
"무형자산",1,1,1,1
"비유동생물자산",NA,NA,NA,NA
"투자부동산",NA,NA,NA,NA
"장기금융자산",3,3,3,3
"관계기업등지분관련투자자산",NA,2,NA,NA
"장기매출채권및기타비유동채권",NA,NA,NA,NA
"이연법인세자산",24,NA,NA,NA
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",NA,NA,NA,NA
"기타금융업자산",NA,NA,NA,NA
"부채",147,101,795,385
"유동부채",147,100,794,329
"단기사채",NA,NA,193,200
"단기차입금",110,30,90,60
"유동성장기부채",NA,NA,NA,NA
"유동금융부채",NA,NA,0,7
"매입채무및기타유동채무",36,70,507,54
"유동종업원급여충당부채",NA,NA,2,3
"기타단기충당부채",NA,NA,NA,NA
"당기법인세부채",1,NA,NA,NA
"계약부채",NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA
"배출부채",NA,NA,NA,NA
"기타유동부채",NA,0,1,5
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA
"비유동부채",NA,1,1,56
"사채",NA,NA,NA,NA
"장기차입금",NA,NA,NA,NA
"비유동금융부채",NA,NA,NA,55
"장기매입채무및기타비유동채무",NA,1,1,1
