"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",264,191,355,370
"매출원가",290,209,315,330
"매출총이익",-26,-17,39,39
"판매비와관리비",49,57,58,58
"인건비",18,22,23,23
"유무형자산상각비",6,6,5,3
"연구개발비",8,14,14,14
"광고선전비",NA,NA,NA,NA
"판매비",4,2,3,2
"관리비",10,9,8,11
"기타원가성비용",NA,NA,NA,NA
"기타",2,3,5,4
"영업이익",-75,-74,-19,-18
"영업이익(발표기준)",-75,-74,-19,-18
"금융수익",2,1,2,4
"이자수익",1,1,1,1
"배당금수익",NA,NA,NA,NA
"외환이익",1,NA,1,2
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA
"금융자산평가이익",NA,0,NA,1
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA
"금융원가",6,8,11,10
"이자비용",5,8,10,5
"외환손실",1,NA,0,2
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",0,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,NA,3
"기타금융원가",NA,NA,NA,NA
"기타수익",3,5,31,4
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",1,0,26,NA
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",1,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",20,4,4,5
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",0,0,0,0
"자산평가손실",NA,NA,NA,NA
"자산손상차손",7,0,3,2
"기타대손상각비",NA,0,NA,NA
"충당부채전입액",NA,NA,NA,NA
