"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",1061,1124,1036,1417
"매출원가",943,975,971,1203
"매출총이익",118,149,65,214
"판매비와관리비",86,92,115,133
"인건비",37,40,49,67
"유무형자산상각비",2,2,5,5
"연구개발비",14,15,22,23
"광고선전비",NA,0,0,0
"판매비",15,14,10,14
"관리비",17,19,24,22
"기타원가성비용",NA,NA,NA,NA
"기타",2,2,4,3
"영업이익",31,57,-50,81
"영업이익(발표기준)",31,57,-50,81
"금융수익",1,20,41,60
"이자수익",0,0,1,0
"배당금수익",NA,NA,NA,0
"외환이익",1,12,11,35
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,0
"금융자산평가이익",0,NA,NA,6
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,8,28,18
"기타금융수익",NA,NA,0,NA
"금융원가",34,22,125,101
"이자비용",12,15,32,24
"외환손실",22,7,2,51
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,NA,25,5
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,46,16
"기타금융원가",NA,NA,19,6
"기타수익",10,9,15,31
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",3,2,2,23
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",0,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",4,9,27,22
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",0,0,1,9
"자산평가손실",NA,4,NA,NA
"자산손상차손",2,NA,NA,NA
"기타대손상각비",NA,1,23,6
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",4,56,-147,48
"법인세비용",-3,8,-22,8
"계속영업이익",7,47,-124,40
"중단영업이익",NA,NA,NA,NA
"당기순이익",7,47,-124,40
"지배주주순이익",7,47,-124,41
"비지배주주순이익",NA,NA,0,0
"자산",1139,1231,1275,1327
"유동자산",273,320,367,501
"재고자산",79,92,127,120
"유동생물자산",NA,NA,NA,NA
"유동금융자산",13,9,25,40
"매출채권및기타유동채권",79,85,106,145
"당기법인세자산",NA,NA,0,1
"계약자산",NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",47,56,55,43
"현금및현금성자산",55,77,54,152
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA
"비유동자산",866,911,908,826
"유형자산",785,798,801,686
"무형자산",33,31,44,41
"비유동생물자산",NA,NA,NA,NA
"투자부동산",NA,NA,NA,NA
"장기금융자산",31,62,21,66
"관계기업등지분관련투자자산",NA,NA,NA,NA
"장기매출채권및기타비유동채권",NA,NA,NA,NA
"이연법인세자산",18,20,42,33
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",NA,NA,NA,NA
"기타금융업자산",NA,NA,NA,NA
"부채",621,664,819,715
"유동부채",490,482,650,550
"단기사채",NA,NA,100,44
"단기차입금",173,322,386,253
"유동성장기부채",133,80,6,13
"유동금융부채",NA,NA,52,17
"매입채무및기타유동채무",174,76,104,221
"유동종업원급여충당부채",NA,NA,NA,NA
"기타단기충당부채",NA,NA,NA,NA
"당기법인세부채",6,3,NA,NA
"계약부채",NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA
"배출부채",NA,NA,NA,NA
"기타유동부채",5,2,2,2
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA
"비유동부채",131,182,168,166
"사채",NA,78,NA,NA
"장기차입금",105,66,127,134
"비유동금융부채",NA,10,NA,NA
"장기매입채무및기타비유동채무",NA,NA,NA,NA
"비유동종업원급여충당부채",26,28,41,31
"기타장기충당부채",NA,NA,NA,NA
"이연법인세부채",NA,NA,NA,NA
"장기당기법인세부채",NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA
"기타금융업부채",NA,NA,NA,NA
"자본",518,566,456,611
"지배기업주주지분",518,566,455,611
"자본금",54,54,55,68
"신종자본증권",NA,NA,NA,NA
"자본잉여금",184,193,206,318
"기타자본",-12,-25,-23,-34
"기타포괄손익누계액",-5,-4,-1,-7
"이익잉여금(결손금)",297,347,218,266
"비지배주주지분",NA,NA,0,0
"영업활동으로인한현금흐름",81,-27,27,219
"당기순손익",7,47,-124,40
"법인세비용차감전계속사업이익",NA,NA,NA,NA
"현금유출이없는비용등가산",111,125,251,199
"퇴직급여",12,12,12,12
"종업원급여",NA,NA,NA,NA
"주식보상비",NA,NA,NA,NA
"감가상각비",63,76,88,79
"무형자산상각비",3,2,3,3
"계약부채전입액",NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA
"기타의대손상각비",0,1,23,6
"배당금지급",NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA
"사채상환손실",NA,NA,19,6
"투자자산평가손실",NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA
"지분법관련손실",NA,NA,NA,NA
"종속기업관련손실",NA,NA,NA,0
"관계기업관련손익",NA,NA,NA,NA
"(현금유입이없는수익등차감)",5,18,62,51
"금융부채관련이익",NA,NA,NA,NA
"사채상환이익",NA,NA,0,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA
"지분법관련이익",NA,NA,NA,NA
"종속회사관련이익",NA,NA,NA,NA
"법인세수익",NA,NA,22,NA
"영업활동으로인한자산부채변동(운전자본변동)",-19,-156,-19,49
"자산의감소(증가)",-33,-42,-42,-61
"부채의증가(감소)",14,-114,22,109
"정부보조금등의변동",NA,0,1,2
"기타운전자본의변동",NA,NA,NA,NA
"*영업에서창출된현금흐름",94,-2,46,237
"기타영업활동으로인한현금흐름",-13,-25,-19,-18
"이자수입",5,5,1,0
"이자지급(-)",-14,-16,-17,-19
"배당금수입",NA,NA,NA,0
"배당금지급(-)",NA,NA,NA,NA
"법인세환입",NA,NA,NA,NA
"법인세납부(-)",-4,-14,-3,0
"중단영업관련현금흐름",NA,NA,NA,NA
"투자활동으로인한현금흐름",-163,-98,-197,-18
"투자활동으로인한현금유입액",52,41,88,259
"유동금융자산의감소",20,20,24,61
"장기금융상품의감소",NA,5,5,0
"매도가능금융자산의감소",NA,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA
"장기대여금의감소",4,1,14,68
"파생상품의변동",NA,NA,NA,1
"기타비유동금융자산의감소",NA,NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA,0
"유형자산의감소",28,15,21,129
"무형자산의감소",NA,NA,NA,NA
"생물자산의감소",NA,NA,NA,NA
"투자부동산의감소",NA,NA,NA,NA
"기타투자활동으로인한현금유입액",NA,NA,25,NA
"(투자활동으로인한현금유출액)",215,139,285,277
"유동금융자산의증가",22,17,122,79
"장기금융상품의증가",5,3,3,2
"매도가능금융자산의증가",NA,NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA,NA
"장기대여금의증가",5,11,28,81
"기타비유동금융자산의증가",NA,3,19,15
"관계기업등지분관련투자자산의증가",NA,NA,NA,NA
"유형자산의증가",174,105,112,99
"무형자산의증가",10,0,1,1
"생물자산의증가",NA,NA,NA,NA
"투자부동산의증가",NA,NA,NA,NA
"기타투자활동으로인한현금유출액",NA,NA,NA,NA
"기타투자활동으로인한현금흐름",NA,NA,NA,NA
"재무활동으로인한현금흐름",68,146,148,-93
"재무활동으로인한현금유입액",277,489,721,744
"사채의증가",NA,95,145,47
"차입금의증가",277,384,576,679
"미지급금의증가",NA,NA,NA,NA
"유동성장기부채의증가",NA,NA,NA,NA
"기타금융부채의증가",NA,NA,NA,NA
"기타부채의증가",NA,NA,NA,NA
"유상증자",NA,10,NA,18
"자기주식의처분",NA,NA,NA,NA
"주식매입선택권의행사",NA,NA,NA,NA
"자본구성항목의증가",NA,NA,NA,NA
"기타재무활동으로인한현금유입액",NA,NA,NA,NA
"(재무활동으로인한현금유출액)",209,343,573,836
"사채의감소",NA,NA,27,44
"차입금의감소",170,193,406,703
"미지급금의감소",NA,NA,NA,NA
"유동성장기부채의감소",27,136,128,89
"기타금융부채의감소",NA,NA,2,1
"기타부채의감소",NA,NA,NA,NA
"유상감자",NA,NA,NA,NA
"자기주식의취득",12,13,11,NA
"자본구성항목의감소",NA,NA,NA,NA
"기타재무활동으로인한현금유출액",NA,NA,NA,NA
"기타재무활동으로인한현금흐름",NA,NA,NA,NA
"영업투자재무활동기타현금흐름",NA,NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA,NA
"환율변동효과",-4,1,-2,-9
"현금및현금성자산의증가",-18,22,-24,99
"기초현금및현금성자산",73,55,77,54
"기말현금및현금성자산",55,77,54,152
