"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",8586,9656,12799,17346
"매출원가",7417,8383,10975,14705
"매출총이익",1169,1273,1824,2641
"판매비와관리비",332,364,394,607
"인건비",162,175,229,268
"유무형자산상각비",6,6,8,25
"연구개발비",NA,NA,NA,NA
"광고선전비",75,57,32,14
"판매비",18,85,52,177
"관리비",54,67,81,112
"기타원가성비용",NA,NA,NA,NA
"기타",16,-25,-9,12
"영업이익",838,909,1430,2034
"영업이익(발표기준)",838,909,1430,2034
"금융수익",110,81,94,63
"이자수익",109,80,94,63
"배당금수익",NA,NA,NA,NA
"외환이익",NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",1,0,NA,0
"금융원가",57,41,30,99
"이자비용",57,41,30,99
"외환손실",NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA
"기타수익",146,58,243,128
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,7,4,17
"자산처분(폐기)이익",0,2,1,7
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,3,NA
"임대료수익",NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,12,173,67
"충당부채환입액",94,14,30,10
"기타비용",166,123,418,193
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,68,31,55
"자산처분(폐기)손실",NA,NA,2,NA
"자산평가손실",NA,NA,NA,NA
"자산손상차손",5,NA,NA,NA
"기타대손상각비",96,14,9,25
"충당부채전입액",55,33,366,97
"종속기업,공동지배기업및관계기업관련손익",-1,0,0,0
"지분법손익",-1,0,0,0
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",869,883,1319,1932
"법인세비용",223,238,368,439
"계속영업이익",646,645,951,1493
"중단영업이익",NA,NA,NA,NA
"당기순이익",646,645,951,1493
"자산",7718,7961,8517,14984
"유동자산",6432,6957,7439,11046
"재고자산",2,12,7,414
"유동생물자산",NA,NA,NA,NA
"유동금융자산",765,925,1317,287
"매출채권및기타유동채권",2126,2535,2831,4442
"당기법인세자산",NA,NA,NA,NA
"계약자산",NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",232,183,141,269
"현금및현금성자산",3307,3302,3140,5634
"매각예정비유동자산및처분자산집단",NA,NA,3,NA
"비유동자산",1286,1004,1078,3938
"유형자산",53,33,34,59
"무형자산",16,20,27,177
"비유동생물자산",NA,NA,NA,NA
"투자부동산",13,12,15,40
"장기금융자산",741,466,588,2227
"관계기업등지분관련투자자산",3,3,NA,81
"장기매출채권및기타비유동채권",86,91,108,348
"이연법인세자산",348,356,237,843
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",26,23,69,162
"기타금융업자산",NA,NA,NA,NA
"부채",4492,4285,3939,6965
"유동부채",2397,3099,3576,5450
"단기사채",NA,NA,NA,NA
"단기차입금",NA,0,0,1
"유동성장기부채",0,NA,NA,NA
"유동금융부채",98,113,206,350
"매입채무및기타유동채무",2139,2720,3039,3882
"유동종업원급여충당부채",NA,NA,NA,NA
"기타단기충당부채",51,58,95,684
"당기법인세부채",29,160,171,276
"계약부채",NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA
"배출부채",NA,NA,NA,NA
"기타유동부채",80,47,65,258
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA
"비유동부채",2095,1186,363,1515
"사채",811,406,NA,237
"장기차입금",1047,505,6,762
"비유동금융부채",56,38,11,75
"장기매입채무및기타비유동채무",7,20,7,10
"비유동종업원급여충당부채",33,47,27,45
"기타장기충당부채",141,171,311,387
"이연법인세부채",NA,NA,NA,NA
"장기당기법인세부채",NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA
"기타금융업부채",NA,NA,NA,NA
"자본",3226,3676,4578,8019
"자본금",759,759,759,1165
"신종자본증권",NA,NA,NA,NA
"자본잉여금",363,363,363,1969
"기타자본",0,0,0,-1
"기타포괄손익누계액",32,-2,-2,0
"이익잉여금(결손금)",2071,2557,3459,4885
"영업활동으로인한현금흐름",583,871,1263,1591
"당기순손익",646,645,951,1493
"법인세비용차감전계속사업이익",NA,NA,NA,NA
"현금유출이없는비용등가산",827,648,1227,1852
"퇴직급여",23,24,29,49
"종업원급여",NA,NA,NA,NA
"주식보상비",NA,NA,NA,NA
"감가상각비",3,4,50,84
"무형자산상각비",3,3,4,20
"계약부채전입액",NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA
"기타의대손상각비",96,NA,NA,NA
"배당금지급",NA,NA,NA,NA
"금융부채관련손실",48,NA,NA,NA
"사채상환손실",NA,NA,NA,NA
"투자자산평가손실",NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA
"지분법관련손실",1,NA,NA,NA
"종속기업관련손실",NA,NA,NA,NA
"관계기업관련손익",NA,NA,NA,NA
"(현금유입이없는수익등차감)",245,119,326,160
"금융부채관련이익",92,NA,NA,NA
"사채상환이익",NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA
"지분법관련이익",NA,0,NA,0
"종속회사관련이익",NA,NA,NA,NA
"법인세수익",NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-511,-277,-417,-1311
"자산의감소(증가)",89,-655,-206,73
"부채의증가(감소)",-600,378,-210,-1383
"정부보조금등의변동",NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA
"*영업에서창출된현금흐름",717,898,1435,1874
"기타영업활동으로인한현금흐름",-134,-27,-172,-283
"이자수입",114,66,88,95
"이자지급(-)",-55,-43,-28,-26
"배당금수입",2,3,2,3
"배당금지급(-)",NA,NA,NA,NA
"법인세환입",NA,NA,NA,NA
"법인세납부(-)",-195,-52,-234,-354
"중단영업관련현금흐름",NA,NA,NA,NA
"투자활동으로인한현금흐름",1009,65,-435,1679
"투자활동으로인한현금유입액",2304,769,1156,3567
"유동금융자산의감소",2229,613,1155,2327
"장기금융상품의감소",0,NA,NA,0
"매도가능금융자산의감소",70,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA
"장기대여금의감소",NA,133,NA,0
"파생상품의변동",NA,NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA,0
"유형자산의감소",NA,23,NA,1
"무형자산의감소",3,NA,NA,NA
"생물자산의감소",NA,NA,NA,NA
"투자부동산의감소",1,NA,1,8
"기타투자활동으로인한현금유입액",NA,NA,NA,1231
"(투자활동으로인한현금유출액)",1294,704,1591,1888
"유동금융자산의증가",927,606,1397,1379
"장기금융상품의증가",48,49,0,NA
"매도가능금융자산의증가",41,NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA,NA
"장기대여금의증가",274,38,176,303
"기타비유동금융자산의증가",NA,NA,NA,NA
"관계기업등지분관련투자자산의증가",NA,NA,NA,27
"유형자산의증가",2,5,7,17
"무형자산의증가",1,5,11,6
"생물자산의증가",NA,NA,NA,NA
"투자부동산의증가",NA,NA,NA,0
"기타투자활동으로인한현금유출액",NA,NA,NA,155
"기타투자활동으로인한현금흐름",NA,NA,NA,NA
"재무활동으로인한현금흐름",0,-941,-990,-776
"재무활동으로인한현금유입액",106,106,141,141
"사채의증가",NA,NA,NA,NA
"차입금의증가",106,106,141,141
"미지급금의증가",NA,NA,NA,NA
"유동성장기부채의증가",NA,NA,NA,NA
"기타금융부채의증가",NA,NA,NA,0
"기타부채의증가",NA,NA,NA,NA
"유상증자",NA,NA,NA,NA
"자기주식의처분",NA,NA,NA,0
"주식매입선택권의행사",NA,NA,NA,NA
"자본구성항목의증가",NA,NA,NA,NA
"기타재무활동으로인한현금유입액",NA,NA,NA,NA
"(재무활동으로인한현금유출액)",106,1046,1093,856
"사채의감소",NA,406,406,128
"차입금의감소",106,640,639,631
"미지급금의감소",NA,NA,NA,NA
"유동성장기부채의감소",0,0,0,1
"기타금융부채의감소",NA,NA,48,95
"기타부채의감소",NA,NA,NA,NA
"유상감자",NA,NA,NA,NA
"자기주식의취득",NA,NA,NA,1
"자본구성항목의감소",NA,NA,NA,NA
"기타재무활동으로인한현금유출액",NA,NA,NA,NA
"기타재무활동으로인한현금흐름",NA,NA,-38,-61
"영업투자재무활동기타현금흐름",NA,NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA,NA
"환율변동효과",NA,0,0,NA
"현금및현금성자산의증가",1592,-5,-162,2494
"기초현금및현금성자산",1714,3307,3302,3140
"기말현금및현금성자산",3307,3302,3140,5634
