"","X2017.12","X2018.12","X2019.12","X2020.12"
"영업수익",178553,174545,186761,201106
"보험료수익",135717,136949,143984,154561
"재보험수익",NA,NA,NA,NA
"재보험금수익",5521,5727,6292,7090
"이자수익",11491,12712,13176,13143
"수수료수익",97,87,101,69
"금융상품관련이익",3075,3002,5556,4312
"배당금수익",1467,1506,1973,2108
"위험회피회계파생상품관련이익",14030,4238,4920,10060
"외환거래이익",1467,4767,5487,4474
"대출채권평가및처분이익",NA,NA,NA,NA
"기타금융자산관련이익",4630,4303,4282,4383
"기타영업수익",1057,1255,991,906
"영업비용",169874,167338,181673,193796
"보험계약부채(책임준비금)전입액",25690,20373,23621,22249
"비상위험준비금전입액",NA,NA,NA,NA
"지급보험금",NA,NA,NA,NA
"보험금비용",49705,56842,62664,67425
"배당금비용",64,63,80,65
"환급금비용",34980,34742,35233,37685
"손해조사비",1189,1284,1445,1446
"재보험비용",NA,NA,NA,NA
"재보험료비용",7838,8061,9044,10250
"사업비",14427,14862,15990,16949
"신계약비상각비",11358,12558,13482,13858
"재산관리비",1032,987,1043,1080
"이자비용",302,426,478,550
"수수료비용",NA,NA,NA,NA
"금융상품관련손실",1031,1873,1745,1593
"위험회피회계파생상품관련손실",3348,8049,9639,7629
"외환거래손실",12864,1649,1765,7535
"대출채권평가및처분손실",181,146,176,121
"기타금융자산관련손실",2228,1774,1827,1982
"기타영업비용",3637,3649,3441,3377
"영업이익",8679,7207,5089,7310
"영업외수익",497,297,383,570
"상각채권추심이익",NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"유가증권처분이익",NA,NA,NA,NA
"유가증권손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련이익",284,134,146,273
"자산처분이익",3,4,113,126
"자산재평가이익",NA,NA,NA,NA
"자산손상차손환입",0,NA,NA,NA
"사채상환이익",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"수입수수료",NA,NA,NA,NA
"임대료",NA,NA,NA,NA
"자산수증이익",NA,NA,NA,NA
"보험차익",NA,NA,NA,NA
"법인세환급액",NA,NA,NA,NA
"전기오류수정이익",NA,NA,NA,NA
"퇴직연금운용이익",NA,NA,NA,NA
"보험수리적이익",NA,NA,NA,NA
"기타영업외수익",210,158,124,172
"영업외비용",283,151,256,370
"기타대손상각비",NA,NA,NA,NA
"유가증권처분손실",NA,NA,NA,NA
"유가증권손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손실",223,NA,97,7
"자산처분손실",2,1,9,1
"자산손상차손",0,0,0,158
"자산재평가손실",NA,NA,NA,NA
"사채상환손실",NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA
"지급수수료",NA,NA,NA,NA
"기부금",43,38,42,70
"법인세추납액",NA,NA,NA,NA
