"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",962,316,124,NA
"매출원가",581,203,170,NA
"매출총이익",381,113,-46,NA
"판매비와관리비",167,204,590,NA
"인건비",48,49,28,NA
"유무형자산상각비",11,9,17,NA
"연구개발비",14,14,4,NA
"광고선전비",6,7,8,NA
"판매비",23,46,503,NA
"관리비",62,76,29,NA
"기타원가성비용",NA,NA,NA,NA
"기타",2,2,2,NA
"영업이익",213,-91,-636,NA
"영업이익(발표기준)",213,-91,-636,NA
"금융수익",22,29,23,NA
"이자수익",22,25,23,NA
"배당금수익",NA,NA,NA,NA
"외환이익",NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA
"금융자산손상차손환입",NA,3,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",NA,0,0,NA
"금융원가",18,26,28,NA
"이자비용",18,26,27,NA
"외환손실",NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA
"기타금융원가",NA,NA,0,NA
"기타수익",14,9,49,NA
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",0,NA,0,NA
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,11,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",47,50,224,NA
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",1,0,NA,NA
"자산평가손실",NA,NA,NA,NA
"자산손상차손",6,25,74,NA
"기타대손상각비",0,0,81,NA
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",184,-129,-816,NA
"법인세비용",44,8,-5,NA
