"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",601,647,756,817
"매출원가",NA,NA,NA,NA
"매출총이익",601,647,756,817
"판매비와관리비",570,617,739,768
"인건비",322,360,383,422
"유무형자산상각비",9,8,17,16
"연구개발비",36,38,58,54
"광고선전비",2,2,2,2
"판매비",10,0,1,0
"관리비",55,64,62,55
"기타원가성비용",28,30,86,76
"기타",107,115,129,142
"영업이익",31,30,17,49
"영업이익(발표기준)",31,30,17,49
"금융수익",3,6,8,5
"이자수익",3,5,7,5
"배당금수익",0,NA,NA,NA
"외환이익",0,1,0,0
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",0,0,NA,NA
"금융자산평가이익",NA,0,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA
"금융원가",1,0,0,1
"이자비용",NA,NA,0,1
"외환손실",1,0,NA,0
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,0,NA,NA
"금융자산평가손실",NA,NA,NA,NA
"금융자산손상차손",0,NA,NA,NA
"파생상품손실",NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA
"기타수익",3,61,0,1
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",NA,61,NA,1
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",2,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA
"기타비용",1,9,1,1
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",NA,0,NA,NA
"자산평가손실",NA,NA,NA,NA
"자산손상차손",0,7,NA,NA
"기타대손상각비",NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,-2,-2
"지분법손익",NA,NA,-2,-2
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",34,88,21,51
"법인세비용",-7,0,1,2
"계속영업이익",42,88,20,49
"중단영업이익",NA,NA,NA,NA
"당기순이익",42,88,20,49
"지배주주순이익",42,87,21,49
"비지배주주순이익",0,1,-1,0
"자산",493,563,594,607
"유동자산",323,458,481,488
"재고자산",2,1,0,0
"유동생물자산",NA,NA,NA,NA
"유동금융자산",183,330,333,345
"매출채권및기타유동채권",47,52,38,48
"당기법인세자산",NA,NA,1,1
"계약자산",NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",2,2,2,4
"현금및현금성자산",89,74,107,91
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA
"비유동자산",171,105,113,119
"유형자산",16,13,14,30
"무형자산",35,33,31,25
"비유동생물자산",NA,NA,NA,NA
"투자부동산",64,NA,NA,NA
"장기금융자산",30,32,34,33
"관계기업등지분관련투자자산",NA,NA,8,6
"장기매출채권및기타비유동채권",NA,NA,NA,NA
"이연법인세자산",25,27,26,25
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",NA,NA,NA,NA
"기타금융업자산",NA,NA,NA,NA
"부채",78,79,110,107
"유동부채",76,77,105,89
"단기사채",NA,NA,NA,NA
"단기차입금",0,0,NA,NA
"유동성장기부채",NA,NA,NA,NA
"유동금융부채",NA,NA,NA,6
"매입채무및기타유동채무",75,71,102,78
"유동종업원급여충당부채",NA,NA,NA,NA
"기타단기충당부채",0,1,1,1
"당기법인세부채",NA,1,NA,1
"계약부채",NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA
"배출부채",NA,NA,NA,NA
"기타유동부채",0,4,3,3
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA
"비유동부채",2,2,5,18
"사채",NA,NA,NA,NA
"장기차입금",NA,NA,NA,NA
"비유동금융부채",NA,NA,3,16
"장기매입채무및기타비유동채무",NA,NA,NA,NA
"비유동종업원급여충당부채",NA,NA,NA,NA
"기타장기충당부채",2,2,2,2
"이연법인세부채",NA,NA,NA,NA
"장기당기법인세부채",NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA
"기타금융업부채",NA,NA,NA,NA
"자본",415,485,484,500
"지배기업주주지분",414,483,483,499
"자본금",55,55,55,55
"신종자본증권",NA,NA,NA,NA
"자본잉여금",300,300,300,300
"기타자본",-41,-51,-59,-79
"기타포괄손익누계액",0,0,0,1
"이익잉여금(결손금)",100,179,187,222
"비지배주주지분",1,2,1,2
"영업활동으로인한현금흐름",74,36,84,39
"당기순손익",42,88,20,49
"법인세비용차감전계속사업이익",NA,NA,NA,NA
"현금유출이없는비용등가산",21,16,23,24
"퇴직급여",NA,NA,NA,NA
"종업원급여",NA,NA,NA,NA
"주식보상비",0,NA,NA,NA
"감가상각비",6,5,11,11
"무형자산상각비",4,3,7,7
"계약부채전입액",NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA
"기타의대손상각비",NA,NA,NA,NA
"배당금지급",NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA
"사채상환손실",NA,NA,NA,NA
"투자자산평가손실",NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA
"지분법관련손실",NA,NA,2,2
"종속기업관련손실",NA,NA,NA,NA
"관계기업관련손익",NA,NA,NA,NA
"(현금유입이없는수익등차감)",10,66,7,6
"금융부채관련이익",NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA
"지분법관련이익",NA,NA,NA,NA
"종속회사관련이익",NA,0,NA,NA
"법인세수익",7,0,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",20,-7,44,-34
"자산의감소(증가)",10,-21,18,-24
"부채의증가(감소)",10,13,25,-10
"정부보조금등의변동",NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA
"*영업에서창출된현금흐름",72,31,79,33
"기타영업활동으로인한현금흐름",2,4,5,5
"이자수입",2,5,7,6
"이자지급(-)",NA,NA,NA,0
"배당금수입",NA,NA,NA,NA
"배당금지급(-)",NA,NA,NA,NA
"법인세환입",0,0,NA,0
"법인세납부(-)",0,-1,-2,0
"중단영업관련현금흐름",NA,NA,NA,NA
"투자활동으로인한현금흐름",-77,-34,-22,-16
"투자활동으로인한현금유입액",177,772,1096,591
"유동금융자산의감소",NA,NA,NA,NA
"장기금융상품의감소",151,633,1094,588
"매도가능금융자산의감소",NA,10,NA,NA
"만기보유금융자산의감소",NA,2,NA,NA
"장기대여금의감소",NA,NA,NA,NA
"파생상품의변동",NA,NA,NA,NA
"기타비유동금융자산의감소",18,NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,0,NA,NA
"유형자산의감소",NA,0,NA,0
"무형자산의감소",NA,0,NA,2
"생물자산의감소",NA,NA,NA,NA
"투자부동산의감소",NA,125,NA,NA
"기타투자활동으로인한현금유입액",8,1,2,1
"(투자활동으로인한현금유출액)",254,806,1118,607
"유동금융자산의증가",NA,NA,NA,NA
"장기금융상품의증가",204,782,1098,598
"매도가능금융자산의증가",NA,NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA,NA
"장기대여금의증가",NA,NA,NA,1
"기타비유동금융자산의증가",15,10,2,0
"관계기업등지분관련투자자산의증가",NA,NA,10,NA
"유형자산의증가",13,3,3,3
"무형자산의증가",11,9,4,3
"생물자산의증가",NA,NA,NA,NA
"투자부동산의증가",NA,NA,NA,NA
"기타투자활동으로인한현금유출액",11,2,1,1
"기타투자활동으로인한현금흐름",NA,NA,NA,NA
"재무활동으로인한현금흐름",7,-17,-28,-39
"재무활동으로인한현금유입액",34,0,1,1
"사채의증가",NA,NA,NA,NA
"차입금의증가",0,0,NA,NA
"미지급금의증가",NA,NA,NA,NA
"유동성장기부채의증가",NA,NA,NA,NA
"기타금융부채의증가",NA,NA,NA,NA
"기타부채의증가",NA,NA,NA,NA
"유상증자",NA,NA,NA,NA
"자기주식의처분",3,NA,1,NA
"주식매입선택권의행사",NA,NA,NA,NA
"자본구성항목의증가",31,NA,NA,NA
"기타재무활동으로인한현금유입액",0,NA,0,1
"(재무활동으로인한현금유출액)",22,10,16,27
"사채의감소",NA,NA,NA,NA
"차입금의감소",NA,NA,0,NA
"미지급금의감소",NA,NA,NA,NA
"유동성장기부채의감소",NA,NA,NA,NA
"기타금융부채의감소",1,NA,6,7
"기타부채의감소",NA,NA,NA,NA
"유상감자",NA,NA,NA,NA
"자기주식의취득",21,10,9,20
"자본구성항목의감소",NA,NA,NA,NA
"기타재무활동으로인한현금유출액",NA,NA,NA,NA
"기타재무활동으로인한현금흐름",-5,-7,-14,-14
"영업투자재무활동기타현금흐름",NA,NA,NA,NA
"연결범위변동으로인한현금의증가",NA,0,NA,NA
"환율변동효과",-1,1,0,0
"현금및현금성자산의증가",4,-15,34,-16
"기초현금및현금성자산",85,89,74,107
"기말현금및현금성자산",89,74,107,91
