"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",8273,8131,8498,8821
"매출원가",7352,7181,7019,7189
"매출총이익",921,950,1479,1631
"판매비와관리비",885,872,961,1020
"인건비",401,413,458,446
"유무형자산상각비",43,49,60,62
"연구개발비",15,17,26,20
"광고선전비",2,6,NA,NA
"판매비",205,156,173,254
"관리비",215,225,199,209
"기타원가성비용",NA,NA,NA,NA
"기타",4,6,45,28
"영업이익",37,78,518,612
"영업이익(발표기준)",37,78,518,612
"금융수익",131,48,18,110
"이자수익",8,10,10,7
"배당금수익",1,3,5,2
"외환이익",NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",27,NA,NA,0
"금융자산평가이익",39,16,3,4
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",55,19,NA,96
"금융원가",80,72,97,99
"이자비용",62,71,80,85
"외환손실",NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",6,NA,NA,0
"금융자산평가손실",2,1,2,5
"금융자산손상차손",1,NA,NA,NA
"파생상품손실",NA,NA,NA,NA
"기타금융원가",8,NA,16,9
"기타수익",120,125,192,178
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",7,1,26,9
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",3,3,1,2
"로열티수익",0,0,0,0
"수수료수익",1,1,2,3
"대손충당금환입",2,2,1,NA
"충당부채환입액",NA,NA,3,NA
"기타비용",193,149,279,316
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,46,2
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",7,4,51,16
"자산평가손실",NA,NA,NA,NA
