"","Price"
"2018-04-24",13550
"2018-04-25",13100
"2018-04-26",13000
"2018-04-27",12900
"2018-04-30",13500
"2018-05-02",14100
"2018-05-03",13700
"2018-05-04",13850
"2018-05-08",13800
"2018-05-09",13650
"2018-05-10",16250
"2018-05-11",15750
"2018-05-14",15650
"2018-05-15",16550
"2018-05-16",14950
"2018-05-17",14600
"2018-05-18",14750
"2018-05-21",14600
"2018-05-23",14600
"2018-05-24",14300
"2018-05-25",13500
"2018-05-28",14400
"2018-05-29",14000
"2018-05-30",13950
"2018-05-31",13950
"2018-06-01",13900
"2018-06-04",13600
"2018-06-05",13550
"2018-06-07",13650
"2018-06-08",13200
"2018-06-11",13600
"2018-06-12",13600
"2018-06-14",12900
"2018-06-15",13100
"2018-06-18",12800
"2018-06-19",12050
"2018-06-20",12550
"2018-06-21",12000
"2018-06-22",11900
"2018-06-25",12350
"2018-06-26",12150
"2018-06-27",12150
"2018-06-28",11900
"2018-06-29",11950
"2018-07-02",11650
"2018-07-03",11850
"2018-07-04",11950
"2018-07-05",11750
"2018-07-06",12000
"2018-07-09",12300
"2018-07-10",12150
"2018-07-11",12100
"2018-07-12",12300
"2018-07-13",12350
"2018-07-16",12000
"2018-07-17",12000
"2018-07-18",11950
"2018-07-19",11900
"2018-07-20",11700
"2018-07-23",11400
"2018-07-24",11450
"2018-07-25",11800
"2018-07-26",12050
"2018-07-27",12150
"2018-07-30",12150
"2018-07-31",12200
"2018-08-01",12200
"2018-08-02",12100
"2018-08-03",12400
"2018-08-06",12200
"2018-08-07",12250
"2018-08-08",12300
"2018-08-09",12150
"2018-08-10",12300
"2018-08-13",11750
"2018-08-14",12050
"2018-08-16",11900
"2018-08-17",11950
"2018-08-20",12350
"2018-08-21",12400
"2018-08-22",12500
"2018-08-23",12400
"2018-08-24",12250
"2018-08-27",12100
"2018-08-28",12250
"2018-08-29",12400
"2018-08-30",12250
"2018-08-31",12000
"2018-09-03",12050
"2018-09-04",11950
"2018-09-05",12100
"2018-09-06",12000
"2018-09-07",12150
"2018-09-10",12300
"2018-09-11",12050
"2018-09-12",11950
"2018-09-13",12300
"2018-09-14",12300
"2018-09-17",12400
"2018-09-18",12200
"2018-09-19",12550
"2018-09-20",12150
"2018-09-21",12500
"2018-09-27",12550
"2018-09-28",13200
"2018-10-01",13500
"2018-10-02",13500
"2018-10-04",14000
"2018-10-05",13750
"2018-10-08",13550
"2018-10-10",13500
"2018-10-11",12500
"2018-10-12",12700
"2018-10-15",13000
"2018-10-16",13150
"2018-10-17",13150
"2018-10-18",13250
"2018-10-19",12950
"2018-10-22",12600
"2018-10-23",12300
"2018-10-24",12200
"2018-10-25",12050
"2018-10-26",11750
"2018-10-29",11400
"2018-10-30",11500
"2018-10-31",11500
"2018-11-01",11550
"2018-11-02",11750
"2018-11-05",11550
"2018-11-06",12000
"2018-11-07",12100
"2018-11-08",12100
"2018-11-09",11950
"2018-11-12",12400
"2018-11-13",12500
"2018-11-14",12350
"2018-11-15",12000
"2018-11-16",12450
"2018-11-19",12300
"2018-11-20",12250
"2018-11-21",12100
"2018-11-22",12050
"2018-11-23",11500
"2018-11-26",11500
"2018-11-27",11550
"2018-11-28",11900
"2018-11-29",11800
"2018-11-30",12000
"2018-12-03",11950
"2018-12-04",12100
"2018-12-05",11900
"2018-12-06",11900
"2018-12-07",11900
"2018-12-10",12050
"2018-12-11",11900
"2018-12-12",12100
"2018-12-13",12450
"2018-12-14",12800
"2018-12-17",12750
"2018-12-18",12850
"2018-12-19",12850
"2018-12-20",12500
"2018-12-21",12300
"2018-12-24",12300
"2018-12-26",12000
"2018-12-27",12050
"2018-12-28",12050
"2019-01-02",12000
"2019-01-03",12200
"2019-01-04",12450
"2019-01-07",12400
"2019-01-08",12200
"2019-01-09",12350
"2019-01-10",13150
"2019-01-11",12750
"2019-01-14",12650
"2019-01-15",12850
"2019-01-16",12900
"2019-01-17",12850
"2019-01-18",12750
"2019-01-21",12950
"2019-01-22",12800
"2019-01-23",12550
"2019-01-24",12700
"2019-01-25",13150
"2019-01-28",13600
"2019-01-29",13600
"2019-01-30",13600
"2019-01-31",13800
"2019-02-01",13550
"2019-02-07",13550
"2019-02-08",13750
"2019-02-11",13700
"2019-02-12",13900
"2019-02-13",13950
"2019-02-14",13600
"2019-02-15",13450
"2019-02-18",13500
"2019-02-19",13500
"2019-02-20",13250
"2019-02-21",13500
