"","Price"
"2018-04-24",1895
"2018-04-25",1775
"2018-04-26",1795
"2018-04-27",1770
"2018-04-30",1695
"2018-05-02",1665
"2018-05-03",1740
"2018-05-04",1720
"2018-05-08",1610
"2018-05-09",1645
"2018-05-10",1675
"2018-05-11",1700
"2018-05-14",1665
"2018-05-15",1680
"2018-05-16",1615
"2018-05-17",1605
"2018-05-18",1615
"2018-05-21",1620
"2018-05-23",1570
"2018-05-24",1525
"2018-05-25",1530
"2018-05-28",1595
"2018-05-29",1585
"2018-05-30",1630
"2018-05-31",1635
"2018-06-01",1675
"2018-06-04",1920
"2018-06-05",1915
"2018-06-07",1705
"2018-06-08",1855
"2018-06-11",1735
"2018-06-12",1630
"2018-06-14",1575
"2018-06-15",1565
"2018-06-18",1515
"2018-06-19",1455
"2018-06-20",1450
"2018-06-21",1420
"2018-06-22",1475
"2018-06-25",1440
"2018-06-26",1420
"2018-06-27",1370
"2018-06-28",1300
"2018-06-29",1310
"2018-07-02",1240
"2018-07-03",1325
"2018-07-04",1330
"2018-07-05",1315
"2018-07-06",1335
"2018-07-09",1355
"2018-07-10",1365
"2018-07-11",1345
"2018-07-12",1330
"2018-07-13",1330
"2018-07-16",1335
"2018-07-17",1415
"2018-07-18",1370
"2018-07-19",1295
"2018-07-20",1300
"2018-07-23",1245
"2018-07-24",1255
"2018-07-25",1300
"2018-07-26",1330
"2018-07-27",1335
"2018-07-30",1335
"2018-07-31",1365
"2018-08-01",1345
"2018-08-02",1355
"2018-08-03",1330
"2018-08-06",1345
"2018-08-07",1345
"2018-08-08",1330
"2018-08-09",1330
"2018-08-10",1330
"2018-08-13",1315
"2018-08-14",1295
"2018-08-16",1305
"2018-08-17",1310
"2018-08-20",1310
"2018-08-21",1320
"2018-08-22",1355
"2018-08-23",1345
"2018-08-24",1350
"2018-08-27",1370
"2018-08-28",1375
"2018-08-29",1380
"2018-08-30",1355
"2018-08-31",1375
"2018-09-03",1370
"2018-09-04",1415
"2018-09-05",1390
