"","Price"
"2018-04-24",1825
"2018-04-25",1820
"2018-04-26",1820
"2018-04-27",1820
"2018-04-30",1810
"2018-05-02",1810
"2018-05-03",1830
"2018-05-04",1850
"2018-05-08",1870
"2018-05-09",1855
"2018-05-10",1865
"2018-05-11",1905
"2018-05-14",1920
"2018-05-15",1905
"2018-05-16",1850
"2018-05-17",1855
"2018-05-18",1900
"2018-05-21",1900
"2018-05-23",1855
"2018-05-24",1875
"2018-05-25",1820
"2018-05-28",1820
"2018-05-29",1850
"2018-05-30",1840
"2018-05-31",1845
"2018-06-01",1855
"2018-06-04",1880
"2018-06-05",1875
"2018-06-07",1860
"2018-06-08",1885
"2018-06-11",1860
"2018-06-12",1810
"2018-06-14",1800
"2018-06-15",1765
"2018-06-18",1720
"2018-06-19",1695
"2018-06-20",1715
"2018-06-21",1725
"2018-06-22",1690
"2018-06-25",1730
"2018-06-26",1710
"2018-06-27",2010
"2018-06-28",2040
"2018-06-29",2055
"2018-07-02",1825
"2018-07-03",1735
"2018-07-04",1695
"2018-07-05",1640
"2018-07-06",1615
"2018-07-09",1670
"2018-07-10",1825
"2018-07-11",1850
"2018-07-12",1850
"2018-07-13",1880
"2018-07-16",1830
"2018-07-17",1760
"2018-07-18",1770
"2018-07-19",1680
"2018-07-20",1685
"2018-07-23",1670
"2018-07-24",1640
"2018-07-25",1630
"2018-07-26",1650
"2018-07-27",1670
"2018-07-30",1655
"2018-07-31",1660
"2018-08-01",1670
"2018-08-02",1695
"2018-08-03",1670
"2018-08-06",1715
"2018-08-07",1740
"2018-08-08",1720
"2018-08-09",1710
"2018-08-10",1705
"2018-08-13",1625
"2018-08-14",1670
"2018-08-16",1655
"2018-08-17",1635
"2018-08-20",1640
"2018-08-21",1635
"2018-08-22",1650
"2018-08-23",1635
"2018-08-24",1650
"2018-08-27",1620
"2018-08-28",1640
"2018-08-29",1640
"2018-08-30",1625
"2018-08-31",1690
"2018-09-03",1700
"2018-09-04",1690
"2018-09-05",1690
"2018-09-06",1710
"2018-09-07",1670
"2018-09-10",1655
"2018-09-11",1655
"2018-09-12",1680
"2018-09-13",1665
"2018-09-14",1660
"2018-09-17",1670
"2018-09-18",1655
"2018-09-19",1605
"2018-09-20",1585
"2018-09-21",1590
"2018-09-27",1595
"2018-09-28",1600
"2018-10-01",1590
"2018-10-02",1570
"2018-10-04",1505
"2018-10-05",1515
"2018-10-08",1490
"2018-10-10",1400
"2018-10-11",1245
"2018-10-12",1270
"2018-10-15",1290
"2018-10-16",1340
"2018-10-17",1360
"2018-10-18",1325
"2018-10-19",1330
"2018-10-22",1330
"2018-10-23",1330
"2018-10-24",1295
"2018-10-25",1210
"2018-10-26",1210
"2018-10-29",980
"2018-10-30",854
"2018-10-31",907
"2018-11-01",917
"2018-11-02",1190
"2018-11-05",1220
"2018-11-06",1220
"2018-11-07",1175
"2018-11-08",1225
"2018-11-09",1265
"2018-11-12",1285
"2018-11-13",1260
"2018-11-14",1290
"2018-11-15",1220
"2018-11-16",1180
"2018-11-19",1210
"2018-11-20",1155
"2018-11-21",1155
"2018-11-22",1070
"2018-11-23",1045
"2018-11-26",1355
"2018-11-27",1305
"2018-11-28",1300
"2018-11-29",1250
"2018-11-30",1230
"2018-12-03",1215
"2018-12-04",1260
"2018-12-05",1200
"2018-12-06",1250
"2018-12-07",1345
"2018-12-10",1335
"2018-12-11",1390
"2018-12-12",1470
"2018-12-13",1455
"2018-12-14",1390
"2018-12-17",1550
"2018-12-18",1480
"2018-12-19",1385
"2018-12-20",1380
"2018-12-21",1355
"2018-12-24",1295
"2018-12-26",1205
"2018-12-27",1250
"2018-12-28",1295
"2019-01-02",1335
"2019-01-03",1335
"2019-01-04",1365
"2019-01-07",1355
"2019-01-08",1300
"2019-01-09",1350
"2019-01-10",1360
"2019-01-11",1370
"2019-01-14",1315
"2019-01-15",1320
"2019-01-16",1335
"2019-01-17",1365
"2019-01-18",1445
"2019-01-21",1660
"2019-01-22",1565
"2019-01-23",1550
"2019-01-24",1500
"2019-01-25",1500
"2019-01-28",1515
"2019-01-29",1580
"2019-01-30",1515
"2019-01-31",1495
"2019-02-01",1495
"2019-02-07",1490
"2019-02-08",1480
"2019-02-11",1460
"2019-02-12",1490
"2019-02-13",1525
"2019-02-14",1520
"2019-02-15",1500
"2019-02-18",1495
"2019-02-19",1480
"2019-02-20",1480
"2019-02-21",1475
"2019-02-22",1460
"2019-02-25",1475
"2019-02-26",1490
"2019-02-27",1525
"2019-02-28",1470
"2019-03-04",1480
"2019-03-05",1485
"2019-03-06",1480
"2019-03-07",1470
"2019-03-08",1435
"2019-03-11",1350
"2019-03-12",1370
"2019-03-13",1365
"2019-03-14",1385
"2019-03-15",1365
"2019-03-18",1370
"2019-03-19",1365
"2019-03-20",1360
"2019-03-21",1320
"2019-03-22",1280
"2019-03-25",1260
"2019-03-26",1280
"2019-03-27",1280
"2019-03-28",1285
"2019-03-29",1260
"2019-04-01",1255
"2019-04-02",1260
"2019-04-03",1270
"2019-04-04",1285
"2019-04-05",1300
"2019-04-08",1355
"2019-04-09",1350
"2019-04-10",1355
"2019-04-11",1375
"2019-04-12",1390
"2019-04-15",1470
"2019-04-16",1480
"2019-04-17",1460
"2019-04-18",1490
"2019-04-19",1615
"2019-04-22",1690
"2019-04-23",1570
"2019-04-24",1580
"2019-04-25",1535
"2019-04-26",1515
"2019-04-29",1520
"2019-04-30",1535
"2019-05-02",1540
"2019-05-03",1515
"2019-05-07",1465
"2019-05-08",1495
"2019-05-09",1460
"2019-05-10",1470
"2019-05-13",1515
"2019-05-14",1545
"2019-05-15",1600
"2019-05-16",1510
"2019-05-17",1490
"2019-05-20",1460
"2019-05-21",1485
"2019-05-22",1490
"2019-05-23",1450
"2019-05-24",1400
"2019-05-27",1475
"2019-05-28",1490
"2019-05-29",1455
"2019-05-30",1490
"2019-05-31",1500
"2019-06-03",1490
"2019-06-04",1520
"2019-06-05",1540
"2019-06-07",1525
"2019-06-10",1620
"2019-06-11",1610
"2019-06-12",1595
"2019-06-13",1615
"2019-06-14",1595
"2019-06-17",1635
"2019-06-18",1585
"2019-06-19",1625
"2019-06-20",1615
"2019-06-21",1655
"2019-06-24",1665
"2019-06-25",1580
"2019-06-26",1585
"2019-06-27",1700
"2019-06-28",1665
"2019-07-01",1590
"2019-07-02",1540
"2019-07-03",1520
"2019-07-04",1520
"2019-07-05",1575
"2019-07-08",1485
"2019-07-09",1420
"2019-07-10",1435
"2019-07-11",1480
"2019-07-12",1490
"2019-07-15",1475
"2019-07-16",1450
"2019-07-17",1410
"2019-07-18",1435
"2019-07-19",1595
"2019-07-22",1635
"2019-07-23",1600
"2019-07-24",1620
"2019-07-25",1530
"2019-07-26",1475
"2019-07-29",1320
"2019-07-30",1420
"2019-07-31",1400
"2019-08-01",1345
"2019-08-02",1310
"2019-08-05",1250
"2019-08-06",1255
"2019-08-07",1275
"2019-08-08",1320
"2019-08-09",1320
"2019-08-12",1345
"2019-08-13",1350
"2019-08-14",1370
"2019-08-16",1390
"2019-08-19",1450
"2019-08-20",1515
"2019-08-21",1515
"2019-08-22",1480
"2019-08-23",1480
"2019-08-26",1445
"2019-08-27",1450
"2019-08-28",1540
"2019-08-29",1510
"2019-08-30",1540
"2019-09-02",1565
"2019-09-03",1565
"2019-09-04",1570
"2019-09-05",1565
"2019-09-06",1550
"2019-09-09",1570
"2019-09-10",1600
"2019-09-11",1620
"2019-09-16",1635
"2019-09-17",1635
"2019-09-18",1600
"2019-09-19",1630
"2019-09-20",1745
"2019-09-23",1755
"2019-09-24",1710
"2019-09-25",1740
"2019-09-26",1725
"2019-09-27",1665
"2019-09-30",1600
"2019-10-01",1630
"2019-10-02",1630
"2019-10-04",1615
"2019-10-07",1635
"2019-10-08",1615
"2019-10-10",1595
"2019-10-11",1605
"2019-10-14",1615
"2019-10-15",1620
"2019-10-16",1625
"2019-10-17",1635
"2019-10-18",1660
"2019-10-21",1675
"2019-10-22",1680
"2019-10-23",1680
"2019-10-24",1650
"2019-10-25",1655
"2019-10-28",1670
"2019-10-29",1675
"2019-10-30",1680
"2019-10-31",1670
"2019-11-01",1680
"2019-11-04",1665
"2019-11-05",1695
"2019-11-06",1780
"2019-11-07",1770
"2019-11-08",1785
"2019-11-11",1805
"2019-11-12",1840
"2019-11-13",1815
"2019-11-14",1670
"2019-11-15",1610
"2019-11-18",1620
"2019-11-19",1595
"2019-11-20",1560
"2019-11-21",1565
"2019-11-22",1560
"2019-11-25",1560
"2019-11-26",1585
"2019-11-27",1570
"2019-11-28",1560
"2019-11-29",1545
"2019-12-02",1515
"2019-12-03",1485
"2019-12-04",1440
"2019-12-05",1420
"2019-12-06",1445
"2019-12-09",1435
"2019-12-10",1425
"2019-12-11",1425
"2019-12-12",1420
"2019-12-13",1440
"2019-12-16",1475
"2019-12-17",1480
"2019-12-18",1455
"2019-12-19",1470
"2019-12-20",1475
"2019-12-23",1460
"2019-12-24",1460
"2019-12-26",1455
