"","Price"
"2020-12-22",32500
"2020-12-23",26350
"2020-12-24",26800
"2020-12-28",24050
"2020-12-29",31250
"2020-12-30",34250
"2021-01-04",34200
"2021-01-05",35500
"2021-01-06",35300
"2021-01-07",36300
"2021-01-08",32800
"2021-01-11",28050
"2021-01-12",27100
"2021-01-13",27800
"2021-01-14",28600
"2021-01-15",29000
"2021-01-18",28950
"2021-01-19",27700
"2021-01-20",27050
"2021-01-21",26050
"2021-01-22",25200
"2021-01-25",24900
"2021-01-26",25550
"2021-01-27",24650
"2021-01-28",22950
"2021-01-29",21700
"2021-02-01",21350
"2021-02-02",21700
"2021-02-03",22700
"2021-02-04",21200
"2021-02-05",20900
"2021-02-08",19800
"2021-02-09",19850
"2021-02-10",20600
"2021-02-15",21000
"2021-02-16",20100
"2021-02-17",20000
"2021-02-18",19400
"2021-02-19",18750
"2021-02-22",18800
"2021-02-23",17900
"2021-02-24",18900
"2021-02-25",18300
"2021-02-26",17400
"2021-03-02",16750
"2021-03-03",16500
"2021-03-04",16850
"2021-03-05",16100
"2021-03-08",16200
"2021-03-09",15350
"2021-03-10",14550
"2021-03-11",15050
"2021-03-12",15900
"2021-03-15",17000
"2021-03-16",16250
"2021-03-17",16200
"2021-03-18",16350
"2021-03-19",16000
"2021-03-22",16500
"2021-03-23",16000
"2021-03-24",16150
"2021-03-25",16400
"2021-03-26",16150
"2021-03-29",15250
"2021-03-30",15250
"2021-03-31",15100
"2021-04-01",15300
"2021-04-02",15100
"2021-04-05",15550
"2021-04-06",15250
"2021-04-07",15250
"2021-04-08",15700
"2021-04-09",15850
"2021-04-12",16850
"2021-04-13",16700
"2021-04-14",17300
"2021-04-15",16900
"2021-04-16",16950
"2021-04-19",17150
"2021-04-20",17050
"2021-04-21",21900
"2021-04-22",20050
"2021-04-23",19900
