"","Price"
"2018-04-24",74200
"2018-04-25",75300
"2018-04-26",75300
"2018-04-27",74500
"2018-04-30",74500
"2018-05-02",78800
"2018-05-03",78800
"2018-05-04",76900
"2018-05-08",75800
"2018-05-09",73600
"2018-05-10",77200
"2018-05-11",78600
"2018-05-14",78400
"2018-05-15",76200
"2018-05-16",78400
"2018-05-17",77700
"2018-05-18",79000
"2018-05-21",78500
"2018-05-23",76900
"2018-05-24",78000
"2018-05-25",79400
"2018-05-28",78600
"2018-05-29",78200
"2018-05-30",78100
"2018-05-31",78700
"2018-06-01",78700
"2018-06-04",77200
"2018-06-05",77600
"2018-06-07",77800
"2018-06-08",79400
"2018-06-11",79900
"2018-06-12",79800
"2018-06-14",74800
"2018-06-15",75100
"2018-06-18",74800
"2018-06-19",73300
"2018-06-20",75500
"2018-06-21",76700
"2018-06-22",76000
"2018-06-25",75400
"2018-06-26",76800
"2018-06-27",77900
"2018-06-28",78300
"2018-06-29",78800
"2018-07-02",78600
"2018-07-03",78300
"2018-07-04",79300
"2018-07-05",78500
"2018-07-06",78700
"2018-07-09",78300
"2018-07-10",78600
"2018-07-11",78000
"2018-07-12",74300
"2018-07-13",76200
"2018-07-16",77400
"2018-07-17",77400
"2018-07-18",77900
"2018-07-19",78300
"2018-07-20",78300
"2018-07-23",77800
"2018-07-24",79800
"2018-07-25",79800
"2018-07-26",80400
"2018-07-27",80700
"2018-07-30",77600
"2018-07-31",77100
"2018-08-01",78000
"2018-08-02",76700
"2018-08-03",77300
"2018-08-06",79000
"2018-08-07",77700
"2018-08-08",77100
"2018-08-09",77800
"2018-08-10",78800
"2018-08-13",75800
"2018-08-14",72900
"2018-08-16",73000
"2018-08-17",73100
"2018-08-20",72500
"2018-08-21",72400
"2018-08-22",70400
"2018-08-23",71600
"2018-08-24",71100
"2018-08-27",71800
"2018-08-28",73100
"2018-08-29",71600
"2018-08-30",71300
"2018-08-31",71600
"2018-09-03",71000
"2018-09-04",71200
"2018-09-05",70800
"2018-09-06",71100
"2018-09-07",69600
"2018-09-10",67600
"2018-09-11",68500
"2018-09-12",68600
"2018-09-13",69100
"2018-09-14",70600
"2018-09-17",69600
"2018-09-18",69000
"2018-09-19",68600
"2018-09-20",69200
"2018-09-21",68300
"2018-09-27",66800
"2018-09-28",66700
"2018-10-01",65800
"2018-10-02",64500
"2018-10-04",64800
"2018-10-05",64800
"2018-10-08",65500
"2018-10-10",64300
"2018-10-11",61500
"2018-10-12",60300
"2018-10-15",61200
"2018-10-16",60900
"2018-10-17",61100
"2018-10-18",60300
"2018-10-19",62300
"2018-10-22",61500
"2018-10-23",59300
"2018-10-24",59800
"2018-10-25",59800
"2018-10-26",59300
"2018-10-29",57800
"2018-10-30",56900
"2018-10-31",56100
"2018-11-01",56900
"2018-11-02",57400
"2018-11-05",56900
"2018-11-06",56800
"2018-11-07",54100
"2018-11-08",57100
"2018-11-09",55000
"2018-11-12",55600
"2018-11-13",53200
"2018-11-14",52200
"2018-11-15",52300
"2018-11-16",53300
"2018-11-19",53200
"2018-11-20",53400
"2018-11-21",53500
"2018-11-22",52900
"2018-11-23",53300
"2018-11-26",53700
"2018-11-27",52700
"2018-11-28",51900
"2018-11-29",53200
"2018-11-30",52400
"2018-12-03",52400
"2018-12-04",51900
"2018-12-05",51400
"2018-12-06",50300
"2018-12-07",50200
"2018-12-10",49400
"2018-12-11",48350
"2018-12-12",48450
"2018-12-13",48550
"2018-12-14",49150
"2018-12-17",47750
"2018-12-18",47100
"2018-12-19",47200
"2018-12-20",48400
"2018-12-21",48400
"2018-12-24",48550
"2018-12-26",48250
"2018-12-27",46650
"2018-12-28",46650
"2019-01-02",46300
"2019-01-03",45250
"2019-01-04",45300
"2019-01-07",45800
"2019-01-08",45900
"2019-01-09",47000
"2019-01-10",47450
"2019-01-11",51100
"2019-01-14",49950
"2019-01-15",50000
"2019-01-16",50500
"2019-01-17",50800
"2019-01-18",51100
"2019-01-21",51300
"2019-01-22",50000
"2019-01-23",49200
"2019-01-24",49200
"2019-01-25",49500
"2019-01-28",51700
"2019-01-29",51600
"2019-01-30",51700
"2019-01-31",50600
"2019-02-01",51200
"2019-02-07",50900
"2019-02-08",51300
"2019-02-11",50300
"2019-02-12",50500
"2019-02-13",48150
"2019-02-14",47000
"2019-02-15",47200
"2019-02-18",47800
"2019-02-19",49250
"2019-02-20",49150
"2019-02-21",49300
"2019-02-22",50600
"2019-02-25",50200
"2019-02-26",49700
"2019-02-27",49200
"2019-02-28",48950
"2019-03-04",50200
"2019-03-05",50200
"2019-03-06",52900
"2019-03-07",52000
"2019-03-08",51100
"2019-03-11",55600
"2019-03-12",55000
"2019-03-13",56200
"2019-03-14",54900
"2019-03-15",57600
"2019-03-18",56900
"2019-03-19",56000
"2019-03-20",56200
"2019-03-21",54400
"2019-03-22",53600
"2019-03-25",51800
"2019-03-26",52000
"2019-03-27",51700
"2019-03-28",50400
"2019-03-29",51200
"2019-04-01",51400
"2019-04-02",51600
"2019-04-03",51300
"2019-04-04",52600
"2019-04-05",51800
"2019-04-08",51500
"2019-04-09",50400
"2019-04-10",50700
"2019-04-11",50600
"2019-04-12",50300
"2019-04-15",50600
"2019-04-16",50800
"2019-04-17",50300
