"","Price"
"2018-12-21",10550
"2018-12-24",12650
"2018-12-26",11250
"2018-12-27",10850
"2018-12-28",14100
"2019-01-02",16950
"2019-01-03",15650
"2019-01-04",15800
"2019-01-07",14850
"2019-01-08",15550
"2019-01-09",16100
"2019-01-10",14850
"2019-01-11",14300
"2019-01-14",13350
"2019-01-15",13450
"2019-01-16",12800
"2019-01-17",12950
"2019-01-18",12300
"2019-01-21",12250
"2019-01-22",12600
"2019-01-23",12250
"2019-01-24",12950
"2019-01-25",13150
"2019-01-28",13300
"2019-01-29",13300
"2019-01-30",13200
"2019-01-31",13300
"2019-02-01",13350
"2019-02-07",14400
"2019-02-08",14150
"2019-02-11",13450
"2019-02-12",13800
"2019-02-13",13500
"2019-02-14",14000
"2019-02-15",13900
"2019-02-18",13800
"2019-02-19",13550
"2019-02-20",13750
"2019-02-21",12550
"2019-02-22",12500
"2019-02-25",12550
"2019-02-26",12100
"2019-02-27",12000
"2019-02-28",11350
"2019-03-04",11700
"2019-03-05",11700
"2019-03-06",11650
"2019-03-07",11400
"2019-03-08",11300
"2019-03-11",11250
"2019-03-12",11450
"2019-03-13",11450
"2019-03-14",12100
"2019-03-15",11900
"2019-03-18",12750
"2019-03-19",12750
"2019-03-20",12450
"2019-03-21",12250
"2019-03-22",12350
"2019-03-25",11750
"2019-03-26",11450
"2019-03-27",11050
"2019-03-28",10800
"2019-03-29",10850
"2019-04-01",10900
"2019-04-02",10900
"2019-04-03",11100
"2019-04-04",11300
"2019-04-05",11300
"2019-04-08",11250
"2019-04-09",12150
"2019-04-10",12350
"2019-04-11",12400
"2019-04-12",12250
"2019-04-15",12300
"2019-04-16",12050
"2019-04-17",12050
"2019-04-18",12600
"2019-04-19",13150
"2019-04-22",12500
"2019-04-23",12100
"2019-04-24",12050
"2019-04-25",11950
"2019-04-26",11250
"2019-04-29",11950
"2019-04-30",12250
"2019-05-02",12200
"2019-05-03",12550
"2019-05-07",12550
"2019-05-08",12050
"2019-05-09",10750
"2019-05-10",10800
"2019-05-13",10650
"2019-05-14",10550
"2019-05-15",10750
"2019-05-16",10850
"2019-05-17",10850
"2019-05-20",10850
"2019-05-21",10550
"2019-05-22",10650
"2019-05-23",10350
"2019-05-24",10350
"2019-05-27",10600
"2019-05-28",10600
"2019-05-29",10600
"2019-05-30",10800
"2019-05-31",10550
"2019-06-03",10450
"2019-06-04",10550
"2019-06-05",10750
"2019-06-07",10950
"2019-06-10",11200
"2019-06-11",11150
"2019-06-12",10900
"2019-06-13",11050
"2019-06-14",10700
"2019-06-17",10500
"2019-06-18",10650
"2019-06-19",11000
"2019-06-20",11000
"2019-06-21",10800
"2019-06-24",10700
"2019-06-25",10700
"2019-06-26",10700
"2019-06-27",10550
"2019-06-28",9990
"2019-07-01",10000
"2019-07-02",9750
"2019-07-03",9680
"2019-07-04",9650
"2019-07-05",9360
"2019-07-08",7920
"2019-07-09",7650
"2019-07-10",7950
"2019-07-11",8340
"2019-07-12",8330
"2019-07-15",8170
"2019-07-16",8370
"2019-07-17",8060
"2019-07-18",8150
"2019-07-19",8860
"2019-07-22",9210
"2019-07-23",9350
"2019-07-24",9070
"2019-07-25",8950
"2019-07-26",8870
"2019-07-29",8160
"2019-07-30",8390
"2019-07-31",8460
"2019-08-01",8460
"2019-08-02",8320
"2019-08-05",7390
"2019-08-06",6740
"2019-08-07",6940
"2019-08-08",7410
"2019-08-09",7510
"2019-08-12",7630
"2019-08-13",7600
"2019-08-14",8080
"2019-08-16",7930
"2019-08-19",7900
"2019-08-20",8120
"2019-08-21",8180
"2019-08-22",7960
"2019-08-23",7860
"2019-08-26",7220
"2019-08-27",7210
"2019-08-28",7380
"2019-08-29",7290
"2019-08-30",7690
"2019-09-02",7870
"2019-09-03",7880
"2019-09-04",8150
"2019-09-05",8200
"2019-09-06",10650
"2019-09-09",9960
"2019-09-10",10150
"2019-09-11",10200
"2019-09-16",9980
"2019-09-17",9600
"2019-09-18",9660
"2019-09-19",9890
"2019-09-20",10000
"2019-09-23",10000
"2019-09-24",10250
"2019-09-25",10450
"2019-09-26",10500
"2019-09-27",10250
"2019-09-30",10050
"2019-10-01",10100
"2019-10-02",9950
"2019-10-04",9820
"2019-10-07",9370
"2019-10-08",10000
"2019-10-10",10250
"2019-10-11",10300
"2019-10-14",10150
"2019-10-15",10300
"2019-10-16",10350
"2019-10-17",10700
"2019-10-18",10250
"2019-10-21",10150
"2019-10-22",11950
"2019-10-23",11900
"2019-10-24",12800
"2019-10-25",13050
"2019-10-28",12800
"2019-10-29",13650
"2019-10-30",12700
"2019-10-31",12350
"2019-11-01",13000
"2019-11-04",13750
"2019-11-05",13750
"2019-11-06",13450
"2019-11-07",13900
"2019-11-08",13900
"2019-11-11",13350
"2019-11-12",14000
"2019-11-13",13250
"2019-11-14",13650
"2019-11-15",13900
"2019-11-18",14950
"2019-11-19",16050
"2019-11-20",15100
"2019-11-21",14500
"2019-11-22",15400
"2019-11-25",15050
"2019-11-26",12950
"2019-11-27",12600
"2019-11-28",12400
"2019-11-29",12400
"2019-12-02",12100
"2019-12-03",12700
"2019-12-04",13050
"2019-12-05",12650
"2019-12-06",12800
"2019-12-09",12950
"2019-12-10",12900
"2019-12-11",12850
"2019-12-12",12900
"2019-12-13",12700
"2019-12-16",12850
"2019-12-17",12700
"2019-12-18",12400
"2019-12-19",12350
"2019-12-20",12400
"2019-12-23",11950
"2019-12-24",11950
"2019-12-26",12650
"2019-12-27",13300
"2019-12-30",13800
"2020-01-02",13950
"2020-01-03",14000
"2020-01-06",13800
"2020-01-07",13750
"2020-01-08",12950
"2020-01-09",13650
"2020-01-10",13550
"2020-01-13",13450
"2020-01-14",13450
"2020-01-15",13350
"2020-01-16",13500
"2020-01-17",14050
"2020-01-20",13600
"2020-01-21",13750
"2020-01-22",13950
"2020-01-23",14350
"2020-01-28",13900
"2020-01-29",14000
"2020-01-30",13250
"2020-01-31",12300
"2020-02-03",12300
"2020-02-04",12550
"2020-02-05",12300
"2020-02-06",12700
"2020-02-07",12700
"2020-02-10",12900
"2020-02-11",12800
"2020-02-12",12500
"2020-02-13",12550
"2020-02-14",13400
"2020-02-17",14000
"2020-02-18",13650
"2020-02-19",14150
"2020-02-20",14300
"2020-02-21",13750
"2020-02-24",12550
"2020-02-25",12900
"2020-02-26",12600
"2020-02-27",11800
"2020-02-28",10850
"2020-03-02",11250
"2020-03-03",11300
"2020-03-04",11850
"2020-03-05",12050
"2020-03-06",11550
"2020-03-09",10800
"2020-03-10",11050
"2020-03-11",10250
"2020-03-12",9590
"2020-03-13",8730
"2020-03-16",7870
"2020-03-17",7800
"2020-03-18",7040
"2020-03-19",5740
"2020-03-20",6520
"2020-03-23",6120
"2020-03-24",6870
"2020-03-25",7220
"2020-03-26",7120
"2020-03-27",6990
"2020-03-30",6920
"2020-03-31",7000
"2020-04-01",7060
"2020-04-02",7290
"2020-04-03",7410
"2020-04-06",8050
"2020-04-07",8330
"2020-04-08",8600
"2020-04-09",8640
"2020-04-10",9210
"2020-04-13",8860
"2020-04-14",8970
"2020-04-16",9090
"2020-04-17",9260
"2020-04-20",9340
"2020-04-21",9060
"2020-04-22",9000
"2020-04-23",9150
"2020-04-24",9010
"2020-04-27",9150
"2020-04-28",9210
"2020-04-29",9290
"2020-05-04",9020
"2020-05-06",9300
"2020-05-07",9700
"2020-05-08",10100
"2020-05-11",10600
"2020-05-12",10150
"2020-05-13",10700
"2020-05-14",10700
"2020-05-15",10600
"2020-05-18",10450
"2020-05-19",10900
"2020-05-20",11000
"2020-05-21",11150
"2020-05-22",11100
"2020-05-25",11000
"2020-05-26",10900
"2020-05-27",10750
"2020-05-28",10300
"2020-05-29",10000
"2020-06-01",10500
"2020-06-02",11050
"2020-06-03",10850
"2020-06-04",11700
"2020-06-05",11550
"2020-06-08",11700
"2020-06-09",11500
"2020-06-10",11400
