"","Price"
"2018-04-24",27550
"2018-04-25",27650
"2018-04-26",27950
"2018-04-27",27950
"2018-04-30",28350
"2018-05-02",27800
"2018-05-03",27600
"2018-05-04",26900
"2018-05-08",26000
"2018-05-09",26350
"2018-05-10",26550
"2018-05-11",27050
"2018-05-14",27300
"2018-05-15",27250
"2018-05-16",27200
"2018-05-17",26550
"2018-05-18",26400
"2018-05-21",27050
"2018-05-23",26650
"2018-05-24",26800
"2018-05-25",26400
"2018-05-28",26000
"2018-05-29",26700
"2018-05-30",25550
"2018-05-31",25700
"2018-06-01",25800
"2018-06-04",25300
"2018-06-05",24850
"2018-06-07",25950
"2018-06-08",25800
"2018-06-11",25850
"2018-06-12",25850
"2018-06-14",25850
"2018-06-15",26400
"2018-06-18",24950
"2018-06-19",24000
"2018-06-20",25000
"2018-06-21",25100
"2018-06-22",24900
"2018-06-25",25350
"2018-06-26",26300
"2018-06-27",26400
"2018-06-28",26050
"2018-06-29",25800
"2018-07-02",26250
"2018-07-03",26900
"2018-07-04",27450
"2018-07-05",27800
"2018-07-06",27000
"2018-07-09",27000
"2018-07-10",26700
"2018-07-11",26800
"2018-07-12",26700
"2018-07-13",27050
"2018-07-16",26850
"2018-07-17",27350
"2018-07-18",26750
"2018-07-19",25800
"2018-07-20",25900
"2018-07-23",24800
"2018-07-24",24350
"2018-07-25",24000
"2018-07-26",24650
"2018-07-27",25000
"2018-07-30",24400
"2018-07-31",23900
"2018-08-01",25100
"2018-08-02",24550
"2018-08-03",24900
"2018-08-06",25000
"2018-08-07",25350
"2018-08-08",26000
"2018-08-09",25500
"2018-08-10",25600
"2018-08-13",25550
"2018-08-14",26300
"2018-08-16",26150
"2018-08-17",27300
"2018-08-20",28950
"2018-08-21",29000
"2018-08-22",28900
"2018-08-23",29600
"2018-08-24",29150
"2018-08-27",28600
"2018-08-28",28700
"2018-08-29",27800
"2018-08-30",27950
"2018-08-31",28600
"2018-09-03",28150
"2018-09-04",28200
"2018-09-05",27650
"2018-09-06",28400
"2018-09-07",27850
"2018-09-10",29200
"2018-09-11",28700
"2018-09-12",28250
"2018-09-13",28250
"2018-09-14",28250
"2018-09-17",27700
"2018-09-18",28000
"2018-09-19",28800
"2018-09-20",29200
"2018-09-21",29000
"2018-09-27",29950
"2018-09-28",30200
"2018-10-01",29500
"2018-10-02",28500
"2018-10-04",29350
"2018-10-05",32650
"2018-10-08",30450
"2018-10-10",29000
"2018-10-11",26200
"2018-10-12",26850
"2018-10-15",26050
"2018-10-16",26200
"2018-10-17",26250
"2018-10-18",26150
"2018-10-19",26600
"2018-10-22",26500
"2018-10-23",25050
"2018-10-24",24250
"2018-10-25",24450
"2018-10-26",24150
"2018-10-29",21400
"2018-10-30",21950
"2018-10-31",22350
"2018-11-01",22150
"2018-11-02",23200
"2018-11-05",22900
"2018-11-06",23150
"2018-11-07",20950
"2018-11-08",21800
"2018-11-09",21800
"2018-11-12",20750
"2018-11-13",21400
"2018-11-14",21700
"2018-11-15",21650
"2018-11-16",21600
"2018-11-19",21950
"2018-11-20",21750
"2018-11-21",22100
"2018-11-22",22200
"2018-11-23",22600
"2018-11-26",22750
"2018-11-27",22900
"2018-11-28",22950
"2018-11-29",23150
"2018-11-30",23850
"2018-12-03",24550
"2018-12-04",24250
"2018-12-05",24400
"2018-12-06",24250
"2018-12-07",23800
"2018-12-10",23700
"2018-12-11",23250
"2018-12-12",24100
"2018-12-13",23800
"2018-12-14",23350
"2018-12-17",23000
"2018-12-18",22700
"2018-12-19",23000
"2018-12-20",22850
"2018-12-21",23450
"2018-12-24",23050
"2018-12-26",22300
"2018-12-27",22750
"2018-12-28",22950
"2019-01-02",23050
"2019-01-03",22200
"2019-01-04",22650
"2019-01-07",22850
"2019-01-08",22650
"2019-01-09",22900
"2019-01-10",23100
"2019-01-11",22600
"2019-01-14",22350
"2019-01-15",23000
"2019-01-16",22900
"2019-01-17",22900
"2019-01-18",22650
"2019-01-21",23000
"2019-01-22",22750
"2019-01-23",23000
"2019-01-24",23000
"2019-01-25",23000
"2019-01-28",23650
"2019-01-29",23850
"2019-01-30",23450
"2019-01-31",23400
"2019-02-01",23600
"2019-02-07",23550
"2019-02-08",24000
"2019-02-11",24550
"2019-02-12",24600
"2019-02-13",24550
"2019-02-14",24600
"2019-02-15",24150
"2019-02-18",24700
"2019-02-19",24750
"2019-02-20",24650
"2019-02-21",23750
"2019-02-22",23950
"2019-02-25",24750
"2019-02-26",24550
"2019-02-27",24550
"2019-02-28",25600
"2019-03-04",26650
"2019-03-05",27900
"2019-03-06",27000
"2019-03-07",26350
"2019-03-08",26550
"2019-03-11",26650
"2019-03-12",26750
"2019-03-13",27150
"2019-03-14",27400
"2019-03-15",26850
"2019-03-18",26800
"2019-03-19",26450
"2019-03-20",26100
"2019-03-21",26050
"2019-03-22",26000
"2019-03-25",25150
"2019-03-26",26050
"2019-03-27",25900
"2019-03-28",25750
"2019-03-29",25350
"2019-04-01",25350
"2019-04-02",25350
"2019-04-03",26200
"2019-04-04",25900
"2019-04-05",25900
"2019-04-08",26000
"2019-04-09",26650
"2019-04-10",27500
"2019-04-11",27350
"2019-04-12",27250
"2019-04-15",27350
"2019-04-16",28050
"2019-04-17",27650
"2019-04-18",26700
"2019-04-19",26300
"2019-04-22",26000
"2019-04-23",25950
"2019-04-24",25750
"2019-04-25",25700
"2019-04-26",25650
"2019-04-29",26050
"2019-04-30",26250
"2019-05-02",25950
"2019-05-03",25300
"2019-05-07",25500
"2019-05-08",25150
"2019-05-09",24950
"2019-05-10",24700
"2019-05-13",23850
"2019-05-14",24200
"2019-05-15",24700
"2019-05-16",24150
"2019-05-17",23700
"2019-05-20",23100
"2019-05-21",23350
"2019-05-22",23150
"2019-05-23",23550
"2019-05-24",23100
"2019-05-27",23100
"2019-05-28",23100
"2019-05-29",22800
"2019-05-30",23000
"2019-05-31",23650
"2019-06-03",23200
"2019-06-04",23250
"2019-06-05",23650
"2019-06-07",23800
"2019-06-10",23850
"2019-06-11",24000
"2019-06-12",23800
"2019-06-13",24100
"2019-06-14",24000
"2019-06-17",23650
"2019-06-18",23100
"2019-06-19",23350
"2019-06-20",23850
"2019-06-21",23800
"2019-06-24",23700
"2019-06-25",23350
"2019-06-26",23050
"2019-06-27",23050
"2019-06-28",22850
"2019-07-01",22950
"2019-07-02",23250
"2019-07-03",23250
"2019-07-04",23000
"2019-07-05",22950
"2019-07-08",22600
"2019-07-09",22350
"2019-07-10",22600
"2019-07-11",22950
"2019-07-12",23500
"2019-07-15",23700
"2019-07-16",23700
"2019-07-17",23600
"2019-07-18",23150
"2019-07-19",23950
"2019-07-22",24150
"2019-07-23",23300
"2019-07-24",23100
"2019-07-25",22150
"2019-07-26",21450
"2019-07-29",20450
"2019-07-30",20400
"2019-07-31",20350
"2019-08-01",20200
"2019-08-02",19950
"2019-08-05",18700
"2019-08-06",18050
"2019-08-07",18250
"2019-08-08",18550
"2019-08-09",18450
"2019-08-12",18900
"2019-08-13",18700
"2019-08-14",18950
"2019-08-16",18500
"2019-08-19",19150
"2019-08-20",19250
"2019-08-21",19750
"2019-08-22",19700
"2019-08-23",19550
"2019-08-26",18900
"2019-08-27",18950
"2019-08-28",18900
"2019-08-29",19800
"2019-08-30",19750
"2019-09-02",20100
"2019-09-03",19950
"2019-09-04",19700
"2019-09-05",19550
"2019-09-06",19400
"2019-09-09",19850
"2019-09-10",19400
"2019-09-11",19800
"2019-09-16",20000
"2019-09-17",20200
"2019-09-18",20200
"2019-09-19",20000
"2019-09-20",20200
"2019-09-23",20100
"2019-09-24",20150
"2019-09-25",19850
"2019-09-26",19300
"2019-09-27",19300
"2019-09-30",19350
"2019-10-01",19700
"2019-10-02",19250
"2019-10-04",19250
"2019-10-07",19550
"2019-10-08",19400
"2019-10-10",19300
"2019-10-11",19750
"2019-10-14",19800
"2019-10-15",19650
"2019-10-16",19850
"2019-10-17",20250
"2019-10-18",19750
"2019-10-21",19250
"2019-10-22",20000
"2019-10-23",20450
"2019-10-24",20150
"2019-10-25",20250
"2019-10-28",20000
"2019-10-29",19300
"2019-10-30",19100
"2019-10-31",19350
"2019-11-01",19050
"2019-11-04",19350
"2019-11-05",19700
"2019-11-06",20000
"2019-11-07",20050
"2019-11-08",19800
"2019-11-11",20000
"2019-11-12",20000
"2019-11-13",19600
"2019-11-14",19600
"2019-11-15",19400
"2019-11-18",19200
"2019-11-19",19100
"2019-11-20",18550
"2019-11-21",18200
"2019-11-22",18400
"2019-11-25",18650
"2019-11-26",18650
"2019-11-27",18700
"2019-11-28",18650
"2019-11-29",18650
"2019-12-02",18650
"2019-12-03",18300
"2019-12-04",18000
"2019-12-05",17850
"2019-12-06",18050
"2019-12-09",18000
"2019-12-10",18050
"2019-12-11",18300
"2019-12-12",18500
"2019-12-13",18600
"2019-12-16",18550
"2019-12-17",18500
"2019-12-18",18750
"2019-12-19",18600
"2019-12-20",18500
"2019-12-23",18500
"2019-12-24",18300
"2019-12-26",18500
"2019-12-27",18250
"2019-12-30",18350
"2020-01-02",18550
"2020-01-03",18350
"2020-01-06",17450
"2020-01-07",17550
"2020-01-08",16850
"2020-01-09",16900
"2020-01-10",17100
"2020-01-13",17450
"2020-01-14",17400
"2020-01-15",17500
"2020-01-16",17500
"2020-01-17",17550
"2020-01-20",17600
"2020-01-21",17500
"2020-01-22",17600
"2020-01-23",17900
"2020-01-28",17700
"2020-01-29",17500
"2020-01-30",17000
"2020-01-31",16500
"2020-02-03",16350
"2020-02-04",17000
"2020-02-05",17900
"2020-02-06",17950
"2020-02-07",17850
"2020-02-10",17450
"2020-02-11",17500
"2020-02-12",17200
"2020-02-13",17450
"2020-02-14",17200
"2020-02-17",17600
"2020-02-18",17450
"2020-02-19",17200
"2020-02-20",17150
"2020-02-21",16800
"2020-02-24",16100
"2020-02-25",16600
"2020-02-26",17050
"2020-02-27",16650
"2020-02-28",15800
"2020-03-02",16050
"2020-03-03",17500
"2020-03-04",17250
"2020-03-05",17450
"2020-03-06",16900
"2020-03-09",16400
"2020-03-10",16050
"2020-03-11",15550
"2020-03-12",14450
"2020-03-13",13600
"2020-03-16",14000
"2020-03-17",13850
"2020-03-18",13000
"2020-03-19",11250
"2020-03-20",12350
"2020-03-23",12800
"2020-03-24",14200
"2020-03-25",15000
"2020-03-26",15500
"2020-03-27",20150
"2020-03-30",20800
"2020-03-31",19700
"2020-04-01",17250
"2020-04-02",17050
"2020-04-03",18000
"2020-04-06",18300
"2020-04-07",18550
"2020-04-08",18500
"2020-04-09",19350
"2020-04-10",18550
"2020-04-13",17300
"2020-04-14",17700
"2020-04-16",17650
"2020-04-17",17750
"2020-04-20",18100
"2020-04-21",17750
"2020-04-22",17500
"2020-04-23",17500
"2020-04-24",17300
"2020-04-27",17500
"2020-04-28",17500
"2020-04-29",17650
"2020-05-04",18050
"2020-05-06",18100
"2020-05-07",18250
"2020-05-08",18400
"2020-05-11",18050
"2020-05-12",18200
"2020-05-13",18200
"2020-05-14",19400
"2020-05-15",19200
"2020-05-18",19550
"2020-05-19",18750
"2020-05-20",19350
"2020-05-21",19100
"2020-05-22",18200
"2020-05-25",19200
"2020-05-26",19300
"2020-05-27",19500
"2020-05-28",19350
"2020-05-29",19600
"2020-06-01",19650
"2020-06-02",19700
"2020-06-03",19300
"2020-06-04",19550
"2020-06-05",19750
"2020-06-08",21000
"2020-06-09",21650
"2020-06-10",21850
"2020-06-11",21800
"2020-06-12",21400
"2020-06-15",21400
"2020-06-16",22150
"2020-06-17",22300
"2020-06-18",22150
"2020-06-19",21700
"2020-06-22",22650
"2020-06-23",22650
"2020-06-24",22800
"2020-06-25",22700
"2020-06-26",23450
"2020-06-29",23900
"2020-06-30",24000
"2020-07-01",25650
"2020-07-02",25950
"2020-07-03",28000
"2020-07-06",30350
"2020-07-07",29700
"2020-07-08",27700
"2020-07-09",27000
"2020-07-10",27700
"2020-07-13",26500
"2020-07-14",26250
"2020-07-15",25800
"2020-07-16",24550
"2020-07-17",25250
"2020-07-20",25100
"2020-07-21",25250
"2020-07-22",24600
"2020-07-23",25350
"2020-07-24",26850
"2020-07-27",25100
"2020-07-28",25350
"2020-07-29",24750
"2020-07-30",25150
"2020-07-31",24750
"2020-08-03",24450
"2020-08-04",25900
"2020-08-05",26750
"2020-08-06",25900
"2020-08-07",26200
"2020-08-10",25450
"2020-08-11",26100
"2020-08-12",26050
"2020-08-13",27650
"2020-08-14",29100
"2020-08-18",28050
"2020-08-19",36450
"2020-08-20",47350
"2020-08-21",39900
"2020-08-24",51800
"2020-08-25",47450
"2020-08-26",45850
"2020-08-27",48800
"2020-08-28",48100
"2020-08-31",49850
"2020-09-01",61800
"2020-09-02",70700
