"","Price"
"2018-04-24",48327
"2018-04-25",45176
"2018-04-26",46241
"2018-04-27",52187
"2018-04-30",53918
"2018-05-02",54184
"2018-05-03",55826
"2018-05-04",54362
"2018-05-08",45131
"2018-05-09",44687
"2018-05-10",46419
"2018-05-11",44687
"2018-05-14",43045
"2018-05-15",43268
"2018-05-16",44022
"2018-05-17",44555
"2018-05-18",49791
"2018-05-21",50190
"2018-05-23",51478
"2018-05-24",54362
"2018-05-25",58533
"2018-05-28",62083
"2018-05-29",52542
"2018-05-30",60131
"2018-05-31",61240
"2018-06-01",59687
"2018-06-04",55915
"2018-06-05",51034
"2018-06-07",51300
"2018-06-08",46419
"2018-06-11",44155
"2018-06-12",46152
"2018-06-14",44821
"2018-06-15",45930
"2018-06-18",43889
"2018-06-19",41093
"2018-06-20",44288
"2018-06-21",42823
"2018-06-22",43489
"2018-06-25",45353
"2018-06-26",44377
"2018-06-27",44421
"2018-06-28",43134
"2018-06-29",43268
"2018-07-02",39673
"2018-07-03",39806
"2018-07-04",39629
"2018-07-05",40427
"2018-07-06",41093
"2018-07-09",40871
"2018-07-10",40250
"2018-07-11",38830
"2018-07-12",39851
"2018-07-13",39717
"2018-07-16",38874
"2018-07-17",36167
"2018-07-18",34170
"2018-07-19",34037
"2018-07-20",32795
"2018-07-23",30088
"2018-07-24",28756
"2018-07-25",28180
"2018-07-26",28224
"2018-07-27",28312
"2018-07-30",28135
"2018-07-31",30220
"2018-08-01",32129
"2018-08-02",30044
"2018-08-03",30532
"2018-08-06",31730
"2018-08-07",31730
"2018-08-08",31463
"2018-08-09",37676
"2018-08-10",39052
"2018-08-13",37854
"2018-08-14",36567
"2018-08-16",36833
"2018-08-17",41049
"2018-08-20",41581
"2018-08-21",42513
"2018-08-22",42513
"2018-08-23",44155
"2018-08-24",45886
"2018-08-27",44067
"2018-08-28",45664
"2018-08-29",45176
"2018-08-30",45309
"2018-08-31",46152
"2018-09-03",47261
"2018-09-04",47217
"2018-09-05",47350
"2018-09-06",48415
"2018-09-07",51610
"2018-09-10",52143
"2018-09-11",51655
"2018-09-12",51300
"2018-09-13",47350
"2018-09-14",48859
"2018-09-17",48770
"2018-09-18",50013
"2018-09-19",52676
"2018-09-20",51388
"2018-09-21",51966
"2018-09-27",53474
"2018-09-28",53296
"2018-10-01",53474
"2018-10-02",50057
"2018-10-04",48371
"2018-10-05",45265
"2018-10-08",42557
"2018-10-10",41625
"2018-10-11",37365
"2018-10-12",45265
"2018-10-15",44821
"2018-10-16",45575
"2018-10-17",44555
"2018-10-18",44199
"2018-10-19",46152
"2018-10-22",46329
"2018-10-23",43933
"2018-10-24",43977
"2018-10-25",42823
"2018-10-26",41715
"2018-10-29",37765
"2018-10-30",39939
"2018-10-31",38431
"2018-11-01",37854
"2018-11-02",40738
"2018-11-05",41537
"2018-11-06",41093
"2018-11-07",43268
"2018-11-08",42735
"2018-11-09",39141
"2018-11-12",35102
"2018-11-13",36611
"2018-11-14",36833
"2018-11-15",37144
"2018-11-16",37144
"2018-11-19",38209
"2018-11-20",36256
"2018-11-21",38253
"2018-11-22",39273
"2018-11-23",39318
"2018-11-26",39806
"2018-11-27",39629
"2018-11-28",37720
"2018-11-29",37144
"2018-11-30",37499
"2018-12-03",39540
"2018-12-04",39007
"2018-12-05",38386
"2018-12-06",36478
"2018-12-07",37188
"2018-12-10",36211
"2018-12-11",34658
"2018-12-12",35413
"2018-12-13",35368
"2018-12-14",31952
"2018-12-17",31952
"2018-12-18",31996
"2018-12-19",34082
"2018-12-20",34392
"2018-12-21",34392
"2018-12-24",33238
"2018-12-26",35058
"2018-12-27",34658
"2018-12-28",35457
"2019-01-02",33859
"2019-01-03",32617
"2019-01-04",32839
"2019-01-07",32395
"2019-01-08",31774
"2019-01-09",32395
"2019-01-10",32972
"2019-01-11",32928
"2019-01-14",31507
"2019-01-15",31641
"2019-01-16",30309
"2019-01-17",29378
"2019-01-18",30842
"2019-01-21",30931
"2019-01-22",32129
"2019-01-23",31419
"2019-01-24",31818
"2019-01-25",31774
"2019-01-28",33016
"2019-01-29",33016
"2019-01-30",32706
"2019-01-31",33283
"2019-02-01",32928
"2019-02-07",34082
"2019-02-08",34037
"2019-02-11",35945
"2019-02-12",36123
"2019-02-13",36389
"2019-02-14",36567
"2019-02-15",36211
"2019-02-18",36877
"2019-02-19",38209
"2019-02-20",38564
"2019-02-21",37943
"2019-02-22",38342
"2019-02-25",39673
"2019-02-26",40072
"2019-02-27",40605
"2019-02-28",39851
"2019-03-04",41670
"2019-03-05",40782
"2019-03-06",38342
"2019-03-07",36966
"2019-03-08",36656
"2019-03-11",37943
"2019-03-12",40161
"2019-03-13",39141
"2019-03-14",37543
"2019-03-15",38164
"2019-03-18",37365
"2019-03-19",36611
"2019-03-20",37099
"2019-03-21",36211
"2019-03-22",35590
"2019-03-25",34614
"2019-03-26",34792
"2019-03-27",34082
"2019-03-28",33726
"2019-03-29",35502
"2019-04-01",35546
"2019-04-02",35546
"2019-04-03",39007
"2019-04-04",39096
"2019-04-05",38475
"2019-04-08",38830
"2019-04-09",38830
"2019-04-10",38164
"2019-04-11",37987
"2019-04-12",37277
"2019-04-15",37099
"2019-04-16",38386
"2019-04-17",37676
"2019-04-18",36611
"2019-04-19",36700
"2019-04-22",37011
"2019-04-23",37765
"2019-04-24",37410
"2019-04-25",36877
"2019-04-26",36034
"2019-04-29",37144
"2019-04-30",37232
"2019-05-02",37321
"2019-05-03",37720
"2019-05-07",36656
"2019-05-08",35723
"2019-05-09",33771
"2019-05-10",34215
"2019-05-13",33726
"2019-05-14",32883
"2019-05-15",34392
"2019-05-16",33327
"2019-05-17",31774
"2019-05-20",30620
"2019-05-21",32129
"2019-05-22",32528
"2019-05-23",32528
"2019-05-24",31374
"2019-05-27",31862
"2019-05-28",32218
"2019-05-29",30975
"2019-05-30",30044
"2019-05-31",31152
"2019-06-03",32262
"2019-06-04",32883
"2019-06-05",32484
"2019-06-07",32173
"2019-06-10",32395
"2019-06-11",32395
"2019-06-12",31774
"2019-06-13",32129
"2019-06-14",31818
"2019-06-17",33815
"2019-06-18",31774
"2019-06-19",31197
"2019-06-20",31552
