"","Price"
"2018-04-24",4000
"2018-04-25",3945
"2018-04-26",4120
"2018-04-27",4180
"2018-04-30",4010
"2018-05-02",4040
"2018-05-03",4115
"2018-05-04",4155
"2018-05-08",4400
"2018-05-09",4400
"2018-05-10",4550
"2018-05-11",4545
"2018-05-14",4340
"2018-05-15",4355
"2018-05-16",4505
"2018-05-17",4505
"2018-05-18",4650
"2018-05-21",4615
"2018-05-23",4575
"2018-05-24",4490
"2018-05-25",4345
"2018-05-28",4445
"2018-05-29",4430
"2018-05-30",4210
"2018-05-31",4295
"2018-06-01",4310
"2018-06-04",4295
"2018-06-05",4380
"2018-06-07",4230
"2018-06-08",4250
"2018-06-11",4250
"2018-06-12",4330
"2018-06-14",4270
"2018-06-15",4250
"2018-06-18",4050
"2018-06-19",4000
"2018-06-20",4140
"2018-06-21",4075
"2018-06-22",3965
"2018-06-25",4030
"2018-06-26",4000
"2018-06-27",3840
"2018-06-28",3680
"2018-06-29",3950
"2018-07-02",3950
"2018-07-03",3945
"2018-07-04",3960
"2018-07-05",3785
"2018-07-06",3860
"2018-07-09",3950
"2018-07-10",4095
"2018-07-11",4105
"2018-07-12",4025
"2018-07-13",3975
"2018-07-16",4000
"2018-07-17",3935
"2018-07-18",3810
"2018-07-19",3755
"2018-07-20",3710
"2018-07-23",3505
"2018-07-24",3505
"2018-07-25",3450
"2018-07-26",3670
"2018-07-27",3795
"2018-07-30",3700
"2018-07-31",3870
"2018-08-01",4000
"2018-08-02",3870
"2018-08-03",3910
"2018-08-06",3885
"2018-08-07",3885
"2018-08-08",3850
"2018-08-09",3860
"2018-08-10",3860
"2018-08-13",3710
"2018-08-14",3820
"2018-08-16",4100
"2018-08-17",4290
"2018-08-20",4305
"2018-08-21",4270
"2018-08-22",4225
"2018-08-23",4200
"2018-08-24",4165
"2018-08-27",4345
"2018-08-28",4700
"2018-08-29",5030
"2018-08-30",5300
"2018-08-31",5260
"2018-09-03",5220
"2018-09-04",5150
"2018-09-05",5560
"2018-09-06",5270
"2018-09-07",5400
"2018-09-10",5830
"2018-09-11",5670
"2018-09-12",5510
"2018-09-13",5580
"2018-09-14",5460
"2018-09-17",5260
"2018-09-18",5300
"2018-09-19",5250
"2018-09-20",5120
"2018-09-21",5220
"2018-09-27",5500
"2018-09-28",6090
"2018-10-01",6220
"2018-10-02",6200
"2018-10-04",5780
"2018-10-05",6010
"2018-10-08",5800
"2018-10-10",5520
"2018-10-11",4970
"2018-10-12",5500
"2018-10-15",5400
"2018-10-16",5450
"2018-10-17",5510
"2018-10-18",6440
"2018-10-19",6310
"2018-10-22",6150
"2018-10-23",5850
"2018-10-24",5240
"2018-10-25",5080
"2018-10-26",4715
"2018-10-29",4300
"2018-10-30",4600
"2018-10-31",4920
"2018-11-01",4950
"2018-11-02",5110
"2018-11-05",5110
"2018-11-06",5030
"2018-11-07",5030
"2018-11-08",5200
"2018-11-09",5310
"2018-11-12",5270
"2018-11-13",5450
"2018-11-14",5230
"2018-11-15",5180
"2018-11-16",5090
"2018-11-19",4850
"2018-11-20",5000
"2018-11-21",5050
"2018-11-22",4925
"2018-11-23",4545
"2018-11-26",4630
"2018-11-27",4635
"2018-11-28",4870
"2018-11-29",4780
"2018-11-30",5200
"2018-12-03",5480
"2018-12-04",5260
"2018-12-05",5410
"2018-12-06",5240
"2018-12-07",5830
"2018-12-10",5890
"2018-12-11",5760
"2018-12-12",5500
"2018-12-13",5740
"2018-12-14",4850
"2018-12-17",4750
"2018-12-18",4450
"2018-12-19",4625
"2018-12-20",4705
"2018-12-21",5020
"2018-12-24",4890
"2018-12-26",4680
"2018-12-27",4530
"2018-12-28",4640
"2019-01-02",4680
"2019-01-03",4665
"2019-01-04",4670
"2019-01-07",4720
"2019-01-08",4660
"2019-01-09",4620
"2019-01-10",4580
"2019-01-11",4540
"2019-01-14",4695
"2019-01-15",4710
"2019-01-16",4965
"2019-01-17",4835
"2019-01-18",4780
"2019-01-21",4750
"2019-01-22",4760
"2019-01-23",4770
"2019-01-24",4780
"2019-01-25",4785
"2019-01-28",4770
"2019-01-29",4755
"2019-01-30",4710
"2019-01-31",4780
"2019-02-01",4785
"2019-02-07",4870
"2019-02-08",4945
"2019-02-11",4945
"2019-02-12",4940
"2019-02-13",5100
"2019-02-14",5020
"2019-02-15",4900
"2019-02-18",5030
"2019-02-19",5010
"2019-02-20",4900
"2019-02-21",4830
"2019-02-22",4835
"2019-02-25",5000
"2019-02-26",4925
"2019-02-27",4955
"2019-02-28",4730
"2019-03-04",4770
"2019-03-05",4835
"2019-03-06",4745
"2019-03-07",4640
"2019-03-08",4585
"2019-03-11",4440
"2019-03-12",4515
"2019-03-13",4605
"2019-03-14",4600
"2019-03-15",4605
"2019-03-18",4600
"2019-03-19",4835
"2019-03-20",4855
"2019-03-21",4880
"2019-03-22",4890
"2019-03-25",4925
"2019-03-26",4850
"2019-03-27",4900
"2019-03-28",4890
"2019-03-29",4880
"2019-04-01",5000
"2019-04-02",5000
"2019-04-03",5010
"2019-04-04",5030
"2019-04-05",5100
"2019-04-08",5020
"2019-04-09",5190
"2019-04-10",5130
"2019-04-11",5150
"2019-04-12",5080
"2019-04-15",5130
"2019-04-16",5070
"2019-04-17",5210
"2019-04-18",5200
"2019-04-19",5180
"2019-04-22",5180
"2019-04-23",5130
"2019-04-24",5150
"2019-04-25",5080
"2019-04-26",5090
"2019-04-29",5070
"2019-04-30",5120
"2019-05-02",5090
"2019-05-03",5090
"2019-05-07",5080
"2019-05-08",5030
"2019-05-09",5050
"2019-05-10",5100
"2019-05-13",6630
"2019-05-14",7500
"2019-05-15",7560
"2019-05-16",6920
"2019-05-17",6350
"2019-05-20",6070
"2019-05-21",6060
"2019-05-22",6120
"2019-05-23",5860
"2019-05-24",5640
"2019-05-27",5660
"2019-05-28",5840
"2019-05-29",6050
"2019-05-30",5940
"2019-05-31",6110
"2019-06-03",5800
"2019-06-04",5620
"2019-06-05",5840
"2019-06-07",5890
"2019-06-10",5950
"2019-06-11",5810
"2019-06-12",5750
"2019-06-13",6050
"2019-06-14",6110
"2019-06-17",6100
"2019-06-18",6310
"2019-06-19",6190
"2019-06-20",6160
