"","Price"
"2018-04-24",1530
"2018-04-25",1480
"2018-04-26",1590
"2018-04-27",1575
"2018-04-30",1560
"2018-05-02",1640
"2018-05-03",1615
"2018-05-04",1615
"2018-05-08",1590
"2018-05-09",1555
"2018-05-10",1600
"2018-05-11",1605
"2018-05-14",1610
"2018-05-15",1595
"2018-05-16",1575
"2018-05-17",1620
"2018-05-18",1745
"2018-05-21",1850
"2018-05-23",1750
"2018-05-24",1710
"2018-05-25",1635
"2018-05-28",1710
"2018-05-29",1635
"2018-05-30",1555
"2018-05-31",1560
"2018-06-01",1555
"2018-06-04",1555
"2018-06-05",1575
"2018-06-07",1615
"2018-06-08",1600
"2018-06-11",1555
"2018-06-12",1520
"2018-06-14",1520
"2018-06-15",1550
"2018-06-18",1545
"2018-06-19",1470
"2018-06-20",1490
"2018-06-21",1455
"2018-06-22",1405
"2018-06-25",1445
"2018-06-26",1480
"2018-06-27",1505
"2018-06-28",1545
"2018-06-29",1550
"2018-07-02",1575
"2018-07-03",1660
"2018-07-04",1625
"2018-07-05",1570
"2018-07-06",1565
"2018-07-09",1510
"2018-07-10",1555
"2018-07-11",1515
"2018-07-12",1545
"2018-07-13",1605
"2018-07-16",1640
"2018-07-17",1595
"2018-07-18",1555
"2018-07-19",1495
"2018-07-20",1560
"2018-07-23",1630
"2018-07-24",1635
"2018-07-25",1515
"2018-07-26",1540
"2018-07-27",1545
"2018-07-30",1525
"2018-07-31",1500
"2018-08-01",1505
"2018-08-02",1510
"2018-08-03",1540
"2018-08-06",1525
"2018-08-07",1540
"2018-08-08",1595
"2018-08-09",1610
"2018-08-10",1550
"2018-08-13",1500
"2018-08-14",1500
"2018-08-16",1565
"2018-08-17",1570
"2018-08-20",1515
"2018-08-21",1525
"2018-08-22",1600
"2018-08-23",1610
"2018-08-24",1590
"2018-08-27",1585
"2018-08-28",1615
"2018-08-29",1605
"2018-08-30",1595
"2018-08-31",1610
"2018-09-03",1595
"2018-09-04",1585
"2018-09-05",1630
"2018-09-06",1650
"2018-09-07",1605
"2018-09-10",1615
"2018-09-11",1650
"2018-09-12",1615
"2018-09-13",1605
"2018-09-14",1600
"2018-09-17",1585
"2018-09-18",1585
"2018-09-19",1550
"2018-09-20",1535
"2018-09-21",1515
"2018-09-27",1510
"2018-09-28",1520
"2018-10-01",1505
"2018-10-02",1505
"2018-10-04",1460
"2018-10-05",1420
"2018-10-08",1420
"2018-10-10",1360
"2018-10-11",1200
"2018-10-12",1210
"2018-10-15",1240
"2018-10-16",1285
"2018-10-17",1300
"2018-10-18",1265
"2018-10-19",1280
"2018-10-22",1305
"2018-10-23",1280
"2018-10-24",1215
"2018-10-25",1170
"2018-10-26",1140
"2018-10-29",1005
"2018-10-30",1035
"2018-10-31",1110
"2018-11-01",1130
"2018-11-02",1185
"2018-11-05",1215
"2018-11-06",1200
"2018-11-07",1200
"2018-11-08",1200
"2018-11-09",1200
"2018-11-12",1175
"2018-11-13",1170
"2018-11-14",1160
"2018-11-15",1155
"2018-11-16",1180
"2018-11-19",1210
"2018-11-20",1195
"2018-11-21",1190
"2018-11-22",1190
"2018-11-23",1190
"2018-11-26",1185
"2018-11-27",1255
"2018-11-28",1245
"2018-11-29",1245
"2018-11-30",1235
"2018-12-03",1235
"2018-12-04",1245
"2018-12-05",1225
"2018-12-06",1170
"2018-12-07",1185
"2018-12-10",1170
"2018-12-11",1160
"2018-12-12",1195
"2018-12-13",1235
"2018-12-14",1210
"2018-12-17",1235
"2018-12-18",1255
"2018-12-19",1235
"2018-12-20",1210
"2018-12-21",1215
"2018-12-24",1200
"2018-12-26",1150
"2018-12-27",1190
"2018-12-28",1185
"2019-01-02",1190
"2019-01-03",1240
"2019-01-04",1235
"2019-01-07",1235
"2019-01-08",1240
"2019-01-09",1245
"2019-01-10",1245
"2019-01-11",1255
"2019-01-14",1235
"2019-01-15",1245
"2019-01-16",1240
"2019-01-17",1280
"2019-01-18",1305
"2019-01-21",1315
"2019-01-22",1275
"2019-01-23",1295
"2019-01-24",1290
"2019-01-25",1290
"2019-01-28",1295
"2019-01-29",1285
"2019-01-30",1280
"2019-01-31",1305
"2019-02-01",1300
"2019-02-07",1305
"2019-02-08",1295
"2019-02-11",1295
"2019-02-12",1320
"2019-02-13",1335
"2019-02-14",1340
"2019-02-15",1315
"2019-02-18",1325
"2019-02-19",1295
"2019-02-20",1285
"2019-02-21",1315
"2019-02-22",1300
"2019-02-25",1310
"2019-02-26",1290
"2019-02-27",1280
"2019-02-28",1240
"2019-03-04",1260
"2019-03-05",1250
"2019-03-06",1275
"2019-03-07",1255
"2019-03-08",1245
"2019-03-11",1245
"2019-03-12",1260
"2019-03-13",1245
"2019-03-14",1250
"2019-03-15",1250
"2019-03-18",1250
"2019-03-19",1255
"2019-03-20",1240
"2019-03-21",1215
"2019-03-22",1205
"2019-03-25",1165
"2019-03-26",1175
"2019-03-27",1205
"2019-03-28",1185
"2019-03-29",1180
"2019-04-01",1185
"2019-04-02",1195
"2019-04-03",1200
"2019-04-04",1205
"2019-04-05",1200
"2019-04-08",1220
"2019-04-09",1195
"2019-04-10",1195
"2019-04-11",1215
"2019-04-12",1250
"2019-04-15",1235
"2019-04-16",1225
"2019-04-17",1225
"2019-04-18",1200
"2019-04-19",1190
"2019-04-22",1180
"2019-04-23",1190
"2019-04-24",1180
"2019-04-25",1200
"2019-04-26",1530
"2019-04-29",1315
"2019-04-30",1480
"2019-05-02",1665
"2019-05-03",1560
"2019-05-07",1580
"2019-05-08",2050
"2019-05-09",2365
"2019-05-10",2420
"2019-05-13",1775
"2019-05-14",1915
"2019-05-15",1800
"2019-05-16",1625
"2019-05-17",1660
"2019-05-20",1535
"2019-05-21",1580
"2019-05-22",1685
"2019-05-23",1650
"2019-05-24",1555
"2019-05-27",1635
"2019-05-28",1625
"2019-05-29",1505
"2019-05-30",1435
"2019-05-31",1470
"2019-06-03",1445
"2019-06-04",1415
"2019-06-05",1450
"2019-06-07",1465
"2019-06-10",1485
"2019-06-11",1530
"2019-06-12",1495
"2019-06-13",1560
"2019-06-14",1510
"2019-06-17",1560
"2019-06-18",1725
"2019-06-19",1795
"2019-06-20",1715
"2019-06-21",1800
"2019-06-24",1865
"2019-06-25",1710
"2019-06-26",1620
"2019-06-27",1530
"2019-06-28",1545
"2019-07-01",1470
"2019-07-02",1475
"2019-07-03",1540
"2019-07-04",1620
"2019-07-05",1615
"2019-07-08",1530
"2019-07-09",1515
"2019-07-10",1575
"2019-07-11",1555
"2019-07-12",1845
"2019-07-15",1935
"2019-07-16",1895
"2019-07-17",1975
"2019-07-18",1820
"2019-07-19",1860
"2019-07-22",1755
"2019-07-23",2065
"2019-07-24",1885
"2019-07-25",2245
"2019-07-26",2225
"2019-07-29",2060
"2019-07-30",2000
"2019-07-31",2085
"2019-08-01",1920
"2019-08-02",1875
"2019-08-05",1915
"2019-08-06",1870
"2019-08-07",2430
"2019-08-08",2445
"2019-08-09",2625
"2019-08-12",2625
"2019-08-13",2700
"2019-08-14",2590
"2019-08-16",2580
"2019-08-19",2570
"2019-08-20",2650
"2019-08-21",2580
"2019-08-22",2580
"2019-08-23",2460
"2019-08-26",2430
"2019-08-27",2450
"2019-08-28",2560
"2019-08-29",2485
"2019-08-30",2495
"2019-09-02",2595
"2019-09-03",2510
"2019-09-04",2430
"2019-09-05",2445
"2019-09-06",2420
"2019-09-09",2265
"2019-09-10",2170
"2019-09-11",2185
"2019-09-16",2160
"2019-09-17",2125
"2019-09-18",2035
"2019-09-19",2145
"2019-09-20",2080
"2019-09-23",2005
"2019-09-24",2000
"2019-09-25",1860
"2019-09-26",1905
"2019-09-27",2090
"2019-09-30",1975
"2019-10-01",2030
"2019-10-02",1970
"2019-10-04",2015
"2019-10-07",2025
"2019-10-08",2020
"2019-10-10",2070
"2019-10-11",2025
"2019-10-14",1980
"2019-10-15",1990
"2019-10-16",2060
"2019-10-17",2300
"2019-10-18",2115
"2019-10-21",2085
"2019-10-22",2040
"2019-10-23",1995
"2019-10-24",2010
"2019-10-25",1915
"2019-10-28",1900
"2019-10-29",1905
"2019-10-30",1865
"2019-10-31",1950
"2019-11-01",1895
"2019-11-04",1890
"2019-11-05",1905
"2019-11-06",1915
"2019-11-07",1865
"2019-11-08",1870
"2019-11-11",1815
"2019-11-12",1810
"2019-11-13",1800
"2019-11-14",1815
"2019-11-15",1800
"2019-11-18",1795
"2019-11-19",1880
"2019-11-20",1805
"2019-11-21",1695
"2019-11-22",1695
"2019-11-25",1745
"2019-11-26",1765
"2019-11-27",1760
"2019-11-28",1760
"2019-11-29",1740
"2019-12-02",1680
"2019-12-03",1740
"2019-12-04",1710
"2019-12-05",1685
"2019-12-06",1760
"2019-12-09",1760
"2019-12-10",1745
"2019-12-11",1835
"2019-12-12",1805
"2019-12-13",1760
"2019-12-16",1810
"2019-12-17",1740
"2019-12-18",1765
"2019-12-19",1705
"2019-12-20",1715
"2019-12-23",1695
"2019-12-24",1645
"2019-12-26",1670
"2019-12-27",1710
"2019-12-30",1725
"2020-01-02",1750
"2020-01-03",1795
"2020-01-06",1745
"2020-01-07",1790
"2020-01-08",1655
"2020-01-09",1750
"2020-01-10",1760
"2020-01-13",1775
"2020-01-14",1795
"2020-01-15",1840
"2020-01-16",1790
"2020-01-17",1795
"2020-01-20",1755
"2020-01-21",1725
"2020-01-22",1745
"2020-01-23",1755
"2020-01-28",1630
"2020-01-29",1635
"2020-01-30",1520
"2020-01-31",1420
"2020-02-03",1460
"2020-02-04",1490
"2020-02-05",1495
"2020-02-06",1520
"2020-02-07",1520
"2020-02-10",1540
"2020-02-11",1535
"2020-02-12",1535
"2020-02-13",1545
"2020-02-14",1530
"2020-02-17",1490
"2020-02-18",1430
"2020-02-19",1445
"2020-02-20",1415
"2020-02-21",1390
"2020-02-24",1500
"2020-02-25",1510
"2020-02-26",1445
"2020-02-27",1340
"2020-02-28",1225
"2020-03-02",1275
"2020-03-03",1300
"2020-03-04",1370
"2020-03-05",1390
"2020-03-06",1355
"2020-03-09",1240
"2020-03-10",1255
"2020-03-11",1175
"2020-03-12",1075
"2020-03-13",1005
"2020-03-16",939
"2020-03-17",928
"2020-03-18",885
"2020-03-19",628
"2020-03-20",690
"2020-03-23",640
"2020-03-24",690
"2020-03-25",805
"2020-03-26",827
"2020-03-27",830
"2020-03-30",871
"2020-03-31",919
"2020-04-01",920
"2020-04-02",954
"2020-04-03",960
"2020-04-06",1005
"2020-04-07",1040
"2020-04-08",1110
"2020-04-09",1105
"2020-04-10",1095
"2020-04-13",1045
"2020-04-14",1040
"2020-04-16",1045
"2020-04-17",1145
"2020-04-20",1145
"2020-04-21",1120
"2020-04-22",1200
"2020-04-23",1165
"2020-04-24",1110
"2020-04-27",1205
"2020-04-28",1165
"2020-04-29",1175
"2020-05-04",1190
"2020-05-06",1245
"2020-05-07",1240
"2020-05-08",1300
"2020-05-11",1415
"2020-05-12",1400
"2020-05-13",1390
"2020-05-14",1335
"2020-05-15",1305
