"","Price"
"2018-04-24",15300
"2018-04-25",14900
"2018-04-26",14950
"2018-04-27",14500
"2018-04-30",14450
"2018-05-02",14450
"2018-05-03",14500
"2018-05-04",14500
"2018-05-08",14450
"2018-05-09",14550
"2018-05-10",14500
"2018-05-11",14600
"2018-05-14",15300
"2018-05-15",15100
"2018-05-16",15050
"2018-05-17",15350
"2018-05-18",15400
"2018-05-21",15150
"2018-05-23",15200
"2018-05-24",15000
"2018-05-25",14750
"2018-05-28",14600
"2018-05-29",17200
"2018-05-30",16100
"2018-05-31",16500
"2018-06-01",15700
"2018-06-04",15350
"2018-06-05",15700
"2018-06-07",15500
"2018-06-08",14900
"2018-06-11",15850
"2018-06-12",15800
"2018-06-14",15150
"2018-06-15",16000
"2018-06-18",15450
"2018-06-19",15200
"2018-06-20",15100
"2018-06-21",14550
"2018-06-22",14950
"2018-06-25",15000
"2018-06-26",14700
"2018-06-27",14900
"2018-06-28",14850
"2018-06-29",14850
"2018-07-02",14350
"2018-07-03",14350
"2018-07-04",14450
"2018-07-05",14350
"2018-07-06",14450
"2018-07-09",14600
"2018-07-10",14950
"2018-07-11",14750
"2018-07-12",14900
"2018-07-13",14950
"2018-07-16",14600
"2018-07-17",14700
"2018-07-18",14850
"2018-07-19",14600
"2018-07-20",14400
"2018-07-23",13950
"2018-07-24",14000
"2018-07-25",14000
"2018-07-26",14050
"2018-07-27",14250
"2018-07-30",14200
"2018-07-31",14300
"2018-08-01",14650
"2018-08-02",14450
"2018-08-03",14450
"2018-08-06",14400
"2018-08-07",14400
"2018-08-08",14300
"2018-08-09",14300
"2018-08-10",13800
"2018-08-13",13350
"2018-08-14",13300
"2018-08-16",13350
"2018-08-17",13100
"2018-08-20",13200
"2018-08-21",13500
"2018-08-22",13200
"2018-08-23",13300
"2018-08-24",13500
"2018-08-27",13250
"2018-08-28",13300
"2018-08-29",13400
"2018-08-30",13400
"2018-08-31",13300
"2018-09-03",13450
"2018-09-04",13600
"2018-09-05",13550
"2018-09-06",13500
"2018-09-07",13200
"2018-09-10",13200
"2018-09-11",13250
"2018-09-12",13200
"2018-09-13",13200
"2018-09-14",13300
"2018-09-17",13200
"2018-09-18",13350
"2018-09-19",13250
"2018-09-20",12600
"2018-09-21",12350
"2018-09-27",12500
"2018-09-28",12550
"2018-10-01",12300
"2018-10-02",12150
