"","Price"
"2018-04-24",5680
"2018-04-25",5620
"2018-04-26",5680
"2018-04-27",5770
"2018-04-30",5870
"2018-05-02",5820
"2018-05-03",5970
"2018-05-04",5970
"2018-05-08",5700
"2018-05-09",5480
"2018-05-10",5620
"2018-05-11",5670
"2018-05-14",5780
"2018-05-15",5770
"2018-05-16",5590
"2018-05-17",5630
"2018-05-18",5600
"2018-05-21",5600
"2018-05-23",5520
"2018-05-24",5510
"2018-05-25",5440
"2018-05-28",5510
"2018-05-29",6000
"2018-05-30",6350
"2018-05-31",6230
"2018-06-01",5980
"2018-06-04",6180
"2018-06-05",5990
"2018-06-07",5730
"2018-06-08",5770
"2018-06-11",5830
"2018-06-12",5650
"2018-06-14",5670
"2018-06-15",5680
"2018-06-18",5460
"2018-06-19",5220
"2018-06-20",5300
"2018-06-21",5160
"2018-06-22",5120
"2018-06-25",5120
"2018-06-26",5120
"2018-06-27",5120
"2018-06-28",5030
"2018-06-29",4995
"2018-07-02",4850
"2018-07-03",4915
"2018-07-04",5020
"2018-07-05",4960
"2018-07-06",5020
"2018-07-09",5080
"2018-07-10",5200
"2018-07-11",5250
"2018-07-12",5360
"2018-07-13",5390
"2018-07-16",5300
"2018-07-17",5360
"2018-07-18",5340
"2018-07-19",5300
"2018-07-20",5320
"2018-07-23",5500
"2018-07-24",5560
"2018-07-25",5480
"2018-07-26",5470
"2018-07-27",5540
"2018-07-30",5550
"2018-07-31",5570
"2018-08-01",5560
"2018-08-02",5610
"2018-08-03",5600
"2018-08-06",5530
"2018-08-07",5550
"2018-08-08",5560
"2018-08-09",5540
"2018-08-10",5430
"2018-08-13",5190
"2018-08-14",5190
"2018-08-16",5140
"2018-08-17",5160
"2018-08-20",5180
"2018-08-21",5180
"2018-08-22",5150
"2018-08-23",5130
"2018-08-24",5170
"2018-08-27",5150
"2018-08-28",5090
"2018-08-29",5150
"2018-08-30",5250
"2018-08-31",5170
"2018-09-03",5190
"2018-09-04",5240
"2018-09-05",5240
"2018-09-06",5190
"2018-09-07",5150
"2018-09-10",5000
"2018-09-11",5120
"2018-09-12",5120
"2018-09-13",5150
"2018-09-14",5190
"2018-09-17",5170
"2018-09-18",5250
"2018-09-19",5350
"2018-09-20",5260
"2018-09-21",5140
"2018-09-27",5130
"2018-09-28",5060
"2018-10-01",5100
"2018-10-02",5100
"2018-10-04",5030
"2018-10-05",4970
"2018-10-08",4945
"2018-10-10",4810
"2018-10-11",4630
"2018-10-12",4635
"2018-10-15",4600
"2018-10-16",4645
"2018-10-17",4695
"2018-10-18",4690
"2018-10-19",4680
"2018-10-22",4700
"2018-10-23",4645
"2018-10-24",4510
"2018-10-25",4495
"2018-10-26",4445
"2018-10-29",4315
"2018-10-30",4080
"2018-10-31",4070
"2018-11-01",4145
"2018-11-02",4225
"2018-11-05",4235
"2018-11-06",4390
"2018-11-07",4385
"2018-11-08",4385
"2018-11-09",4485
"2018-11-12",4420
"2018-11-13",4465
"2018-11-14",4540
"2018-11-15",4580
"2018-11-16",4680
"2018-11-19",4710
"2018-11-20",4670
"2018-11-21",4640
"2018-11-22",4700
"2018-11-23",4735
"2018-11-26",4700
"2018-11-27",4700
"2018-11-28",4730
"2018-11-29",4640
"2018-11-30",4660
"2018-12-03",4670
"2018-12-04",4670
"2018-12-05",4590
"2018-12-06",4515
"2018-12-07",4945
"2018-12-10",4900
"2018-12-11",4500
"2018-12-12",4675
"2018-12-13",4730
"2018-12-14",4700
"2018-12-17",4630
"2018-12-18",4625
"2018-12-19",4650
"2018-12-20",4610
"2018-12-21",4500
"2018-12-24",4510
"2018-12-26",4540
"2018-12-27",4790
"2018-12-28",4800
"2019-01-02",4780
"2019-01-03",4780
"2019-01-04",4805
"2019-01-07",4830
"2019-01-08",4865
"2019-01-09",4980
"2019-01-10",4970
"2019-01-11",4850
"2019-01-14",4910
"2019-01-15",4900
"2019-01-16",4870
"2019-01-17",4880
"2019-01-18",4950
"2019-01-21",4950
"2019-01-22",4925
"2019-01-23",4895
"2019-01-24",4920
"2019-01-25",4970
"2019-01-28",4880
"2019-01-29",4815
"2019-01-30",4860
"2019-01-31",4940
"2019-02-01",4910
"2019-02-07",4930
"2019-02-08",4880
"2019-02-11",4855
"2019-02-12",4910
"2019-02-13",4975
"2019-02-14",4965
"2019-02-15",4975
"2019-02-18",4990
"2019-02-19",4970
"2019-02-20",4945
"2019-02-21",5010
"2019-02-22",5040
"2019-02-25",5000
"2019-02-26",5000
"2019-02-27",4950
"2019-02-28",4810
"2019-03-04",4920
"2019-03-05",4925
"2019-03-06",4950
"2019-03-07",4950
"2019-03-08",4925
"2019-03-11",4870
"2019-03-12",4885
"2019-03-13",4900
"2019-03-14",4895
"2019-03-15",4845
"2019-03-18",4580
"2019-03-19",4580
"2019-03-20",4575
"2019-03-21",4610
"2019-03-22",4550
"2019-03-25",4445
"2019-03-26",4465
"2019-03-27",4430
"2019-03-28",4360
"2019-03-29",4410
"2019-04-01",4460
"2019-04-02",4480
"2019-04-03",4480
"2019-04-04",4505
"2019-04-05",4510
"2019-04-08",4535
"2019-04-09",4515
"2019-04-10",4545
"2019-04-11",4590
"2019-04-12",4545
"2019-04-15",4575
"2019-04-16",4575
"2019-04-17",4555
"2019-04-18",4535
"2019-04-19",4555
"2019-04-22",4555
"2019-04-23",4580
"2019-04-24",4530
"2019-04-25",4525
"2019-04-26",4515
"2019-04-29",4500
"2019-04-30",4515
"2019-05-02",4500
"2019-05-03",4545
"2019-05-07",4490
"2019-05-08",4455
"2019-05-09",4400
"2019-05-10",4390
"2019-05-13",4610
