"","Price"
"2018-04-24",12400
"2018-04-25",12200
"2018-04-26",12050
"2018-04-27",12250
"2018-04-30",12200
"2018-05-02",12200
"2018-05-03",11950
"2018-05-04",12200
"2018-05-08",12150
"2018-05-09",11900
"2018-05-10",12300
"2018-05-11",12600
"2018-05-14",12600
"2018-05-15",12200
"2018-05-16",12300
"2018-05-17",12200
"2018-05-18",12550
"2018-05-21",12500
"2018-05-23",12400
"2018-05-24",12350
"2018-05-25",12050
"2018-05-28",12550
"2018-05-29",12400
"2018-05-30",12200
"2018-05-31",12250
"2018-06-01",12300
"2018-06-04",12350
"2018-06-05",12300
"2018-06-07",12600
"2018-06-08",12400
"2018-06-11",12350
"2018-06-12",12550
"2018-06-14",12150
"2018-06-15",12150
"2018-06-18",11700
"2018-06-19",11350
"2018-06-20",11500
"2018-06-21",11400
"2018-06-22",11400
"2018-06-25",11550
"2018-06-26",11850
"2018-06-27",11950
"2018-06-28",11700
"2018-06-29",11650
"2018-07-02",11400
"2018-07-03",11500
"2018-07-04",11700
"2018-07-05",11550
"2018-07-06",11550
"2018-07-09",11550
"2018-07-10",11500
"2018-07-11",11400
"2018-07-12",11500
"2018-07-13",11400
"2018-07-16",11400
"2018-07-17",11350
"2018-07-18",11200
"2018-07-19",10900
"2018-07-20",10900
"2018-07-23",10700
"2018-07-24",11000
"2018-07-25",11000
"2018-07-26",11150
"2018-07-27",11250
"2018-07-30",11300
"2018-07-31",11350
"2018-08-01",11450
"2018-08-02",11200
"2018-08-03",11500
"2018-08-06",11450
"2018-08-07",11500
"2018-08-08",11950
"2018-08-09",11900
"2018-08-10",11750
"2018-08-13",11300
"2018-08-14",11400
"2018-08-16",11250
"2018-08-17",11550
"2018-08-20",11250
"2018-08-21",11350
"2018-08-22",11250
"2018-08-23",11050
"2018-08-24",10950
"2018-08-27",11050
"2018-08-28",11100
"2018-08-29",11350
"2018-08-30",11250
"2018-08-31",11600
"2018-09-03",11550
"2018-09-04",11450
"2018-09-05",11350
"2018-09-06",11300
"2018-09-07",11250
"2018-09-10",11150
"2018-09-11",11150
"2018-09-12",11250
"2018-09-13",11150
"2018-09-14",11350
"2018-09-17",11300
"2018-09-18",11000
"2018-09-19",11050
"2018-09-20",11050
"2018-09-21",11200
"2018-09-27",11200
"2018-09-28",11300
"2018-10-01",11150
"2018-10-02",10850
"2018-10-04",10350
"2018-10-05",10200
"2018-10-08",10200
"2018-10-10",9900
"2018-10-11",9120
"2018-10-12",9350
"2018-10-15",9630
"2018-10-16",9700
"2018-10-17",9970
"2018-10-18",10000
"2018-10-19",9940
"2018-10-22",10100
"2018-10-23",9800
"2018-10-24",9750
"2018-10-25",9270
"2018-10-26",8920
"2018-10-29",8610
"2018-10-30",8530
"2018-10-31",8660
"2018-11-01",8650
"2018-11-02",9020
"2018-11-05",9050
"2018-11-06",9100
"2018-11-07",9090
"2018-11-08",9150
"2018-11-09",9040
"2018-11-12",8990
"2018-11-13",8860
"2018-11-14",8830
"2018-11-15",9180
"2018-11-16",9400
"2018-11-19",9340
"2018-11-20",9150
"2018-11-21",9070
"2018-11-22",9090
"2018-11-23",9100
"2018-11-26",9230
"2018-11-27",9260
"2018-11-28",9330
"2018-11-29",9540
"2018-11-30",9490
"2018-12-03",9570
"2018-12-04",9410
"2018-12-05",9340
"2018-12-06",9150
"2018-12-07",9160
"2018-12-10",9000
"2018-12-11",8870
"2018-12-12",9140
"2018-12-13",9240
"2018-12-14",9080
"2018-12-17",8960
"2018-12-18",8920
"2018-12-19",9000
"2018-12-20",9000
"2018-12-21",9420
"2018-12-24",9370
"2018-12-26",9120
"2018-12-27",9250
"2018-12-28",9450
"2019-01-02",9410
"2019-01-03",9370
"2019-01-04",9680
"2019-01-07",9900
"2019-01-08",10000
"2019-01-09",9990
"2019-01-10",9950
"2019-01-11",10000
"2019-01-14",9990
"2019-01-15",9990
"2019-01-16",10000
"2019-01-17",9700
"2019-01-18",9770
"2019-01-21",9750
"2019-01-22",9620
"2019-01-23",9650
"2019-01-24",9970
"2019-01-25",9920
"2019-01-28",9920
"2019-01-29",9920
"2019-01-30",9910
"2019-01-31",10000
"2019-02-01",9850
"2019-02-07",9890
"2019-02-08",9900
"2019-02-11",10000
"2019-02-12",10000
"2019-02-13",10050
"2019-02-14",10200
"2019-02-15",9980
"2019-02-18",10050
"2019-02-19",10100
"2019-02-20",10050
"2019-02-21",10450
"2019-02-22",10350
"2019-02-25",10300
"2019-02-26",10200
"2019-02-27",10350
"2019-02-28",10000
"2019-03-04",10100
"2019-03-05",10000
"2019-03-06",10000
"2019-03-07",9870
"2019-03-08",9780
"2019-03-11",9500
"2019-03-12",9840
"2019-03-13",10050
"2019-03-14",10050
"2019-03-15",10050
"2019-03-18",10100
"2019-03-19",9980
"2019-03-20",9960
"2019-03-21",9980
"2019-03-22",9980
"2019-03-25",9610
"2019-03-26",9770
"2019-03-27",9830
"2019-03-28",9710
"2019-03-29",9720
"2019-04-01",9860
"2019-04-02",9850
"2019-04-03",9900
"2019-04-04",10050
"2019-04-05",10050
"2019-04-08",9950
"2019-04-09",9960
"2019-04-10",9960
"2019-04-11",9900
"2019-04-12",9950
"2019-04-15",9970
"2019-04-16",9930
"2019-04-17",9940
"2019-04-18",9760
"2019-04-19",9790
"2019-04-22",9760
"2019-04-23",9720
"2019-04-24",9640
"2019-04-25",9500
"2019-04-26",9480
"2019-04-29",9700
"2019-04-30",9660
"2019-05-02",9700
"2019-05-03",9590
"2019-05-07",9500
"2019-05-08",9500
"2019-05-09",9290
"2019-05-10",9150
"2019-05-13",8940
"2019-05-14",8930
