"","Price"
"2018-04-24",6399
"2018-04-25",5727
"2018-04-26",6200
"2018-04-27",5752
"2018-04-30",5776
"2018-05-02",5528
"2018-05-03",5154
"2018-05-04",4950
"2018-05-08",4905
"2018-05-09",5129
"2018-05-10",5030
"2018-05-11",5378
"2018-05-14",5303
"2018-05-15",5378
"2018-05-16",5229
"2018-05-17",5179
"2018-05-18",5179
"2018-05-21",5129
"2018-05-23",5079
"2018-05-24",5005
"2018-05-25",4870
"2018-05-28",4980
"2018-05-29",4631
"2018-05-30",4651
"2018-05-31",4890
"2018-06-01",4955
"2018-06-04",5005
"2018-06-05",4965
"2018-06-07",4910
"2018-06-08",4855
"2018-06-11",4711
"2018-06-12",4551
"2018-06-14",4556
"2018-06-15",4571
"2018-06-18",4332
"2018-06-19",4183
"2018-06-20",4377
"2018-06-21",4447
"2018-06-22",4357
"2018-06-25",4497
"2018-06-26",4591
"2018-06-27",5279
"2018-06-28",5104
"2018-06-29",4601
"2018-07-02",4472
"2018-07-03",4407
"2018-07-04",4517
"2018-07-05",4407
"2018-07-06",4223
"2018-07-09",4128
"2018-07-10",4138
"2018-07-11",4143
"2018-07-12",3964
"2018-07-13",3999
"2018-07-16",3839
"2018-07-17",3745
"2018-07-18",3491
"2018-07-19",3192
"2018-07-20",3147
"2018-07-23",3192
"2018-07-24",3282
"2018-07-25",3082
"2018-07-26",3192
"2018-07-27",3202
"2018-07-30",3341
"2018-07-31",3531
"2018-08-01",3506
"2018-08-02",3511
"2018-08-03",3695
"2018-08-06",3755
"2018-08-07",3630
"2018-08-08",3526
"2018-08-09",3585
"2018-08-10",3570
"2018-08-13",3575
"2018-08-14",3590
"2018-08-16",3745
"2018-08-17",3590
"2018-08-20",3565
"2018-08-21",3546
"2018-08-22",3516
"2018-08-23",3401
"2018-08-24",3416
"2018-08-27",3217
"2018-08-28",3336
"2018-08-29",3381
"2018-08-30",3526
"2018-08-31",3531
"2018-09-03",3854
"2018-09-04",3745
"2018-09-05",3685
"2018-09-06",3685
"2018-09-07",3685
"2018-09-10",3685
"2018-09-11",3685
"2018-09-12",3685
"2018-09-13",3685
"2018-09-14",3685
"2018-09-17",3685
"2018-09-18",3685
"2018-09-19",3685
"2018-09-20",3685
"2018-09-21",3685
"2018-09-27",3685
"2018-09-28",3330
"2018-10-01",3150
"2018-10-02",3025
"2018-10-04",2870
"2018-10-05",2710
"2018-10-08",3520
"2018-10-10",3330
"2018-10-11",3640
"2018-10-12",3800
"2018-10-15",3735
"2018-10-16",3770
"2018-10-17",3910
"2018-10-18",3830
"2018-10-19",3780
"2018-10-22",3610
"2018-10-23",3400
"2018-10-24",3600
"2018-10-25",3500
"2018-10-26",3465
"2018-10-29",2900
"2018-10-30",3085
"2018-10-31",3010
"2018-11-01",2960
"2018-11-02",3055
"2018-11-05",3085
"2018-11-06",3090
"2018-11-07",3035
"2018-11-08",3005
"2018-11-09",3195
"2018-11-12",3560
"2018-11-13",3580
"2018-11-14",3480
"2018-11-15",3400
"2018-11-16",3395
"2018-11-19",3440
"2018-11-20",3315
"2018-11-21",3245
"2018-11-22",3110
"2018-11-23",3030
"2018-11-26",3000
"2018-11-27",3005
"2018-11-28",3020
"2018-11-29",3080
"2018-11-30",3120
"2018-12-03",3005
"2018-12-04",3025
"2018-12-05",3025
"2018-12-06",3015
"2018-12-07",3080
"2018-12-10",3030
"2018-12-11",3020
"2018-12-12",3455
"2018-12-13",3455
"2018-12-14",4490
"2018-12-17",4100
"2018-12-18",3780
"2018-12-19",3470
"2018-12-20",3475
"2018-12-21",3210
"2018-12-24",3205
"2018-12-26",3135
"2018-12-27",3270
"2018-12-28",3270
"2019-01-02",3250
"2019-01-03",3155
"2019-01-04",3095
"2019-01-07",3095
"2019-01-08",3050
"2019-01-09",2925
"2019-01-10",2745
"2019-01-11",2535
"2019-01-14",2415
"2019-01-15",2555
"2019-01-16",2525
"2019-01-17",2500
"2019-01-18",2445
"2019-01-21",2330
"2019-01-22",2265
"2019-01-23",2460
"2019-01-24",2460
"2019-01-25",2505
"2019-01-28",2460
"2019-01-29",2310
"2019-01-30",2280
"2019-01-31",2190
"2019-02-01",2190
"2019-02-07",2120
"2019-02-08",2140
"2019-02-11",2295
"2019-02-12",2240
"2019-02-13",2125
"2019-02-14",2160
"2019-02-15",2160
"2019-02-18",2095
"2019-02-19",2105
"2019-02-20",2145
"2019-02-21",2140
"2019-02-22",2015
"2019-02-25",1695
"2019-02-26",1645
"2019-02-27",1700
"2019-02-28",1615
"2019-03-04",1565
"2019-03-05",1765
"2019-03-06",1750
"2019-03-07",1610
"2019-03-08",1615
"2019-03-11",1590
"2019-03-12",2065
"2019-03-13",1930
"2019-03-14",1655
"2019-03-15",1605
"2019-03-18",1615
"2019-03-19",1720
"2019-03-20",1685
"2019-03-21",1590
"2019-03-22",1585
"2019-03-25",1585
"2019-03-26",1615
"2019-03-27",1690
"2019-03-28",1700
"2019-03-29",1655
"2019-04-01",1670
"2019-04-02",1680
"2019-04-03",1705
"2019-04-04",1700
"2019-04-05",1710
"2019-04-08",1680
"2019-04-09",1680
"2019-04-10",1775
"2019-04-11",2145
"2019-04-12",2135
"2019-04-15",2415
"2019-04-16",2450
"2019-04-17",2405
"2019-04-18",2255
"2019-04-19",2315
"2019-04-22",2455
"2019-04-23",2350
"2019-04-24",2350
"2019-04-25",2325
"2019-04-26",2130
"2019-04-29",2100
"2019-04-30",2480
"2019-05-02",2475
"2019-05-03",2355
"2019-05-07",2340
"2019-05-08",2275
"2019-05-09",2200
"2019-05-10",2180
"2019-05-13",2020
"2019-05-14",2020
"2019-05-15",2020
"2019-05-16",2020
"2019-05-17",2020
"2019-05-20",2020
"2019-05-21",2020
"2019-05-22",2020
"2019-05-23",1895
"2019-05-24",1840
"2019-05-27",1675
"2019-05-28",1645
"2019-05-29",2135
"2019-05-30",1820
"2019-05-31",1820
"2019-06-03",1820
"2019-06-04",1820
"2019-06-05",1965
"2019-06-07",2050
"2019-06-10",1965
"2019-06-11",1870
"2019-06-12",1805
"2019-06-13",1815
"2019-06-14",1715
"2019-06-17",1895
"2019-06-18",2090
"2019-06-19",2050
"2019-06-20",1980
"2019-06-21",1965
"2019-06-24",2020
"2019-06-25",1850
"2019-06-26",1890
"2019-06-27",1855
"2019-06-28",1800
"2019-07-01",1965
"2019-07-02",1910
"2019-07-03",1800
"2019-07-04",1685
"2019-07-05",1650
"2019-07-08",1570
"2019-07-09",1550
"2019-07-10",1630
"2019-07-11",1600
"2019-07-12",1510
"2019-07-15",1465
"2019-07-16",1500
"2019-07-17",1450
"2019-07-18",1455
"2019-07-19",1480
"2019-07-22",1540
"2019-07-23",1695
"2019-07-24",1800
"2019-07-25",1730
"2019-07-26",1770
"2019-07-29",1815
"2019-07-30",1815
