"","Price"
"2018-04-24",5756
"2018-04-25",5795
"2018-04-26",5859
"2018-04-27",5740
"2018-04-30",5628
"2018-05-02",5756
"2018-05-03",5700
"2018-05-04",5700
"2018-05-08",5597
"2018-05-09",5541
"2018-05-10",5549
"2018-05-11",5779
"2018-05-14",5843
"2018-05-15",5954
"2018-05-16",5867
"2018-05-17",5827
"2018-05-18",5915
"2018-05-21",5835
"2018-05-23",5764
"2018-05-24",5740
"2018-05-25",5764
"2018-05-28",5764
"2018-05-29",5644
"2018-05-30",5581
"2018-05-31",5406
"2018-06-01",5438
"2018-06-04",5438
"2018-06-05",5406
"2018-06-07",5406
"2018-06-08",5390
"2018-06-11",5485
"2018-06-12",5477
"2018-06-14",5390
"2018-06-15",5310
"2018-06-18",5223
"2018-06-19",5143
"2018-06-20",5104
"2018-06-21",5008
"2018-06-22",5048
"2018-06-25",5000
"2018-06-26",5064
"2018-06-27",4849
"2018-06-28",5040
"2018-06-29",4857
"2018-07-02",4666
"2018-07-03",4714
"2018-07-04",4897
"2018-07-05",4897
"2018-07-06",5080
"2018-07-09",4961
"2018-07-10",4937
"2018-07-11",4786
"2018-07-12",4833
"2018-07-13",4857
"2018-07-16",4865
"2018-07-17",4977
"2018-07-18",4953
"2018-07-19",4881
"2018-07-20",4810
"2018-07-23",4611
"2018-07-24",4619
"2018-07-25",4635
"2018-07-26",4698
"2018-07-27",4730
"2018-07-30",4730
"2018-07-31",4690
"2018-08-01",4825
"2018-08-02",4802
"2018-08-03",4881
"2018-08-06",4873
"2018-08-07",4818
"2018-08-08",4849
"2018-08-09",4873
"2018-08-10",4857
"2018-08-13",4738
"2018-08-14",4738
"2018-08-16",4746
"2018-08-17",4865
"2018-08-20",4929
"2018-08-21",4929
"2018-08-22",4873
"2018-08-23",4865
"2018-08-24",4865
"2018-08-27",4913
"2018-08-28",5024
"2018-08-29",5016
"2018-08-30",5080
"2018-08-31",5215
"2018-09-03",3895
"2018-09-04",3816
"2018-09-05",3796
"2018-09-06",3875
"2018-09-07",3800
"2018-09-10",3713
"2018-09-11",3879
"2018-09-12",3776
"2018-09-13",3764
"2018-09-14",3792
"2018-09-17",3709
"2018-09-18",3717
"2018-09-19",3625
"2018-09-20",3577
"2018-09-21",3669
"2018-09-27",3744
"2018-09-28",3760
"2018-10-01",3756
"2018-10-02",3669
"2018-10-04",3585
"2018-10-05",3561
"2018-10-08",3526
"2018-10-10",3379
"2018-10-11",3291
"2018-10-12",3426
"2018-10-15",3506
"2018-10-16",3538
"2018-10-17",3538
"2018-10-18",3482
"2018-10-19",3486
"2018-10-22",3617
"2018-10-23",3621
"2018-10-24",3717
"2018-10-25",3577
"2018-10-26",3458
"2018-10-29",3247
"2018-10-30",3116
"2018-10-31",3283
"2018-11-01",3323
"2018-11-02",3375
"2018-11-05",3426
"2018-11-06",3339
"2018-11-07",3343
"2018-11-08",3395
"2018-11-09",3351
"2018-11-12",3291
"2018-11-13",3251
"2018-11-14",3236
"2018-11-15",3212
"2018-11-16",3331
"2018-11-19",3255
"2018-11-20",3188
"2018-11-21",3077
"2018-11-22",3092
"2018-11-23",3077
"2018-11-26",3188
"2018-11-27",3216
"2018-11-28",3184
"2018-11-29",3232
"2018-11-30",3192
"2018-12-03",3374
"2018-12-04",3399
"2018-12-05",3345
"2018-12-06",3231
"2018-12-07",3118
"2018-12-10",3014
"2018-12-11",2906
"2018-12-12",2955
"2018-12-13",2931
"2018-12-14",2857
"2018-12-17",2793
"2018-12-18",2758
"2018-12-19",2749
"2018-12-20",2699
"2018-12-21",2684
"2018-12-24",2680
"2018-12-26",2606
"2018-12-27",2620
"2018-12-28",2655
"2019-01-02",2596
"2019-01-03",2620
"2019-01-04",2586
"2019-01-07",2586
"2019-01-08",2468
"2019-01-09",2699
"2019-01-10",3010
"2019-01-11",2955
"2019-01-14",3152
"2019-01-15",3167
"2019-01-16",3039
"2019-01-17",2916
"2019-01-18",2867
"2019-01-21",2882
"2019-01-22",2808
"2019-01-23",2975
"2019-01-24",2872
"2019-01-25",2882
"2019-01-28",2906
"2019-01-29",3044
"2019-01-30",3083
"2019-01-31",3271
