"","Price"
"2018-04-24",117000
"2018-04-25",121500
"2018-04-26",120500
"2018-04-27",122500
"2018-04-30",119000
"2018-05-02",121000
"2018-05-03",120500
"2018-05-04",126500
"2018-05-08",126500
"2018-05-09",127000
"2018-05-10",127000
"2018-05-11",128500
"2018-05-14",129000
"2018-05-15",127500
"2018-05-16",138000
"2018-05-17",149000
"2018-05-18",153000
"2018-05-21",155500
"2018-05-23",153000
"2018-05-24",154500
"2018-05-25",160500
"2018-05-28",159500
"2018-05-29",160500
"2018-05-30",167000
"2018-05-31",164000
"2018-06-01",161500
"2018-06-04",160500
"2018-06-05",158500
"2018-06-07",163000
"2018-06-08",161000
"2018-06-11",159500
"2018-06-12",159000
"2018-06-14",151500
"2018-06-15",159000
"2018-06-18",158500
"2018-06-19",160500
"2018-06-20",163500
"2018-06-21",169000
"2018-06-22",166500
"2018-06-25",160500
"2018-06-26",167000
"2018-06-27",171000
"2018-06-28",180500
"2018-06-29",177500
"2018-07-02",182500
"2018-07-03",180000
"2018-07-04",173500
"2018-07-05",175000
"2018-07-06",178000
"2018-07-09",173000
"2018-07-10",170500
"2018-07-11",168000
"2018-07-12",167000
"2018-07-13",184000
"2018-07-16",176500
"2018-07-17",168000
"2018-07-18",166000
"2018-07-19",164000
"2018-07-20",165000
"2018-07-23",163500
"2018-07-24",165500
"2018-07-25",164500
"2018-07-26",160500
"2018-07-27",160500
"2018-07-30",155500
"2018-07-31",160500
"2018-08-01",160000
"2018-08-02",156000
"2018-08-03",158500
"2018-08-06",156500
"2018-08-07",152500
"2018-08-08",148000
"2018-08-09",150000
"2018-08-10",149500
"2018-08-13",149500
"2018-08-14",152000
"2018-08-16",161000
"2018-08-17",166500
"2018-08-20",174000
"2018-08-21",173000
"2018-08-22",167500
"2018-08-23",171000
"2018-08-24",172000
"2018-08-27",173000
"2018-08-28",171500
"2018-08-29",170500
"2018-08-30",172500
"2018-08-31",176000
"2018-09-03",174500
"2018-09-04",172000
"2018-09-05",171000
"2018-09-06",173000
"2018-09-07",167000
"2018-09-10",165000
"2018-09-11",163500
"2018-09-12",167500
"2018-09-13",165500
"2018-09-14",164000
"2018-09-17",169500
"2018-09-18",174000
"2018-09-19",172000
"2018-09-20",165000
"2018-09-21",165000
"2018-09-27",160000
"2018-09-28",161000
"2018-10-01",159000
"2018-10-02",158000
"2018-10-04",156500
"2018-10-05",157500
"2018-10-08",158500
"2018-10-10",155500
"2018-10-11",143500
"2018-10-12",145000
"2018-10-15",145500
"2018-10-16",137000
"2018-10-17",135500
"2018-10-18",130500
"2018-10-19",127000
"2018-10-22",135000
"2018-10-23",124500
"2018-10-24",128500
"2018-10-25",124500
"2018-10-26",124500
"2018-10-29",122500
"2018-10-30",124000
"2018-10-31",121500
"2018-11-01",121000
"2018-11-02",124000
"2018-11-05",120000
"2018-11-06",128500
"2018-11-07",120500
"2018-11-08",130000
"2018-11-09",131500
"2018-11-12",129500
"2018-11-13",126000
"2018-11-14",126000
"2018-11-15",130000
"2018-11-16",142500
"2018-11-19",140000
"2018-11-20",144500
"2018-11-21",145500
"2018-11-22",145500
"2018-11-23",146500
"2018-11-26",142500
"2018-11-27",138500
"2018-11-28",140000
"2018-11-29",138500
"2018-11-30",137000
"2018-12-03",133000
"2018-12-04",127000
"2018-12-05",126000
"2018-12-06",121000
"2018-12-07",120000
"2018-12-10",116000
"2018-12-11",116000
"2018-12-12",125000
"2018-12-13",122000
"2018-12-14",122500
"2018-12-17",123000
"2018-12-18",123000
"2018-12-19",125000
"2018-12-20",121500
"2018-12-21",122000
"2018-12-24",121500
"2018-12-26",120000
"2018-12-27",119500
"2018-12-28",118500
"2019-01-02",118000
"2019-01-03",116500
"2019-01-04",122000
"2019-01-07",123000
"2019-01-08",123000
"2019-01-09",129000
"2019-01-10",123500
"2019-01-11",130000
"2019-01-14",129000
"2019-01-15",128000
"2019-01-16",123500
"2019-01-17",122000
"2019-01-18",123000
"2019-01-21",124000
"2019-01-22",122500
"2019-01-23",129000
"2019-01-24",126500
"2019-01-25",129000
"2019-01-28",126500
"2019-01-29",127000
"2019-01-30",127000
"2019-01-31",125000
"2019-02-01",124500
"2019-02-07",123000
"2019-02-08",123000
"2019-02-11",124000
"2019-02-12",125000
"2019-02-13",136000
"2019-02-14",137500
"2019-02-15",138500
"2019-02-18",136500
"2019-02-19",138500
"2019-02-20",139000
"2019-02-21",140000
"2019-02-22",137000
"2019-02-25",141500
"2019-02-26",141500
"2019-02-27",138000
"2019-02-28",141500
"2019-03-04",148500
"2019-03-05",148500
"2019-03-06",140500
"2019-03-07",151500
"2019-03-08",153500
"2019-03-11",157500
"2019-03-12",160500
"2019-03-13",156500
"2019-03-14",159500
"2019-03-15",151500
"2019-03-18",159500
"2019-03-19",153500
"2019-03-20",151000
"2019-03-21",144000
"2019-03-22",141500
"2019-03-25",139000
"2019-03-26",141500
"2019-03-27",141500
"2019-03-28",138500
"2019-03-29",140500
"2019-04-01",141000
"2019-04-02",139000
"2019-04-03",140500
"2019-04-04",140500
"2019-04-05",142000
"2019-04-08",145000
"2019-04-09",146500
"2019-04-10",148000
"2019-04-11",154000
"2019-04-12",155500
"2019-04-15",155000
"2019-04-16",155500
"2019-04-17",159000
"2019-04-18",155000
"2019-04-19",155000
"2019-04-22",153000
"2019-04-23",151000
"2019-04-24",147000
"2019-04-25",150500
"2019-04-26",147500
"2019-04-29",147500
"2019-04-30",145500
"2019-05-02",145000
"2019-05-03",141500
"2019-05-07",144000
"2019-05-08",146000
"2019-05-09",146000
"2019-05-10",141000
"2019-05-13",140500
"2019-05-14",139500
"2019-05-15",144500
"2019-05-16",148000
"2019-05-17",141000
"2019-05-20",140000
"2019-05-21",137500
"2019-05-22",138000
"2019-05-23",138000
"2019-05-24",142000
"2019-05-27",140000
"2019-05-28",149000
"2019-05-29",139500
"2019-05-30",136500
"2019-05-31",131500
"2019-06-03",134000
"2019-06-04",136000
"2019-06-05",138500
"2019-06-07",139000
"2019-06-10",142000
"2019-06-11",143500
"2019-06-12",145500
"2019-06-13",170000
"2019-06-14",153000
"2019-06-17",149000
"2019-06-18",147500
"2019-06-19",147000
