"","Price"
"2018-04-24",2728
"2018-04-25",2615
"2018-04-26",2625
"2018-04-27",2632
"2018-04-30",2555
"2018-05-02",2481
"2018-05-03",2488
"2018-05-04",2421
"2018-05-08",2285
"2018-05-09",2251
"2018-05-10",2288
"2018-05-11",2355
"2018-05-14",2265
"2018-05-15",2365
"2018-05-16",2295
"2018-05-17",2268
"2018-05-18",2245
"2018-05-21",2278
"2018-05-23",2255
"2018-05-24",2225
"2018-05-25",2158
"2018-05-28",2131
"2018-05-29",2131
"2018-05-30",2101
"2018-05-31",2088
"2018-06-01",2111
"2018-06-04",2191
"2018-06-05",2188
"2018-06-07",2245
"2018-06-08",2228
"2018-06-11",2161
"2018-06-12",2105
"2018-06-14",2061
"2018-06-15",2081
"2018-06-18",2018
"2018-06-19",1928
"2018-06-20",1965
"2018-06-21",1908
"2018-06-22",1884
"2018-06-25",1868
"2018-06-26",1921
"2018-06-27",1898
"2018-06-28",1864
"2018-06-29",1834
"2018-07-02",1734
"2018-07-03",1728
"2018-07-04",1904
"2018-07-05",1871
"2018-07-06",1888
"2018-07-09",1861
"2018-07-10",1854
"2018-07-11",1874
"2018-07-12",1871
"2018-07-13",1941
"2018-07-16",1874
"2018-07-17",1924
"2018-07-18",1884
"2018-07-19",1891
"2018-07-20",1838
"2018-07-23",1708
"2018-07-24",1708
"2018-07-25",1701
"2018-07-26",1728
"2018-07-27",1764
"2018-07-30",1778
"2018-07-31",1794
"2018-08-01",1811
"2018-08-02",1814
"2018-08-03",1811
"2018-08-06",1814
"2018-08-07",1811
"2018-08-08",1854
"2018-08-09",1814
"2018-08-10",1811
"2018-08-13",1741
"2018-08-14",1744
"2018-08-16",1751
"2018-08-17",1798
"2018-08-20",1814
"2018-08-21",1891
"2018-08-22",1881
"2018-08-23",1881
"2018-08-24",1934
"2018-08-27",1934
"2018-08-28",1944
"2018-08-29",1981
"2018-08-30",1944
"2018-08-31",1938
"2018-09-03",1954
"2018-09-04",1968
"2018-09-05",1924
"2018-09-06",1911
"2018-09-07",1898
"2018-09-10",1894
"2018-09-11",1934
"2018-09-12",1911
"2018-09-13",1941
"2018-09-14",1928
"2018-09-17",1901
"2018-09-18",1871
"2018-09-19",1878
"2018-09-20",1838
"2018-09-21",1854
"2018-09-27",1854
"2018-09-28",1868
"2018-10-01",1898
"2018-10-02",1884
"2018-10-04",1844
"2018-10-05",1818
"2018-10-08",1748
"2018-10-10",1621
"2018-10-11",1438
"2018-10-12",1461
"2018-10-15",1538
"2018-10-16",1651
"2018-10-17",1611
"2018-10-18",1594
"2018-10-19",1601
"2018-10-22",1608
"2018-10-23",1584
"2018-10-24",1654
"2018-10-25",1614
"2018-10-26",1501
"2018-10-29",1327
"2018-10-30",1347
"2018-10-31",1374
"2018-11-01",1421
"2018-11-02",1521
"2018-11-05",1558
"2018-11-06",1511
"2018-11-07",1461
"2018-11-08",1501
"2018-11-09",1481
"2018-11-12",1488
"2018-11-13",1464
"2018-11-14",1461
"2018-11-15",1478
"2018-11-16",1528
"2018-11-19",1554
"2018-11-20",1534
"2018-11-21",1521
