"","Price"
"2019-07-03",12750
"2019-07-04",12750
"2019-07-05",12750
"2019-07-08",12250
"2019-07-09",12250
"2019-07-10",12400
"2019-07-11",12350
"2019-07-12",12650
"2019-07-15",12450
"2019-07-16",11950
"2019-07-17",11800
"2019-07-18",11700
"2019-07-19",11800
"2019-07-22",11800
"2019-07-23",11650
"2019-07-24",11500
"2019-07-25",11300
"2019-07-26",11550
"2019-07-29",11200
"2019-07-30",11350
"2019-07-31",11600
"2019-08-01",11150
"2019-08-02",11000
"2019-08-05",10650
"2019-08-06",10550
"2019-08-07",10900
"2019-08-08",11150
"2019-08-09",11200
"2019-08-12",11250
"2019-08-13",11200
"2019-08-14",11500
"2019-08-16",11950
"2019-08-19",12000
"2019-08-20",11850
"2019-08-21",11900
"2019-08-22",11950
"2019-08-23",11700
"2019-08-26",11550
"2019-08-27",11550
"2019-08-28",11650
"2019-08-29",11650
"2019-08-30",11750
"2019-09-02",11750
"2019-09-03",11700
"2019-09-04",11700
"2019-09-05",11700
"2019-09-06",11800
"2019-09-09",11800
"2019-09-10",11600
"2019-09-11",11550
"2019-09-16",11700
"2019-09-17",11700
"2019-09-18",11700
"2019-09-19",11700
"2019-09-20",11750
"2019-09-23",11600
"2019-09-24",11600
"2019-09-25",11650
"2019-09-26",12000
"2019-09-27",11950
"2019-09-30",11850
"2019-10-01",11750
"2019-10-02",11650
"2019-10-04",11650
"2019-10-07",11700
"2019-10-08",11650
"2019-10-10",11700
"2019-10-11",11850
"2019-10-14",11900
"2019-10-15",11900
"2019-10-16",11900
"2019-10-17",11850
"2019-10-18",11800
"2019-10-21",11700
"2019-10-22",11700
"2019-10-23",11650
"2019-10-24",11700
"2019-10-25",11650
"2019-10-28",11600
"2019-10-29",11650
"2019-10-30",11600
"2019-10-31",11750
"2019-11-01",11800
"2019-11-04",11750
"2019-11-05",11850
"2019-11-06",11800
"2019-11-07",11850
"2019-11-08",11900
"2019-11-11",11850
"2019-11-12",11900
"2019-11-13",11800
"2019-11-14",11600
"2019-11-15",11700
"2019-11-18",11750
"2019-11-19",11700
"2019-11-20",11550
"2019-11-21",11450
"2019-11-22",11550
"2019-11-25",11750
"2019-11-26",12050
"2019-11-27",11950
"2019-11-28",11850
"2019-11-29",11700
"2019-12-02",11650
"2019-12-03",11650
"2019-12-04",11500
"2019-12-05",11450
"2019-12-06",11550
"2019-12-09",11650
"2019-12-10",11650
"2019-12-11",11650
"2019-12-12",11700
"2019-12-13",12050
"2019-12-16",12150
"2019-12-17",12000
"2019-12-18",12150
"2019-12-19",12000
"2019-12-20",12000
"2019-12-23",11800
"2019-12-24",11850
"2019-12-26",12100
"2019-12-27",11600
"2019-12-30",11650
"2020-01-02",11700
"2020-01-03",11800
"2020-01-06",11650
"2020-01-07",11500
"2020-01-08",11200
"2020-01-09",11350
"2020-01-10",11400
"2020-01-13",11200
"2020-01-14",11000
"2020-01-15",11200
"2020-01-16",11300
"2020-01-17",11300
"2020-01-20",11250
"2020-01-21",11200
